domain,model_family,comparison,left_feature_set,right_feature_set,estimate,ci_low,ci_high,estimable_years
full_oisst_domain,elastic_net,trajectory_minus_current,current_plus_trajectory,current_only,0.03877057836136991,0.020501330001433005,0.05832876316266578,20
full_oisst_domain,elastic_net,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.016587338641497737,-0.03689243103339439,0.0025618787234858056,20
full_oisst_domain,hierarchical_additive,trajectory_minus_current,current_plus_trajectory,current_only,0.00461281431624799,-0.005872220599915098,0.016166095530539003,20
full_oisst_domain,hierarchical_additive,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.007503113428084971,-0.030408032775328032,0.01722766533029763,20
full_oisst_domain,lambdamart_ranker,trajectory_minus_current,current_plus_trajectory,current_only,0.032270182074722195,0.0177282027167944,0.04885855194189542,20
full_oisst_domain,lambdamart_ranker,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.013408995060753558,-0.02721826783359947,-0.0002458934721909501,20
upwelling_supported_domain,elastic_net,trajectory_minus_current,current_plus_trajectory,current_only,0.03205499273609871,0.01196752780456566,0.056672420858888066,20
upwelling_supported_domain,elastic_net,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.008725679943110206,-0.024508317961838614,0.005158166304043653,20
upwelling_supported_domain,elastic_net,cuti_beuti_minus_oisst,trajectory_plus_oisst_cuti_beuti,trajectory_plus_oisst,-0.007712163501013411,-0.022289776673532154,0.006408034287741662,20
upwelling_supported_domain,hierarchical_additive,trajectory_minus_current,current_plus_trajectory,current_only,-0.0016231144333864855,-0.019179219371325704,0.018411049583616047,20
upwelling_supported_domain,hierarchical_additive,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.0205105940918257,-0.046978090080818304,0.003965710628253707,20
upwelling_supported_domain,hierarchical_additive,cuti_beuti_minus_oisst,trajectory_plus_oisst_cuti_beuti,trajectory_plus_oisst,-0.021487794374668287,-0.053880971500551524,0.006876955664576533,20
upwelling_supported_domain,lambdamart_ranker,trajectory_minus_current,current_plus_trajectory,current_only,0.021334813379142815,-0.0022057192113319273,0.04737225700746927,20
upwelling_supported_domain,lambdamart_ranker,oisst_minus_trajectory,trajectory_plus_oisst,current_plus_trajectory,-0.006485108229753673,-0.028587027547651106,0.014657393949944381,20
upwelling_supported_domain,lambdamart_ranker,cuti_beuti_minus_oisst,trajectory_plus_oisst_cuti_beuti,trajectory_plus_oisst,0.001893213304062205,-0.008835754733713898,0.01441978255288632,20
