C,l1_ratio,inner_macro_ap_lift,inner_rows,domain,year,model_family,feature_set
0.05,0.0,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
0.05,0.5,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
0.05,1.0,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
0.2,0.0,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
0.2,0.5,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
0.2,1.0,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
1.0,0.0,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
1.0,0.5,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
1.0,1.0,0.1391250038661255,942,full_oisst_domain,2005,elastic_net,current_only
0.05,1.0,0.10550460210580881,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
0.05,0.5,0.1018365392492044,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
0.2,1.0,0.09880140708658432,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
0.05,0.0,0.09801024330934903,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
0.2,0.5,0.09779066462906756,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
0.2,0.0,0.09679289861277846,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
1.0,1.0,0.09644151204933847,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
1.0,0.5,0.09615758563804082,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
1.0,0.0,0.09595489308323575,942,full_oisst_domain,2005,elastic_net,current_plus_trajectory
1.0,0.0,0.12467093517903509,942,full_oisst_domain,2005,elastic_net,trajectory_plus_oisst
1.0,0.5,0.12446542801034922,942,full_oisst_domain,2005,elastic_net,trajectory_plus_oisst
1.0,1.0,0.12436991627090375,942,full_oisst_domain,2005,elastic_net,trajectory_plus_oisst
0.2,0.0,0.12436740917654833,942,full_oisst_domain,2005,elastic_net,trajectory_plus_oisst
0.2,0.5,0.12357492830310544,942,full_oisst_domain,2005,elastic_net,trajectory_plus_oisst
