cell_id,allhistory_station_pixels_rebuilt,pre2005_positive_pixels_rebuilt,count_cells_historic_footprint,count_cells_pre2005_footprint,allhistory_count_match,pre2005_count_match
westcoast_0001,949,946,949,946,True,True
westcoast_0002,2180,2172,2180,2172,True,True
westcoast_0003,1432,1432,1432,1432,True,True
westcoast_0004,1889,1889,1889,1889,True,True
westcoast_0006,1257,1249,1257,1249,True,True
westcoast_0008,716,716,716,716,True,True
westcoast_0010,1775,1747,1775,1747,True,True
westcoast_0011,2269,2246,2269,2246,True,True
westcoast_0013,2409,2406,2409,2406,True,True
westcoast_0014,840,837,840,837,True,True
westcoast_0015,2957,2945,2957,2945,True,True
westcoast_0016,2248,2238,2248,2238,True,True
westcoast_0017,584,584,584,584,True,True
westcoast_0018,1845,1845,1845,1845,True,True
westcoast_0022,557,557,557,557,True,True
westcoast_0038,4876,4873,4876,4873,True,True
westcoast_0039,1324,1309,1324,1309,True,True
westcoast_0041,1831,1769,1831,1769,True,True
westcoast_0044,1203,1099,1203,1099,True,True
westcoast_0046,542,537,542,537,True,True
westcoast_0074,824,806,824,806,True,True
westcoast_0075,1626,1584,1626,1584,True,True
westcoast_0076,3132,3114,3132,3114,True,True
westcoast_0077,1323,1256,1323,1256,True,True
westcoast_0078,1034,963,1034,963,True,True
westcoast_0079,2063,1634,2063,1634,True,True
westcoast_0081,1107,1078,1107,1078,True,True
westcoast_0082,7289,7207,7289,7207,True,True
westcoast_0083,1115,1105,1115,1105,True,True
westcoast_0084,1673,1650,1673,1650,True,True
westcoast_0086,643,639,643,639,True,True
westcoast_0087,1300,1289,1300,1289,True,True
westcoast_0088,1478,1474,1478,1474,True,True
westcoast_0089,1609,1579,1609,1579,True,True
westcoast_0090,922,904,922,904,True,True
westcoast_0091,1419,1284,1419,1284,True,True
westcoast_0105,1686,1361,1686,1361,True,True
westcoast_0106,1835,1741,1835,1741,True,True
westcoast_0107,1849,1624,1849,1624,True,True
westcoast_0108,8285,8074,8285,8074,True,True
westcoast_0110,5367,5289,5367,5289,True,True
westcoast_0111,3470,3434,3470,3434,True,True
westcoast_0112,5679,5605,5679,5605,True,True
westcoast_0113,4344,4308,4344,4308,True,True
westcoast_0114,1325,1287,1325,1287,True,True
westcoast_0115,2281,2201,2281,2201,True,True
westcoast_0117,5107,5055,5107,5055,True,True
westcoast_0118,2167,2137,2167,2137,True,True
westcoast_0119,3154,3095,3154,3095,True,True
westcoast_0120,2664,2495,2664,2495,True,True
westcoast_0121,585,552,585,552,True,True
westcoast_0122,3879,3789,3879,3789,True,True
westcoast_0123,657,647,657,647,True,True
westcoast_0124,3067,2670,3067,2670,True,True
westcoast_0125,869,841,869,841,True,True
westcoast_0126,6835,6330,6835,6330,True,True
westcoast_0127,2077,1925,2077,1925,True,True
westcoast_0128,7515,6932,7515,6932,True,True
westcoast_0129,850,785,850,785,True,True
westcoast_0131,6741,5859,6741,5859,True,True
westcoast_0132,2826,2490,2826,2490,True,True
westcoast_0133,2067,1911,2067,1911,True,True
westcoast_0135,2694,2426,2694,2426,True,True
westcoast_0136,2637,2309,2637,2309,True,True
westcoast_0140,1158,930,1158,930,True,True
westcoast_0142,5846,5045,5846,5045,True,True
westcoast_0143,6787,6419,6787,6419,True,True
westcoast_0144,1558,1532,1558,1532,True,True
westcoast_0145,609,602,609,602,True,True
westcoast_0146,1236,1185,1236,1185,True,True
westcoast_0149,2475,2418,2475,2418,True,True
westcoast_0150,1940,1859,1940,1859,True,True
westcoast_0151,3125,2979,3125,2979,True,True
westcoast_0152,2023,1766,2023,1766,True,True
westcoast_0154,1789,1560,1789,1560,True,True
westcoast_0162,8193,7792,8193,7792,True,True
westcoast_0163,9884,9602,9884,9602,True,True
westcoast_0164,12467,12146,12467,12146,True,True
westcoast_0165,13855,13319,13855,13319,True,True
westcoast_0166,3718,3483,3718,3483,True,True
westcoast_0167,1216,1206,1216,1206,True,True
westcoast_0168,2863,2816,2863,2816,True,True
westcoast_0170,1663,1471,1663,1471,True,True
westcoast_0171,5252,4889,5252,4889,True,True
westcoast_0172,1174,1153,1174,1153,True,True
westcoast_0173,666,606,666,606,True,True
westcoast_0175,3089,3027,3089,3027,True,True
westcoast_0176,1722,1492,1722,1492,True,True
westcoast_0177,1243,1168,1243,1168,True,True
westcoast_0179,756,756,756,756,True,True
westcoast_0180,11625,11343,11625,11343,True,True
westcoast_0181,4937,4734,4937,4734,True,True
westcoast_0182,1147,1037,1147,1037,True,True
westcoast_0183,2490,2428,2490,2428,True,True
westcoast_0184,1005,883,1005,883,True,True
westcoast_0186,1615,1554,1615,1554,True,True
westcoast_0187,2484,1999,2484,1999,True,True
westcoast_0188,2866,2815,2866,2815,True,True
westcoast_0192,731,547,731,547,True,True
westcoast_0193,2932,2787,2932,2787,True,True
westcoast_0195,1216,1135,1216,1135,True,True
westcoast_0198,1468,1318,1468,1318,True,True
westcoast_0203,3135,1889,3135,1889,True,True
westcoast_0205,3993,3247,3993,3247,True,True
westcoast_0206,21007,18761,21007,18761,True,True
westcoast_0207,4492,4196,4492,4196,True,True
westcoast_0210,1128,1066,1128,1066,True,True
westcoast_0212,1957,1927,1957,1927,True,True
westcoast_0214,1827,1825,1827,1825,True,True
westcoast_0216,1007,858,1007,858,True,True
westcoast_0217,7206,7149,7206,7149,True,True
westcoast_0218,1921,1835,1921,1835,True,True
westcoast_0219,2227,2099,2227,2099,True,True
westcoast_0220,6382,6332,6382,6332,True,True
westcoast_0222,1099,1086,1099,1086,True,True
westcoast_0223,2238,2222,2238,2222,True,True
westcoast_0224,4193,4139,4193,4139,True,True
westcoast_0226,7211,6981,7211,6981,True,True
westcoast_0227,11049,10976,11049,10976,True,True
westcoast_0228,3586,2661,3586,2661,True,True
westcoast_0229,1328,509,1328,509,True,True
westcoast_0230,2626,1543,2626,1543,True,True
westcoast_0233,700,559,700,559,True,True
westcoast_0235,1469,1454,1469,1454,True,True
westcoast_0236,2561,2369,2561,2369,True,True
westcoast_0237,2754,2647,2754,2647,True,True
westcoast_0238,950,744,950,744,True,True
westcoast_0239,1472,1205,1472,1205,True,True
westcoast_0240,2138,1895,2138,1895,True,True
westcoast_0241,1184,1138,1184,1138,True,True
westcoast_0243,1416,981,1416,981,True,True
westcoast_0244,1178,762,1178,762,True,True
westcoast_0246,1668,787,1668,787,True,True
westcoast_0247,992,794,992,794,True,True
westcoast_0248,826,504,826,504,True,True
westcoast_0250,5970,5496,5970,5496,True,True
westcoast_0252,12346,11788,12346,11788,True,True
westcoast_0254,3063,3055,3063,3055,True,True
westcoast_0255,1323,1171,1323,1171,True,True
westcoast_0256,951,872,951,872,True,True
westcoast_0257,6811,6013,6811,6013,True,True
westcoast_0258,859,761,859,761,True,True
westcoast_0262,2229,912,2229,912,True,True
westcoast_0263,19624,16977,19624,16977,True,True
westcoast_0268,1633,1562,1633,1562,True,True
westcoast_0273,3340,2266,3340,2266,True,True
westcoast_0274,1391,1081,1391,1081,True,True
westcoast_0275,1536,1467,1536,1467,True,True
westcoast_0276,673,637,673,637,True,True
westcoast_0277,13967,10232,13967,10232,True,True
westcoast_0278,6290,5195,6290,5195,True,True
westcoast_0279,5663,4310,5663,4310,True,True
westcoast_0280,2716,2459,2716,2459,True,True
westcoast_0281,2111,2007,2111,2007,True,True
westcoast_0282,2146,2081,2146,2081,True,True
westcoast_0285,2870,2168,2870,2168,True,True
westcoast_0298,853,788,853,788,True,True
westcoast_0299,3824,3720,3824,3720,True,True
westcoast_0302,2967,2876,2967,2876,True,True
westcoast_0305,928,903,928,903,True,True
westcoast_0306,9139,8902,9139,8902,True,True
westcoast_0307,3748,3242,3748,3242,True,True
westcoast_0320,7445,6913,7445,6913,True,True
westcoast_0321,931,869,931,869,True,True
westcoast_0326,1949,1844,1949,1844,True,True
