mode,variant,year,train_start,train_end,n_train,events_train,n_test,events_test
native,fixedpre_protocol_max,2005,1989,2004,1954,790,143,88
native,fixedpre_protocol_max,2006,1989,2005,2097,878,131,19
native,fixedpre_protocol_max,2007,1989,2006,2228,897,157,43
native,fixedpre_protocol_max,2008,1989,2007,2385,940,159,39
native,fixedpre_protocol_max,2009,1989,2008,2544,979,158,77
native,fixedpre_protocol_max,2010,1989,2009,2702,1056,154,77
native,fixedpre_protocol_max,2011,1989,2010,2856,1133,135,53
native,fixedpre_protocol_max,2012,1989,2011,2991,1186,142,27
native,fixedpre_protocol_max,2013,1989,2012,3133,1213,157,97
native,fixedpre_protocol_max,2014,1989,2013,3290,1310,140,53
native,fixedpre_protocol_max,2015,1989,2014,3430,1363,119,60
native,fixedpre_protocol_max,2016,1989,2015,3549,1423,109,34
native,fixedpre_protocol_max,2017,1989,2016,3658,1457,120,15
native,fixedpre_protocol_max,2018,1989,2017,3778,1472,134,106
native,fixedpre_protocol_max,2019,1989,2018,3912,1578,92,28
native,fixedpre_protocol_max,2020,1989,2019,4004,1606,114,41
native,fixedpre_protocol_max,2021,1989,2020,4118,1647,111,36
native,fixedpre_protocol_max,2022,1989,2021,4229,1683,109,72
native,fixedpre_protocol_max,2023,1989,2022,4338,1755,86,14
native,fixedpre_protocol_max,2024,1989,2023,4424,1769,96,17
native,legacy_allhist_vf75_max,2005,1989,2004,2004,813,144,89
native,legacy_allhist_vf75_max,2006,1989,2005,2148,902,133,19
native,legacy_allhist_vf75_max,2007,1989,2006,2281,921,158,47
native,legacy_allhist_vf75_max,2008,1989,2007,2439,968,160,40
native,legacy_allhist_vf75_max,2009,1989,2008,2599,1008,160,79
native,legacy_allhist_vf75_max,2010,1989,2009,2759,1087,158,77
native,legacy_allhist_vf75_max,2011,1989,2010,2917,1164,141,51
native,legacy_allhist_vf75_max,2012,1989,2011,3058,1215,144,26
native,legacy_allhist_vf75_max,2013,1989,2012,3202,1241,159,97
native,legacy_allhist_vf75_max,2014,1989,2013,3361,1338,144,53
native,legacy_allhist_vf75_max,2015,1989,2014,3505,1391,120,59
native,legacy_allhist_vf75_max,2016,1989,2015,3625,1450,111,37
native,legacy_allhist_vf75_max,2017,1989,2016,3736,1487,122,17
native,legacy_allhist_vf75_max,2018,1989,2017,3858,1504,134,104
native,legacy_allhist_vf75_max,2019,1989,2018,3992,1608,93,29
native,legacy_allhist_vf75_max,2020,1989,2019,4085,1637,117,41
native,legacy_allhist_vf75_max,2021,1989,2020,4202,1678,117,38
native,legacy_allhist_vf75_max,2022,1989,2021,4319,1716,110,74
native,legacy_allhist_vf75_max,2023,1989,2022,4429,1790,87,14
native,legacy_allhist_vf75_max,2024,1989,2023,4516,1804,102,17
native,allhist_protocol_max,2005,1989,2004,1952,787,143,88
native,allhist_protocol_max,2006,1989,2005,2095,875,132,20
native,allhist_protocol_max,2007,1989,2006,2227,895,157,45
native,allhist_protocol_max,2008,1989,2007,2384,940,159,40
native,allhist_protocol_max,2009,1989,2008,2543,980,158,77
native,allhist_protocol_max,2010,1989,2009,2701,1057,154,77
native,allhist_protocol_max,2011,1989,2010,2855,1134,137,51
native,allhist_protocol_max,2012,1989,2011,2992,1185,144,28
native,allhist_protocol_max,2013,1989,2012,3136,1213,159,97
native,allhist_protocol_max,2014,1989,2013,3295,1310,141,53
native,allhist_protocol_max,2015,1989,2014,3436,1363,119,59
native,allhist_protocol_max,2016,1989,2015,3555,1422,110,37
native,allhist_protocol_max,2017,1989,2016,3665,1459,122,17
native,allhist_protocol_max,2018,1989,2017,3787,1476,134,103
native,allhist_protocol_max,2019,1989,2018,3921,1579,93,30
native,allhist_protocol_max,2020,1989,2019,4014,1609,116,39
native,allhist_protocol_max,2021,1989,2020,4130,1648,114,38
native,allhist_protocol_max,2022,1989,2021,4244,1686,110,74
native,allhist_protocol_max,2023,1989,2022,4354,1760,87,14
native,allhist_protocol_max,2024,1989,2023,4441,1774,101,17
native,fixedpre_vf75_noq3_max,2005,1989,2004,2005,816,144,89
native,fixedpre_vf75_noq3_max,2006,1989,2005,2149,905,132,18
native,fixedpre_vf75_noq3_max,2007,1989,2006,2281,923,158,45
native,fixedpre_vf75_noq3_max,2008,1989,2007,2439,968,160,39
native,fixedpre_vf75_noq3_max,2009,1989,2008,2599,1007,160,79
native,fixedpre_vf75_noq3_max,2010,1989,2009,2759,1086,158,77
native,fixedpre_vf75_noq3_max,2011,1989,2010,2917,1163,139,52
native,fixedpre_vf75_noq3_max,2012,1989,2011,3056,1215,142,26
native,fixedpre_vf75_noq3_max,2013,1989,2012,3198,1241,157,97
native,fixedpre_vf75_noq3_max,2014,1989,2013,3355,1338,143,53
native,fixedpre_vf75_noq3_max,2015,1989,2014,3498,1391,120,60
native,fixedpre_vf75_noq3_max,2016,1989,2015,3618,1451,110,34
native,fixedpre_vf75_noq3_max,2017,1989,2016,3728,1485,120,15
native,fixedpre_vf75_noq3_max,2018,1989,2017,3848,1500,134,106
native,fixedpre_vf75_noq3_max,2019,1989,2018,3982,1606,93,28
native,fixedpre_vf75_noq3_max,2020,1989,2019,4075,1634,116,43
native,fixedpre_vf75_noq3_max,2021,1989,2020,4191,1677,115,36
native,fixedpre_vf75_noq3_max,2022,1989,2021,4306,1713,109,72
native,fixedpre_vf75_noq3_max,2023,1989,2022,4415,1785,86,14
native,fixedpre_vf75_noq3_max,2024,1989,2023,4501,1799,98,18
native,fixedpre_vf75_q3_max,2005,1989,2004,1837,737,141,87
native,fixedpre_vf75_q3_max,2006,1989,2005,1978,824,131,18
native,fixedpre_vf75_q3_max,2007,1989,2006,2109,842,154,42
native,fixedpre_vf75_q3_max,2008,1989,2007,2263,884,157,38
native,fixedpre_vf75_q3_max,2009,1989,2008,2420,922,155,75
native,fixedpre_vf75_q3_max,2010,1989,2009,2575,997,148,74
native,fixedpre_vf75_q3_max,2011,1989,2010,2723,1071,121,47
native,fixedpre_vf75_q3_max,2012,1989,2011,2844,1118,130,25
native,fixedpre_vf75_q3_max,2013,1989,2012,2974,1143,156,97
native,fixedpre_vf75_q3_max,2014,1989,2013,3130,1240,141,53
native,fixedpre_vf75_q3_max,2015,1989,2014,3271,1293,120,60
native,fixedpre_vf75_q3_max,2016,1989,2015,3391,1353,109,34
native,fixedpre_vf75_q3_max,2017,1989,2016,3500,1387,120,15
native,fixedpre_vf75_q3_max,2018,1989,2017,3620,1402,133,105
native,fixedpre_vf75_q3_max,2019,1989,2018,3753,1507,92,28
native,fixedpre_vf75_q3_max,2020,1989,2019,3845,1535,113,40
native,fixedpre_vf75_q3_max,2021,1989,2020,3958,1575,112,36
native,fixedpre_vf75_q3_max,2022,1989,2021,4070,1611,109,72
native,fixedpre_vf75_q3_max,2023,1989,2022,4179,1683,86,14
native,fixedpre_vf75_q3_max,2024,1989,2023,4265,1697,97,17
native,fixedpre_vf75_all4_max,2005,1989,2004,1407,553,131,82
native,fixedpre_vf75_all4_max,2006,1989,2005,1538,635,121,14
native,fixedpre_vf75_all4_max,2007,1989,2006,1659,649,143,41
native,fixedpre_vf75_all4_max,2008,1989,2007,1802,690,147,35
native,fixedpre_vf75_all4_max,2009,1989,2008,1949,725,150,71
native,fixedpre_vf75_all4_max,2010,1989,2009,2099,796,145,74
native,fixedpre_vf75_all4_max,2011,1989,2010,2244,870,104,36
native,fixedpre_vf75_all4_max,2012,1989,2011,2348,906,107,16
native,fixedpre_vf75_all4_max,2013,1989,2012,2455,922,140,93
native,fixedpre_vf75_all4_max,2014,1989,2013,2595,1015,140,53
native,fixedpre_vf75_all4_max,2015,1989,2014,2735,1068,120,61
native,fixedpre_vf75_all4_max,2016,1989,2015,2855,1129,108,33
native,fixedpre_vf75_all4_max,2017,1989,2016,2963,1162,117,15
native,fixedpre_vf75_all4_max,2018,1989,2017,3080,1177,123,98
native,fixedpre_vf75_all4_max,2019,1989,2018,3203,1275,91,28
native,fixedpre_vf75_all4_max,2020,1989,2019,3294,1303,110,40
native,fixedpre_vf75_all4_max,2021,1989,2020,3404,1343,112,36
native,fixedpre_vf75_all4_max,2022,1989,2021,3516,1379,109,73
native,fixedpre_vf75_all4_max,2023,1989,2022,3625,1452,85,14
native,fixedpre_vf75_all4_max,2024,1989,2023,3710,1466,97,16
native,fixedpre_protocol_mean,2005,1989,2004,1941,785,146,103
native,fixedpre_protocol_mean,2006,1989,2005,2087,888,129,18
native,fixedpre_protocol_mean,2007,1989,2006,2216,906,156,46
native,fixedpre_protocol_mean,2008,1989,2007,2372,952,159,35
native,fixedpre_protocol_mean,2009,1989,2008,2531,987,157,79
native,fixedpre_protocol_mean,2010,1989,2009,2688,1066,154,70
native,fixedpre_protocol_mean,2011,1989,2010,2842,1136,134,54
native,fixedpre_protocol_mean,2012,1989,2011,2976,1190,138,33
native,fixedpre_protocol_mean,2013,1989,2012,3114,1223,157,108
native,fixedpre_protocol_mean,2014,1989,2013,3271,1331,139,55
native,fixedpre_protocol_mean,2015,1989,2014,3410,1386,118,60
native,fixedpre_protocol_mean,2016,1989,2015,3528,1446,108,34
native,fixedpre_protocol_mean,2017,1989,2016,3636,1480,117,18
native,fixedpre_protocol_mean,2018,1989,2017,3753,1498,134,100
native,fixedpre_protocol_mean,2019,1989,2018,3887,1598,92,26
native,fixedpre_protocol_mean,2020,1989,2019,3979,1624,111,41
native,fixedpre_protocol_mean,2021,1989,2020,4090,1665,108,35
native,fixedpre_protocol_mean,2022,1989,2021,4198,1700,108,74
native,fixedpre_protocol_mean,2023,1989,2022,4306,1774,83,14
native,fixedpre_protocol_mean,2024,1989,2023,4389,1788,95,18
native,fixedpre_protocol_q23max,2005,1989,2004,1803,748,136,88
native,fixedpre_protocol_q23max,2006,1989,2005,1939,836,108,20
native,fixedpre_protocol_q23max,2007,1989,2006,2047,856,152,47
native,fixedpre_protocol_q23max,2008,1989,2007,2199,903,152,42
native,fixedpre_protocol_q23max,2009,1989,2008,2351,945,150,74
native,fixedpre_protocol_q23max,2010,1989,2009,2501,1019,151,79
native,fixedpre_protocol_q23max,2011,1989,2010,2652,1098,122,45
native,fixedpre_protocol_q23max,2012,1989,2011,2774,1143,127,26
native,fixedpre_protocol_q23max,2013,1989,2012,2901,1169,150,92
native,fixedpre_protocol_q23max,2014,1989,2013,3051,1261,133,46
native,fixedpre_protocol_q23max,2015,1989,2014,3184,1307,119,61
native,fixedpre_protocol_q23max,2016,1989,2015,3303,1368,100,35
native,fixedpre_protocol_q23max,2017,1989,2016,3403,1403,118,15
native,fixedpre_protocol_q23max,2018,1989,2017,3521,1418,127,100
native,fixedpre_protocol_q23max,2019,1989,2018,3648,1518,92,28
