cell_id,year,region_group,eligible_primary,event_primary,annual_area_m2_primary,eligible_variant,event_variant,annual_area_m2_variant,variant
westcoast_0010,2019,Washington outer coast,True,0,331849.0,True,1,337652.0,legacy_allhist_vf75_max
westcoast_0126,2020,Central California,True,1,1065125.0,True,0,1113358.0,legacy_allhist_vf75_max
westcoast_0127,2020,Central California,True,1,496511.0,True,0,514829.0,legacy_allhist_vf75_max
westcoast_0154,2011,Southern California,True,1,146713.0,True,0,147232.0,legacy_allhist_vf75_max
westcoast_0166,2008,Southern California,True,0,54197.0,True,1,55995.0,legacy_allhist_vf75_max
westcoast_0182,2015,Southern California,True,1,42864.0,True,0,43554.0,legacy_allhist_vf75_max
westcoast_0184,2006,Southern California,True,0,100634.0,True,1,106441.0,legacy_allhist_vf75_max
westcoast_0184,2016,Southern California,True,0,76553.0,True,1,83366.0,legacy_allhist_vf75_max
westcoast_0188,2007,Southern California,True,0,185118.0,True,1,190093.0,legacy_allhist_vf75_max
westcoast_0188,2022,Southern California,True,0,92418.0,True,1,97546.0,legacy_allhist_vf75_max
westcoast_0195,2006,Southern California,True,1,84333.0,True,0,40940.0,legacy_allhist_vf75_max
westcoast_0203,2009,Southern California,True,1,261312.0,True,0,289314.0,legacy_allhist_vf75_max
westcoast_0203,2010,Southern California,True,1,178714.0,True,0,545084.0,legacy_allhist_vf75_max
westcoast_0203,2013,Southern California,True,0,153089.0,True,1,477561.0,legacy_allhist_vf75_max
westcoast_0230,2005,Southern California,True,1,11217.0,True,0,11820.0,legacy_allhist_vf75_max
westcoast_0233,2014,Baja California Norte,True,1,7016.0,True,0,7166.0,legacy_allhist_vf75_max
westcoast_0236,2011,Baja California Norte,True,1,59001.0,True,0,60603.0,legacy_allhist_vf75_max
westcoast_0243,2018,Baja California Norte,True,1,77849.0,True,0,95550.0,legacy_allhist_vf75_max
westcoast_0244,2013,Baja California Norte,True,1,112359.0,True,0,145598.0,legacy_allhist_vf75_max
westcoast_0247,2017,Baja California Norte,True,0,102375.0,True,1,142144.0,legacy_allhist_vf75_max
westcoast_0248,2014,Baja California Norte,True,0,72391.0,True,1,148683.0,legacy_allhist_vf75_max
westcoast_0252,2009,Baja California Norte,True,0,2603562.0,True,1,2735009.0,legacy_allhist_vf75_max
westcoast_0255,2018,Baja California Norte,True,1,35873.0,True,0,42419.0,legacy_allhist_vf75_max
westcoast_0257,2016,Baja California Norte,True,0,184502.0,True,1,286042.0,legacy_allhist_vf75_max
westcoast_0258,2021,Baja California Norte,True,1,8264.0,True,0,10166.0,legacy_allhist_vf75_max
westcoast_0262,2010,Baja California Norte,True,0,11608.0,True,1,42075.0,legacy_allhist_vf75_max
westcoast_0274,2005,Baja California Norte,True,0,111367.0,True,1,128248.0,legacy_allhist_vf75_max
westcoast_0274,2021,Baja California Norte,True,0,141262.0,True,1,188212.0,legacy_allhist_vf75_max
westcoast_0279,2007,Baja California Norte,True,0,1012442.0,True,1,1216813.0,legacy_allhist_vf75_max
westcoast_0321,2021,Baja California Sur,True,0,169221.0,True,1,174440.0,legacy_allhist_vf75_max
westcoast_0010,2019,Washington outer coast,True,0,331849.0,True,1,337652.0,allhist_protocol_max
westcoast_0126,2020,Central California,True,1,1065125.0,True,0,1113358.0,allhist_protocol_max
westcoast_0127,2020,Central California,True,1,496511.0,True,0,514829.0,allhist_protocol_max
westcoast_0154,2011,Southern California,True,1,146713.0,True,0,147232.0,allhist_protocol_max
westcoast_0166,2008,Southern California,True,0,54197.0,True,1,55995.0,allhist_protocol_max
westcoast_0182,2015,Southern California,True,1,42864.0,True,0,43554.0,allhist_protocol_max
westcoast_0184,2006,Southern California,True,0,100634.0,True,1,106441.0,allhist_protocol_max
westcoast_0184,2016,Southern California,True,0,76553.0,True,1,83366.0,allhist_protocol_max
westcoast_0188,2007,Southern California,True,0,185118.0,True,1,190093.0,allhist_protocol_max
westcoast_0188,2022,Southern California,True,0,92418.0,True,1,97546.0,allhist_protocol_max
westcoast_0203,2009,Southern California,True,1,261312.0,True,0,289314.0,allhist_protocol_max
westcoast_0203,2010,Southern California,True,1,178714.0,True,0,545084.0,allhist_protocol_max
westcoast_0203,2013,Southern California,True,0,153089.0,True,1,477561.0,allhist_protocol_max
westcoast_0230,2005,Southern California,True,1,11217.0,True,0,11820.0,allhist_protocol_max
westcoast_0233,2014,Baja California Norte,True,1,7016.0,True,0,7166.0,allhist_protocol_max
westcoast_0236,2011,Baja California Norte,True,1,59001.0,True,0,60603.0,allhist_protocol_max
westcoast_0243,2018,Baja California Norte,True,1,77849.0,True,0,95550.0,allhist_protocol_max
westcoast_0244,2013,Baja California Norte,True,1,112359.0,True,0,145598.0,allhist_protocol_max
westcoast_0247,2017,Baja California Norte,True,0,102375.0,True,1,142144.0,allhist_protocol_max
westcoast_0248,2014,Baja California Norte,True,0,72391.0,True,1,148683.0,allhist_protocol_max
westcoast_0252,2009,Baja California Norte,True,0,2603562.0,True,1,2735009.0,allhist_protocol_max
westcoast_0255,2018,Baja California Norte,True,1,35873.0,True,0,42419.0,allhist_protocol_max
westcoast_0257,2016,Baja California Norte,True,0,184502.0,True,1,286042.0,allhist_protocol_max
westcoast_0258,2021,Baja California Norte,True,1,8264.0,True,0,10166.0,allhist_protocol_max
westcoast_0262,2010,Baja California Norte,True,0,11608.0,True,1,42075.0,allhist_protocol_max
westcoast_0274,2005,Baja California Norte,True,0,111367.0,True,1,128248.0,allhist_protocol_max
westcoast_0274,2018,Baja California Norte,True,1,251197.0,True,0,252799.0,allhist_protocol_max
westcoast_0274,2021,Baja California Norte,True,0,141262.0,True,1,188212.0,allhist_protocol_max
