region_group,sensor_era,cell_quarters,mean_fixed_valid_fraction,share_fixed_vf50,share_fixed_vf75,mean_passes,share_quarters_mean_passes_ge2,median_area_se_rss,median_area_se_sum
Baja California Norte,1984-2004 Landsat 4/5/7,3360,0.7922176221397018,0.7970238095238096,0.7866071428571428,3.882089627805339,0.6229166666666667,437.4849080532706,2302.0
Baja California Norte,2005-2012 Landsat 5/7,1280,0.9733018935247204,0.9875,0.96640625,5.304247242974538,0.9046875,1076.122860064644,15381.0
Baja California Norte,2013-2025 Landsat 7/8/9,2080,0.9885633036840151,0.9923076923076923,0.9836538461538461,6.994890629994645,0.95625,375.64452376058836,2333.5
Baja California Sur,1984-2004 Landsat 4/5/7,252,0.6540576435364851,0.6865079365079365,0.6468253968253969,4.289354772664577,0.5634920634920635,257.8681987432101,1402.0
Baja California Sur,2005-2012 Landsat 5/7,96,0.9865391657154942,1.0,1.0,6.835841666667474,0.96875,1849.7882461886666,41971.5
Baja California Sur,2013-2025 Landsat 7/8/9,156,0.9966407314306898,1.0,0.9935897435897436,10.61016811178886,1.0,153.0928844818144,718.0
Central California,1984-2004 Landsat 4/5/7,2856,0.9103048214092998,0.9278711484593838,0.9082633053221288,3.7267278056150634,0.7142857142857143,1336.5343153450049,19294.5
Central California,2005-2012 Landsat 5/7,1088,0.9845393726772277,0.9990808823529411,0.9954044117647058,5.3278759963087285,0.9448529411764706,1463.7630776117712,27409.0
Central California,2013-2025 Landsat 7/8/9,1768,0.9984193073065712,0.9994343891402715,0.998868778280543,6.538201207826045,0.9932126696832579,1331.8205532171864,21931.0
Northern California,1984-2004 Landsat 4/5/7,1344,0.8788133063373808,0.8965773809523809,0.8794642857142857,2.770803975858281,0.5401785714285714,169.74458549784117,356.5
Northern California,2005-2012 Landsat 5/7,512,0.97453573881991,0.990234375,0.982421875,4.238982841252634,0.91015625,352.4620082871931,2028.0
Northern California,2013-2025 Landsat 7/8/9,832,0.996926747341245,1.0,0.9987980769230769,5.371104462857947,0.9711538461538461,126.37610079642675,209.0
Oregon,1984-2004 Landsat 4/5/7,420,0.9084706649709262,0.9357142857142857,0.9119047619047619,4.2568199106041895,0.7619047619047619,427.7676626801957,2151.5
Oregon,2005-2012 Landsat 5/7,160,0.9602003712863665,0.9875,0.975,5.637276225360768,0.94375,353.72683890408564,1460.0
Oregon,2013-2025 Landsat 7/8/9,260,0.9942554944142781,1.0,0.9961538461538462,7.179996459513576,0.9846153846153847,380.9376546628748,1347.0
Southern California,1984-2004 Landsat 4/5/7,4368,0.9190957725807525,0.934981684981685,0.9123168498168498,3.344060150660239,0.6733058608058609,755.4799723659652,6115.5
Southern California,2005-2012 Landsat 5/7,1664,0.9852269958275834,0.9963942307692307,0.9873798076923077,5.348664419273074,0.9537259615384616,1095.6365656378202,18005.0
Southern California,2013-2025 Landsat 7/8/9,2704,0.9972034799716667,0.9981508875739645,0.9974112426035503,6.238127074375132,0.9822485207100592,768.9987642084745,8653.0
Washington outer coast,1984-2004 Landsat 4/5/7,1260,0.7940669786383258,0.8301587301587302,0.7746031746031746,2.786162027888298,0.5023809523809524,729.551852953698,6559.0
Washington outer coast,2005-2012 Landsat 5/7,480,0.9419352620958316,0.9645833333333333,0.9375,3.854742824824651,0.8020833333333334,1105.8769313493335,14588.5
Washington outer coast,2013-2025 Landsat 7/8/9,780,0.979486043074675,0.9884615384615385,0.9769230769230769,4.732148827618016,0.8884615384615384,1001.0783690875064,13385.5
