year,cell_quarters,mean_fixed_valid_fraction,share_fixed_vf50,share_fixed_vf75,mean_passes,passes5,passes7,passes8,passes_total,passes5_share,passes7_share,passes8_share,sensor_component_minus_total_passes
1984,660,0.558743554496502,0.5742424242424242,0.553030303030303,2.1963074420081337,2387885.0,0.0,0.0,2387885.0,1.0,0.0,0.0,0.0
1985,660,0.7186745035138833,0.7439393939393939,0.6984848484848485,1.712919380011544,2294502.0,0.0,0.0,2294502.0,1.0,0.0,0.0,0.0
1986,660,0.8821838126835215,0.896969696969697,0.8772727272727273,2.7560265839857396,4611635.0,0.0,0.0,4611635.0,1.0,0.0,0.0,0.0
1987,660,0.7968782711286229,0.8227272727272728,0.7787878787878788,2.5995895745121067,4061182.0,0.0,0.0,4061182.0,1.0,0.0,0.0,0.0
1988,660,0.7000654564661175,0.7257575757575757,0.6893939393939394,2.2240023259408797,3095320.0,0.0,0.0,3095320.0,1.0,0.0,0.0,0.0
1989,660,0.7949616043440063,0.8106060606060606,0.7863636363636364,3.1217394113699757,4857713.0,0.0,0.0,4857713.0,1.0,0.0,0.0,0.0
1990,660,0.7917813990509417,0.8121212121212121,0.7878787878787878,2.222997127745129,3294540.0,0.0,0.0,3294540.0,1.0,0.0,0.0,0.0
1991,660,0.6581278836760521,0.6772727272727272,0.6393939393939394,2.1321043904889274,2588050.0,0.0,0.0,2588050.0,1.0,0.0,0.0,0.0
1992,660,0.8628936639126273,0.8803030303030303,0.8454545454545455,2.9886901762530464,4941481.0,0.0,0.0,4941481.0,1.0,0.0,0.0,0.0
1993,660,0.9263966529446717,0.9424242424242424,0.9242424242424242,2.979190294915721,5575619.0,0.0,0.0,5575619.0,1.0,0.0,0.0,0.0
1994,660,0.9552570014259805,0.9712121212121212,0.95,3.2521287487851698,5877474.0,0.0,0.0,5877474.0,1.0,0.0,0.0,0.0
1995,660,0.9127619334453474,0.9303030303030303,0.9015151515151515,2.6776409553143514,4789785.0,0.0,0.0,4789785.0,1.0,0.0,0.0,0.0
1996,660,0.8849011145466963,0.9015151515151515,0.8727272727272727,2.9264815714840755,5092238.0,0.0,0.0,5092238.0,1.0,0.0,0.0,0.0
1997,660,0.9482274628714538,0.9651515151515152,0.95,3.2939967487949184,5931597.0,0.0,0.0,5931597.0,1.0,0.0,0.0,0.0
1998,660,0.9512916440680911,0.9712121212121212,0.956060606060606,3.250429656435282,6050462.0,0.0,0.0,6050462.0,1.0,0.0,0.0,0.0
