mode,variant,model,year,n,events,prevalence,ap,ap_lift,estimable,top20_k,top20_tp
common_rows,allhist_protocol_max,current_only,2005,129,80,0.6201550387596899,0.7483183643194118,0.12816332555972187,True,26,21
common_rows,allhist_protocol_max,current_only,2006,100,14,0.14,0.5349411820063993,0.39494118200639927,True,20,8
common_rows,allhist_protocol_max,current_only,2007,137,42,0.30656934306569344,0.5448206744420911,0.2382513313763977,True,28,19
common_rows,allhist_protocol_max,current_only,2008,140,34,0.24285714285714285,0.4958393312646563,0.2529821884075134,True,28,15
common_rows,allhist_protocol_max,current_only,2009,143,70,0.48951048951048953,0.5947951287974049,0.1052846392869154,True,29,14
common_rows,allhist_protocol_max,current_only,2010,142,74,0.5211267605633803,0.6580700440318306,0.1369432834684503,True,29,20
common_rows,allhist_protocol_max,current_only,2011,94,29,0.30851063829787234,0.4950136475302246,0.18650300923235225,True,19,11
common_rows,allhist_protocol_max,current_only,2012,99,15,0.15151515151515152,0.5792818617110314,0.42776671019587986,True,20,10
common_rows,allhist_protocol_max,current_only,2013,138,92,0.6666666666666666,0.7393764277679041,0.0727097611012375,True,28,22
common_rows,allhist_protocol_max,current_only,2014,129,49,0.3798449612403101,0.549078529699747,0.16923356845943693,True,26,19
common_rows,allhist_protocol_max,current_only,2015,115,59,0.5130434782608696,0.7479885712027621,0.23494509294189247,True,23,18
common_rows,allhist_protocol_max,current_only,2016,97,35,0.36082474226804123,0.6349519728381599,0.2741272305701186,True,20,13
common_rows,allhist_protocol_max,current_only,2017,109,14,0.12844036697247707,0.23307583002678278,0.10463546305430571,True,22,5
common_rows,allhist_protocol_max,current_only,2018,122,95,0.7786885245901639,0.8504440040661667,0.0717554794760028,True,25,23
common_rows,allhist_protocol_max,current_only,2019,84,28,0.3333333333333333,0.5792907013560894,0.24595736802275608,True,17,12
common_rows,allhist_protocol_max,current_only,2020,106,36,0.33962264150943394,0.41210462490308297,0.07248198339364903,True,22,9
common_rows,allhist_protocol_max,current_only,2021,105,34,0.3238095238095238,0.4940491210926682,0.17023959728314436,True,21,12
common_rows,allhist_protocol_max,current_only,2022,105,72,0.6857142857142857,0.860630337954594,0.17491605224030826,True,21,20
common_rows,allhist_protocol_max,current_only,2023,80,14,0.175,0.28896310554420707,0.11396310554420708,True,16,3
common_rows,allhist_protocol_max,current_only,2024,91,16,0.17582417582417584,0.19574187394031742,0.01991769811614158,True,19,1
common_rows,allhist_protocol_max,current_plus_trajectory,2005,129,80,0.6201550387596899,0.7644651788724698,0.14431014011277987,True,26,21
common_rows,allhist_protocol_max,current_plus_trajectory,2006,100,14,0.14,0.7041594180038115,0.5641594180038115,True,20,10
common_rows,allhist_protocol_max,current_plus_trajectory,2007,137,42,0.30656934306569344,0.5763887393866647,0.26981939632097124,True,28,19
common_rows,allhist_protocol_max,current_plus_trajectory,2008,140,34,0.24285714285714285,0.5043514903529429,0.26149434749580003,True,28,14
common_rows,allhist_protocol_max,current_plus_trajectory,2009,143,70,0.48951048951048953,0.5270066441023551,0.03749615459186556,True,29,16
common_rows,allhist_protocol_max,current_plus_trajectory,2010,142,74,0.5211267605633803,0.6654918761711982,0.14436511560781795,True,29,20
common_rows,allhist_protocol_max,current_plus_trajectory,2011,94,29,0.30851063829787234,0.4839543665242559,0.17544372822638354,True,19,9
common_rows,allhist_protocol_max,current_plus_trajectory,2012,99,15,0.15151515151515152,0.48625914520233426,0.3347439936871828,True,20,10
common_rows,allhist_protocol_max,current_plus_trajectory,2013,138,92,0.6666666666666666,0.7175119022341929,0.05084523556752629,True,28,20
common_rows,allhist_protocol_max,current_plus_trajectory,2014,129,49,0.3798449612403101,0.536049995022748,0.15620503378243789,True,26,18
common_rows,allhist_protocol_max,current_plus_trajectory,2015,115,59,0.5130434782608696,0.6999921971013603,0.1869487188404907,True,23,18
common_rows,allhist_protocol_max,current_plus_trajectory,2016,97,35,0.36082474226804123,0.6664913056009846,0.30566656333294334,True,20,15
common_rows,allhist_protocol_max,current_plus_trajectory,2017,109,14,0.12844036697247707,0.2959877527309009,0.16754738575842382,True,22,6
common_rows,allhist_protocol_max,current_plus_trajectory,2018,122,95,0.7786885245901639,0.8686721309730776,0.0899836063829137,True,25,22
common_rows,allhist_protocol_max,current_plus_trajectory,2019,84,28,0.3333333333333333,0.6451367568886449,0.3118034235553116,True,17,13
common_rows,allhist_protocol_max,current_plus_trajectory,2020,106,36,0.33962264150943394,0.46531608850748774,0.1256934469980538,True,22,11
common_rows,allhist_protocol_max,current_plus_trajectory,2021,105,34,0.3238095238095238,0.5084930643885819,0.18468354057905806,True,21,12
common_rows,allhist_protocol_max,current_plus_trajectory,2022,105,72,0.6857142857142857,0.8898836135935659,0.20416932787928022,True,21,20
common_rows,allhist_protocol_max,current_plus_trajectory,2023,80,14,0.175,0.368465914101193,0.19346591410119302,True,16,5
common_rows,allhist_protocol_max,current_plus_trajectory,2024,91,16,0.17582417582417584,0.26266263616658847,0.08683846034241263,True,19,5
common_rows,allhist_protocol_max,trajectory_plus_oisst,2005,129,80,0.6201550387596899,0.7790178552818199,0.15886281652212997,True,26,22
common_rows,allhist_protocol_max,trajectory_plus_oisst,2006,100,14,0.14,0.46655517975319705,0.32655517975319703,True,20,6
common_rows,allhist_protocol_max,trajectory_plus_oisst,2007,137,42,0.30656934306569344,0.5194355879007253,0.21286624483503186,True,28,16
common_rows,allhist_protocol_max,trajectory_plus_oisst,2008,140,34,0.24285714285714285,0.4708961849768669,0.22803904211972406,True,28,13
common_rows,allhist_protocol_max,trajectory_plus_oisst,2009,143,70,0.48951048951048953,0.5070793854970899,0.01756889598660033,True,29,16
common_rows,allhist_protocol_max,trajectory_plus_oisst,2010,142,74,0.5211267605633803,0.5902253759569842,0.06909861539360396,True,29,16
common_rows,allhist_protocol_max,trajectory_plus_oisst,2011,94,29,0.30851063829787234,0.5711969045641062,0.26268626626623387,True,19,12
common_rows,allhist_protocol_max,trajectory_plus_oisst,2012,99,15,0.15151515151515152,0.6822671407777644,0.5307519892626129,True,20,10
common_rows,allhist_protocol_max,trajectory_plus_oisst,2013,138,92,0.6666666666666666,0.6843883642657911,0.017721697599124453,True,28,19
common_rows,allhist_protocol_max,trajectory_plus_oisst,2014,129,49,0.3798449612403101,0.4580954354049302,0.07825047416462011,True,26,14
common_rows,allhist_protocol_max,trajectory_plus_oisst,2015,115,59,0.5130434782608696,0.7488492125598811,0.23580573429901153,True,23,18
common_rows,allhist_protocol_max,trajectory_plus_oisst,2016,97,35,0.36082474226804123,0.5924509158201019,0.23162617355206067,True,20,13
common_rows,allhist_protocol_max,trajectory_plus_oisst,2017,109,14,0.12844036697247707,0.2780519278447437,0.14961156087226662,True,22,6
common_rows,allhist_protocol_max,trajectory_plus_oisst,2018,122,95,0.7786885245901639,0.8940590121451919,0.11537048755502799,True,25,24
common_rows,allhist_protocol_max,trajectory_plus_oisst,2019,84,28,0.3333333333333333,0.5940461529170641,0.26071281958373077,True,17,12
common_rows,allhist_protocol_max,trajectory_plus_oisst,2020,106,36,0.33962264150943394,0.5118301200279671,0.17220747851853319,True,22,10
common_rows,allhist_protocol_max,trajectory_plus_oisst,2021,105,34,0.3238095238095238,0.5711527933697165,0.24734326956019265,True,21,13
common_rows,allhist_protocol_max,trajectory_plus_oisst,2022,105,72,0.6857142857142857,0.8301983379529001,0.14448405223861438,True,21,17
