year,modeling_rows,decline_event_count,decline_event_p25_full_count,decline_50pct_count,decline_event_rate
1984,50,7,6,1,0.14
1985,50,10,8,14,0.2
1986,50,12,4,13,0.24
1987,50,7,5,8,0.14
1988,50,2,2,8,0.04
1989,50,1,1,0,0.02
1990,50,15,8,23,0.3
1991,50,9,3,13,0.18
1992,50,16,11,13,0.32
1993,50,7,3,8,0.14
1994,50,35,22,33,0.7
1995,50,24,19,5,0.48
1996,50,7,6,1,0.14
1997,50,43,40,40,0.86
1998,50,5,5,0,0.1
1999,50,13,13,23,0.26
2000,50,2,3,1,0.04
2001,50,3,1,7,0.06
2002,50,25,13,23,0.5
2003,50,9,3,2,0.18
2004,50,21,9,17,0.42
2005,50,26,16,12,0.52
2006,50,2,1,1,0.04
2007,50,4,4,6,0.08
2008,50,0,1,13,0.0
2009,50,14,8,23,0.28
2010,50,26,20,25,0.52
2011,50,12,9,0,0.24
2012,50,0,1,7,0.0
2013,50,31,19,36,0.62
2014,50,21,14,11,0.42
2015,50,21,13,3,0.42
2016,50,29,19,19,0.58
2017,50,19,11,4,0.38
2018,50,35,35,36,0.7
2019,50,26,23,4,0.52
2020,50,23,13,4,0.46
2021,50,24,19,15,0.48
2022,50,42,42,35,0.84
2023,50,37,33,6,0.74
2024,50,31,27,4,0.62
