cell_id,region_group,center_lat,center_lon,n_panel_years,first_panel_year,last_panel_year,historical_footprint_cells,historical_footprint_area_m2,mean_kelp_area_m2,max_kelp_area_m2,median_kelp_area_m2,mean_relative_canopy,max_relative_canopy,n_years_positive_kelp,mean_count_cells_no_clouds,panel_rows_expected,current_year_used_for_exclusion,current_and_future_years_excluded
cell_007,Northern California,39.442536,-123.779772,42,1984,2025,1477,1329300,33383.02380952,159150,8103.5,0.02511324,0.11972467,42,1473.88095238,yes,2026,true
cell_011,Northern California,39.35262,-123.775144,42,1984,2025,1326,1193400,44508.92857143,209798,14738,0.0372959,0.17579856,41,1323.5952381,yes,2026,true
cell_015,Northern California,39.262707,-123.770527,42,1984,2025,2825,2542500,134194.38095238,619276,68768,0.05278048,0.24356971,42,2818.71428571,yes,2026,true
cell_019,Northern California,39.172798,-123.765921,42,1984,2025,1847,1662300,78695.19047619,418348,21129,0.04734115,0.25166817,42,1839.76190476,yes,2026,true
cell_023,Northern California,39.082892,-123.761326,42,1984,2025,2002,1801800,49661.47619048,471466,10869.5,0.02756215,0.26166389,42,2001.5952381,yes,2026,true
cell_031,Northern California,38.903088,-123.75217,42,1984,2025,3842,3457800,157606.80952381,641885,110669.5,0.04558008,0.18563393,42,3841.76190476,yes,2026,true
cell_032,Northern California,38.906593,-123.636834,42,1984,2025,2751,2475900,105846.88095238,515969,41599,0.04275087,0.20839654,41,2750.97619048,yes,2026,true
cell_037,Northern California,38.816691,-123.632413,42,1984,2025,3346,3011400,167381.16666667,555827,131910,0.05558251,0.18457428,42,3342,yes,2026,true
cell_038,Northern California,38.820083,-123.517205,42,1984,2025,931,837900,40310.76190476,193723,20486,0.04810928,0.23120062,42,930.4047619,yes,2026,true
cell_042,Northern California,38.730178,-123.512935,42,1984,2025,868,781200,26975.80952381,113401,16339.5,0.03453125,0.14516257,42,867.38095238,yes,2026,true
cell_048,Northern California,38.64355,-123.393735,42,1984,2025,1715,1543500,68702.73809524,278870,16284.5,0.04451101,0.18067379,42,1704.35714286,yes,2026,true
cell_053,Northern California,38.553645,-123.389624,42,1984,2025,1092,982800,49431.28571429,187010,28362,0.05029638,0.19028287,38,1088.33333333,yes,2026,true
cell_054,Northern California,38.556807,-123.274815,42,1984,2025,1828,1645200,89806.16666667,471008,42165.5,0.05458678,0.28629224,42,1817.16666667,yes,2026,true
cell_059,Northern California,38.4669,-123.270852,42,1984,2025,1474,1326600,60869.23809524,307536,28465,0.04588364,0.2318227,42,1472.57142857,yes,2026,true
cell_060,Northern California,38.469948,-123.156172,42,1984,2025,632,568800,20614.0952381,103889,10489.5,0.03624138,0.18264592,38,631,yes,2026,true
cell_132,Northern California,37.139296,-122.311203,42,1984,2025,909,818100,25398.4047619,109205,14544,0.0310456,0.13348613,42,908.85714286,yes,2026,true
cell_142,Central California,36.961555,-122.193287,42,1984,2025,522,469800,44564.42857143,161330,30269,0.0948583,0.34340145,42,521.02380952,yes,2026,true
cell_143,Central California,36.963583,-122.080848,42,1984,2025,2739,2465100,399781.35714286,1168440,361793.5,0.16217653,0.47399294,42,2736.14285714,yes,2026,true
cell_144,Central California,36.965504,-121.968403,42,1984,2025,2109,1898100,243385.66666667,546261,245130.5,0.12822595,0.28779358,42,2108.69047619,yes,2026,true
cell_162,Central California,36.605697,-121.959107,42,1984,2025,6773,6095700,869582.28571429,2039083,828918,0.14265503,0.3345117,42,6668.35714286,yes,2026,true
cell_163,Central California,36.607503,-121.847188,42,1984,2025,650,585000,40502.73809524,124421,37123.5,0.06923545,0.21268547,42,649.47619048,yes,2026,true
cell_166,Central California,36.515737,-121.956797,42,1984,2025,5731,5157900,1343905.83333333,2289513,1348395,0.26055291,0.44388472,42,5667.35714286,yes,2026,true
cell_170,Central California,36.425775,-121.954492,42,1984,2025,3537,3183300,771349.47619048,1696838,801067.5,0.24231127,0.5330437,42,3508,yes,2026,true
cell_174,Central California,36.335809,-121.952193,42,1984,2025,3104,2793600,471188.0952381,1026121,401427,0.16866699,0.36731135,42,3084.78571429,yes,2026,true
cell_175,Central California,36.337609,-121.840668,42,1984,2025,1171,1053900,218343.9047619,379785,219497,0.20717706,0.36036151,42,1165.04761905,yes,2026,true
cell_180,Central California,36.247637,-121.838505,42,1984,2025,7367,6630300,2074398.85714286,3696384,2068887,0.31286652,0.55749876,42,7362.80952381,yes,2026,true
cell_181,Central California,36.249329,-121.727106,42,1984,2025,1105,994500,306058.52380952,544768,336999,0.30775116,0.54778079,42,1103.57142857,yes,2026,true
cell_185,Central California,36.159351,-121.725079,42,1984,2025,1570,1413000,485924.14285714,825113,486227,0.34389536,0.58394409,42,1557.07142857,yes,2026,true
cell_186,Central California,36.160936,-121.613805,42,1984,2025,2557,2301300,645240.19047619,1273590,663524.5,0.28038074,0.55342198,42,2554.61904762,yes,2026,true
cell_191,Central California,36.070952,-121.611913,42,1984,2025,3592,3232800,911823.42857143,1750494,930713,0.28205377,0.54147921,42,3572.83333333,yes,2026,true
cell_196,Central California,35.980964,-121.610026,42,1984,2025,2529,2276100,333524.69047619,1064979,310453.5,0.14653341,0.4678964,42,2523.4047619,yes,2026,true
cell_197,Central California,35.982439,-121.499009,42,1984,2025,2628,2365200,534956.76190476,1193977,493301.5,0.22617824,0.50481016,42,2617.02380952,yes,2026,true
cell_202,Central California,35.892445,-121.497255,42,1984,2025,2824,2541600,475364.33333333,1088617,445052.5,0.1870335,0.42831956,42,2820.57142857,yes,2026,true
cell_203,Central California,35.893814,-121.386364,42,1984,2025,763,686700,185208.54761905,472078,167710.5,0.26970809,0.68745886,42,762.64285714,yes,2026,true
cell_207,Central California,35.803813,-121.384744,42,1984,2025,3124,2811600,571639.69047619,1655484,435975,0.20331473,0.58880495,42,3123.92857143,yes,2026,true
cell_213,Central California,35.715068,-121.272492,42,1984,2025,3021,2718900,130758.35714286,480071,100798.5,0.04809237,0.1765681,42,3020.61904762,yes,2026,true
cell_218,Central California,35.625056,-121.271008,42,1984,2025,5084,4575600,836870.21428571,2106649,731696.5,0.18289846,0.46040935,42,5082.33333333,yes,2026,true
cell_219,Central California,35.62621,-121.160498,42,1984,2025,4971,4473900,1040258.42857143,2367603,919411,0.23251714,0.52920338,42,4970.66666667,yes,2026,true
cell_224,Central California,35.536191,-121.159146,42,1984,2025,2505,2254500,375963.57142857,1676349,277619,0.1667614,0.74355689,42,2505,yes,2026,true
cell_225,Central California,35.537239,-121.048761,42,1984,2025,5337,4803300,802520.64285714,3045242,648517,0.16707694,0.63398955,42,5337,yes,2026,true
cell_230,Central California,35.447214,-121.047541,42,1984,2025,4411,3969900,580188.30952381,2349369,374028.5,0.14614683,0.59179551,42,4411,yes,2026,true
cell_231,Central California,35.448156,-120.937281,42,1984,2025,5395,4855500,695197.5,1644726,638738,0.14317732,0.33873463,42,5394.97619048,yes,2026,true
cell_240,Central California,35.268085,-120.935106,42,1984,2025,1506,1355400,156631.57142857,485787,128261,0.11556114,0.35840859,42,1505.42857143,yes,2026,true
cell_246,Central California,35.178875,-120.824143,42,1984,2025,3089,2780100,83506.52380952,204527,71414.5,0.03003724,0.07356822,42,3085.5952381,yes,2026,true
cell_247,Central California,35.179606,-120.714262,42,1984,2025,2680,2412000,313410.26190476,858587,272636,0.12993792,0.35596476,42,2596.38095238,yes,2026,true
cell_277,Central California,34.549712,-120.599515,42,1984,2025,1181,1062900,152849.33333333,352647,132880.5,0.14380406,0.33177815,42,1181,yes,2026,true
cell_278,Central California,34.550229,-120.490514,42,1984,2025,2680,2412000,339593.73809524,780649,329057.5,0.14079342,0.32365216,42,2680,yes,2026,true
cell_283,Central California,34.460125,-120.489951,42,1984,2025,3268,2941200,432148.83333333,1148342,322293,0.14692943,0.39043316,42,3268,yes,2026,true
cell_284,Central California,34.460539,-120.381074,42,1984,2025,9415,8473500,739651.69047619,2607145,656379,0.08728999,0.30768219,42,9415,yes,2026,true
cell_285,Central California,34.460849,-120.272197,42,1984,2025,1519,1367100,122893.14285714,397283,108196.5,0.08989331,0.29060274,42,1519,yes,2026,true
