model,feature_set,test_pr_auc,test_recall,test_f1,test_precision,false_negatives,false_positives,delta_pr_auc_vs_canopy_only,delta_recall_vs_canopy_only,delta_f1_vs_canopy_only,delta_false_negatives_vs_canopy_only,delta_false_positives_vs_canopy_only
LightGBM,canopy_only,0.8834960300128065,0.5895522388059702,0.6991150442477876,0.8586956521739131,55,13,0.0,0.0,0.0,0,0
LightGBM,oisst_only,0.6735824616294275,0.3208955223880597,0.4365482233502538,0.6825396825396826,91,20,-0.20991356838337905,-0.2686567164179105,-0.2625668208975338,36,7
LightGBM,canopy_noaa,0.8155294953487338,0.3805970149253731,0.5340314136125655,0.8947368421052632,83,6,-0.06796653466407276,-0.20895522388059706,-0.16508363063522213,28,-7
Logistic Regression,canopy_only,0.8134724490243929,0.7985074626865671,0.7456445993031359,0.6993464052287581,27,46,0.0,0.0,0.0,0,0
Logistic Regression,oisst_only,0.7141019005558481,0.2611940298507462,0.3825136612021858,0.7142857142857143,99,14,-0.09937054846854476,-0.5373134328358209,-0.3631309381009501,72,-32
Logistic Regression,canopy_noaa,0.7823845480849092,0.6268656716417911,0.6885245901639344,0.7636363636363637,50,26,-0.03108790093948366,-0.17164179104477606,-0.057120009139201455,23,-20
Random Forest,canopy_only,0.8973625711126626,0.5895522388059702,0.7149321266968326,0.9080459770114944,55,8,0.0,0.0,0.0,0,0
Random Forest,oisst_only,0.7043859037607086,0.291044776119403,0.4126984126984127,0.7090909090909091,95,16,-0.19297666735195396,-0.2985074626865672,-0.3022337139984199,40,8
Random Forest,canopy_noaa,0.8306530758016963,0.2761194029850746,0.425287356321839,0.925,97,3,-0.06670949531096626,-0.3134328358208956,-0.2896447703749936,42,-5
SVM,canopy_only,0.8866272808552881,0.0,0.0,0.0,134,0,0.0,0.0,0.0,0,0
SVM,oisst_only,0.7412263285153959,0.0970149253731343,0.1756756756756756,0.9285714285714286,121,1,-0.14540095233989214,0.0970149253731343,0.1756756756756756,-13,1
SVM,canopy_noaa,0.8459373329066522,0.2462686567164179,0.3837209302325581,0.868421052631579,101,5,-0.040689947948635896,0.2462686567164179,0.3837209302325581,-33,5
XGBoost,canopy_only,0.8726195325249292,0.5895522388059702,0.7022222222222222,0.8681318681318682,55,12,0.0,0.0,0.0,0,0
XGBoost,oisst_only,0.7182896444345532,0.4477611940298507,0.5529953917050692,0.7228915662650602,74,23,-0.15432988809037596,-0.14179104477611948,-0.14922683051715302,19,11
XGBoost,canopy_noaa,0.8218494005035681,0.5223880597014925,0.6542056074766355,0.875,64,10,-0.05077013202136105,-0.0671641791044777,-0.048016614745586716,9,-2
