feature,non_missing_count,missing_count,min,max,mean,std,zero_count
center_lat,2050,0,34.460125,39.442536,36.75047876,1.5361492896939162,0
center_lon,2050,0,-123.779772,-120.272197,-122.03901852,1.1034357049100423,0
year,2050,0,1984,2024,2004.0,11.835046515020087,0
kelp_area_m2,2050,0,0,3696384,382125.39902439027,511151.215308459,10
count_cells_kelp,2050,0,0,7026,1106.009756097561,1145.458208521567,10
count_cells_no_clouds,2050,0,500,9415,2777.6243902439023,1858.3164705781687,0
count_cells_historic_footprint,2050,0,522,9415,2786.44,1861.8952863036068,0
historical_footprint_area_m2,2050,0,469800,8473500,2507796.0,1675705.757673246,0
relative_canopy,2050,0,0.0,0.74355689,0.1351818540487805,0.13311292412476303,10
next_year_kelp_area_m2,2050,0,0.0,3696384.0,382469.3434146342,510431.3960151709,7
next_year_relative_canopy,2050,0,0.0,0.74355689,0.1355522804,0.132926465148063,7
baseline_p25_relative_canopy_1984_2013,2050,0,0.0036307125,0.292318645,0.08296375954999999,0.08470549177019093,0
p25_relative_canopy_full_history,2050,0,0.0008191975,0.248949065,0.0641653116,0.06435656959415406,0
decline_event_next,2050,0,0,1,0.33951219512195124,0.4736592710213341,1354
decline_event_next_p25_full,2050,0,0,1,0.2502439024390244,0.43325911331698597,1537
relative_canopy_change_next,2050,0,-0.55675113,0.48398847,0.0003704263512195096,0.11705019898245289,1
relative_canopy_pct_change_next,2040,10,-1.0,654.733118971061,2.329122998423872,17.769911935648366,0
decline_50pct_next,2050,0,0,1,0.2521951219512195,0.4343786179972113,1533
nearest_oisst_lat,2050,0,34.375,39.375,36.735,1.5432309410560994,0
nearest_oisst_lon,2050,0,-123.875,-120.375,-122.045,1.1398393626173762,0
annual_mean_sst,2050,0,10.571315059923146,16.51290407050146,13.203101716588426,1.1071871676008627,0
annual_max_sst,2050,0,13.510000228881836,22.020000457763672,16.778841417359143,1.5716659263019175,0
annual_min_sst,2050,0,7.630000114440918,12.84000015258789,10.189126840219265,1.0250729918269925,0
annual_sst_std,2050,0,0.7778631786385334,2.5201025156416925,1.4464076818944798,0.34239676595382174,0
oisst_observed_days,2050,0,0,366,337.5853658536585,95.02407175177655,150
hot_days_p90,2050,0,0.0,167.0,49.05512195121951,42.29852062261334,53
hot_days_p95,2050,0,0.0,152.0,28.733658536585367,35.31047939189988,350
annual_mean_sst_anomaly,2050,0,-1.0017718338981396,2.133104795919845,0.21701973632676758,0.6324023146495231,0
annual_max_sst_anomaly,2050,0,-2.2225930955674897,3.852223255016185,0.33675255765975237,1.1608523835884788,0
oisst_gap_filled,2050,0,False,True,0.07317073170731707,0.2604800822095011,1900
oisst_source_lat,2050,0,34.375,39.375,36.73,1.5504507838018282,0
oisst_source_lon,2050,0,-123.875,-120.375,-122.045,1.1398393626173762,0
lag1_annual_mean_sst_anomaly,2000,50,-1.0017718338981396,2.133104795919845,0.2214335783612374,0.6378870675026045,0
lag1_hot_days_p90,2000,50,0.0,167.0,49.9275,42.421480817710545,53
cuti_lat_bin,1850,200,34.0,39.0,36.74,1.572811862626626,0
beuti_lat_bin,1850,200,34.0,39.0,36.74,1.572811862626626,0
annual_mean_cuti,1850,200,0.1707095890410958,1.1943260273972602,0.6441616580582379,0.20037689027488131,0
spring_mean_cuti,1850,200,0.3313695652173913,1.8283152173913044,0.9014833313748531,0.2815363927168446,0
summer_mean_cuti,1850,200,0.1549130434782608,1.960836956521739,0.9398178495887191,0.36578341075508825,0
cuti_anomaly,1850,200,-0.4751224858493554,0.2662254593561239,-0.0340846157819275,0.13009814296242447,0
annual_mean_beuti,1850,200,0.3341994535519126,20.778767123287672,6.766348889903153,3.7333744750482394,0
spring_mean_beuti,1850,200,0.6765978260869565,41.102836956521735,12.814353983548767,6.960947939912453,0
summer_mean_beuti,1850,200,0.2981521739130435,29.689793478260867,9.32424947121034,6.472777766426992,0
beuti_anomaly,1850,200,-7.299487453287039,9.6213288503285,-0.01470322280104611,2.476693141981923,0
lag1_cuti_anomaly,1800,250,-0.4751224858493554,0.2662254593561239,-0.03533905667071658,0.1314022465691619,0
lag1_beuti_anomaly,1800,250,-7.299487453287039,9.6213288503285,-0.0854092387615384,2.471588765215488,0
