feature,missing_count,missing_rate
nearest_oisst_lat,0,0.0
nearest_oisst_lon,0,0.0
oisst_source_lat,0,0.0
oisst_source_lon,0,0.0
oisst_observed_days,0,0.0
oisst_gap_filled,0,0.0
annual_mean_sst,0,0.0
annual_max_sst,0,0.0
annual_min_sst,0,0.0
annual_sst_std,0,0.0
annual_mean_sst_anomaly,0,0.0
annual_max_sst_anomaly,0,0.0
hot_days_p90,0,0.0
hot_days_p95,0,0.0
lag1_annual_mean_sst_anomaly,50,0.024390243902439025
lag1_hot_days_p90,50,0.024390243902439025
cuti_lat_bin,200,0.0975609756097561
beuti_lat_bin,200,0.0975609756097561
annual_mean_cuti,200,0.0975609756097561
spring_mean_cuti,200,0.0975609756097561
summer_mean_cuti,200,0.0975609756097561
cuti_anomaly,200,0.0975609756097561
lag1_cuti_anomaly,250,0.12195121951219512
annual_mean_beuti,200,0.0975609756097561
spring_mean_beuti,200,0.0975609756097561
summer_mean_beuti,200,0.0975609756097561
beuti_anomaly,200,0.0975609756097561
lag1_beuti_anomaly,250,0.12195121951219512
