feature,missing_count,non_missing_count,mean,std
growing_season_hot_days_p90_3x3,150,1650,18.94242424242424,21.012363600438547
growing_season_hot_days_p90_nearest,150,1650,18.85030303030303,20.79543182401879
growing_season_hot_days_p95_3x3,150,1650,11.05090909090909,17.358310114761885
growing_season_hot_days_p95_nearest,150,1650,10.96,17.023996904024486
growing_season_mean_sst_anomaly_3x3,150,1650,0.11968258537684479,0.7181195590875685
growing_season_mean_sst_anomaly_nearest,150,1650,0.12078323020339037,0.7297323679665175
pre_growing_season_hot_days_p90_3x3,150,1650,12.342424242424242,19.916190839411737
pre_growing_season_hot_days_p90_nearest,150,1650,12.276969696969697,19.695074308067333
pre_growing_season_hot_days_p95_3x3,150,1650,6.379393939393939,13.671856051909984
pre_growing_season_hot_days_p95_nearest,150,1650,6.350909090909091,13.584714406872559
pre_growing_season_mean_sst_anomaly_3x3,150,1650,0.13425273792321263,0.8166697793234698
pre_growing_season_mean_sst_anomaly_nearest,150,1650,0.13306321024092974,0.8212646155519474
spring_beuti_anomaly,0,1800,-0.3036819839279076,6.060603673233636
spring_beuti_anomaly_lag1,0,1800,-0.29409183900037134,6.065812830951505
spring_cuti_anomaly,0,1800,-0.04408399851356369,0.24330106665575674
spring_cuti_anomaly_lag1,0,1800,-0.04030895624303229,0.24418824797482228
spring_hot_days_p90_3x3,150,1650,11.727878787878788,18.648236154911856
spring_hot_days_p90_nearest,150,1650,11.674545454545454,18.392694895967193
spring_hot_days_p95_3x3,150,1650,5.518787878787879,11.70778010401945
spring_hot_days_p95_nearest,150,1650,5.5224242424242425,11.541253301797271
spring_mean_beuti,0,1800,12.80927272342995,7.0068306323214085
spring_mean_cuti,0,1800,0.8994574396135265,0.28250977679029776
spring_mean_sst_anomaly_3x3,150,1650,0.12400659367463308,0.8038035799629079
spring_mean_sst_anomaly_lag1_3x3,150,1650,0.12008776897023653,0.8038466648915031
spring_mean_sst_anomaly_lag1_nearest,150,1650,0.11929909060750027,0.8098113396215783
spring_mean_sst_anomaly_nearest,150,1650,0.12284222190964367,0.8098750935753848
summer_beuti_anomaly,0,1800,0.6358743148457819,3.789835152559759
summer_beuti_anomaly_lag1,0,1800,0.4085165793385355,3.561597607773084
summer_cuti_anomaly,0,1800,-0.0217909647900408,0.20368629974756347
summer_cuti_anomaly_lag1,0,1800,-0.02616943097361568,0.20340231595498973
summer_hot_days_p90_3x3,150,1650,11.013333333333334,13.740197601172413
summer_hot_days_p90_nearest,150,1650,11.017575757575758,13.537058949821194
summer_hot_days_p95_3x3,150,1650,6.586666666666667,10.920521811911323
summer_hot_days_p95_nearest,150,1650,6.498787878787879,10.732213699931863
summer_max_sst_anomaly_3x3,150,1650,0.11335332019347871,1.2026065704758724
summer_max_sst_anomaly_nearest,150,1650,0.11421412098688707,1.2277415026961147
summer_mean_beuti,0,1800,9.343020150966183,6.48506286492237
summer_mean_cuti,0,1800,0.9416322041062801,0.3655537064523906
summer_mean_sst_anomaly_3x3,150,1650,0.10171393557724655,0.7556592822655573
summer_mean_sst_anomaly_lag1_3x3,150,1650,0.1228791773259039,0.7465609983509358
summer_mean_sst_anomaly_lag1_nearest,150,1650,0.12424328098533083,0.76085329957347
summer_mean_sst_anomaly_nearest,150,1650,0.10360210835261838,0.7699863083319688
winter_beuti_anomaly,0,1800,-0.5216012794944849,3.031587521495135
winter_beuti_anomaly_lag1,0,1800,-0.3829506262588316,3.050006965142241
winter_cuti_anomaly,0,1800,-0.05515436857539421,0.2578949956169532
winter_cuti_anomaly_lag1,0,1800,-0.0440186237646494,0.25943835570742646
winter_hot_days_p90_3x3,150,1650,13.496363636363636,18.218944654366535
winter_hot_days_p90_nearest,150,1650,13.355151515151515,18.03348884600083
winter_hot_days_p95_3x3,150,1650,7.776969696969697,14.85384475384018
winter_hot_days_p95_nearest,150,1650,7.627272727272727,14.636442649867417
winter_mean_sst_anomaly_3x3,150,1650,0.17475294074404105,0.6962018586568447
winter_mean_sst_anomaly_lag1_3x3,150,1650,0.1308017498270157,0.6852181699152178
winter_mean_sst_anomaly_lag1_nearest,150,1650,0.13067345127883148,0.6878342316612595
winter_mean_sst_anomaly_nearest,150,1650,0.17441661820658874,0.6984771738252404
