case_selection,cell_id,year,region_group,y_true,predicted_probability,top_positive_shap_features,top_negative_shap_features,relative_canopy,annual_mean_sst_anomaly,hot_days_p90,beuti_anomaly,cuti_anomaly
top_high_risk_true_positive,cell_059,2023,Northern California,1,0.6679669312169312,beuti_anomaly=0.0621; relative_canopy=0.0308; kelp_area_m2=0.0267; annual_min_sst=0.0258; annual_mean_sst_anomaly=0.0238,annual_sst_std=-0.0198; hot_days_p95=-0.0122; cuti_anomaly=-0.0107; lag1_annual_mean_sst_anomaly=-0.0060; lag1_cuti_anomaly=-0.0050,0.00045455,0.4673768508940696,95.0,-1.341031470572993,-0.2184613608227239
top_high_risk_true_positive,cell_060,2023,Northern California,1,0.6569572742072742,beuti_anomaly=0.0578; relative_canopy=0.0311; annual_min_sst=0.0267; kelp_area_m2=0.0253; annual_mean_sst_anomaly=0.0207,annual_sst_std=-0.0167; hot_days_p95=-0.0150; cuti_anomaly=-0.0074; historical_footprint_area_m2=-0.0062; lag1_annual_mean_sst_anomaly=-0.0061,0.0,0.5774076030796707,82.0,-1.341031470572993,-0.2184613608227239
top_high_risk_true_positive,cell_143,2023,Central California,1,0.6306699781699783,beuti_anomaly=0.0619; hot_days_p95=0.0369; annual_min_sst=0.0282; annual_mean_sst_anomaly=0.0281; annual_max_sst_anomaly=0.0162,annual_sst_std=-0.0137; spring_mean_beuti=-0.0082; cuti_anomaly=-0.0078; kelp_area_m2=-0.0071; lag1_cuti_anomaly=-0.0065,0.04262748,0.6640488618222964,85.0,-1.6982154465154575,-0.2118754682812508
top_high_risk_true_positive,cell_162,2023,Central California,1,0.6281935379435378,beuti_anomaly=0.0587; annual_mean_sst_anomaly=0.0283; annual_max_sst_anomaly=0.0195; relative_canopy=0.0173; annual_min_sst=0.0152,annual_sst_std=-0.0218; lag1_beuti_anomaly=-0.0098; lag1_cuti_anomaly=-0.0080; cuti_anomaly=-0.0071; kelp_area_m2=-0.0058,0.01672868,0.5779152571490744,79.0,-1.6982154465154575,-0.2118754682812508
top_high_risk_true_positive,cell_166,2023,Central California,1,0.6184392089392088,beuti_anomaly=0.0551; annual_mean_sst_anomaly=0.0282; annual_max_sst_anomaly=0.0210; annual_min_sst=0.0176; hot_days_p95=0.0169,annual_sst_std=-0.0211; lag1_beuti_anomaly=-0.0099; lag1_cuti_anomaly=-0.0087; hot_days_p90=-0.0072; spring_mean_beuti=-0.0067,0.03996084,0.5779152571490744,79.0,-1.6982154465154575,-0.2118754682812508
canopy_false_negative_caught_by_canopy_noaa,cell_019,2022,Northern California,1,0.5911745661745664,kelp_area_m2=0.0339; annual_max_sst_anomaly=0.0339; count_cells_kelp=0.0288; relative_canopy=0.0253; cuti_anomaly=0.0160,beuti_anomaly=-0.0645; hot_days_p95=-0.0150; hot_days_p90=-0.0137; annual_mean_sst_anomaly=-0.0131; lag1_cuti_anomaly=-0.0102,0.00178849,-0.1054177241009863,37.0,1.594038439369596,-0.1158183762603143
canopy_false_negative_caught_by_canopy_noaa,cell_019,2023,Northern California,1,0.5341942039442038,cuti_anomaly=0.1009; kelp_area_m2=0.0442; relative_canopy=0.0328; count_cells_kelp=0.0243; summer_mean_beuti=0.0176,beuti_anomaly=-0.0754; summer_mean_cuti=-0.0430; annual_mean_beuti=-0.0188; hot_days_p90=-0.0164; annual_sst_std=-0.0151,0.00244721,0.2117800834415852,65.0,-0.2574245743290326,-0.3264101570822322
canopy_false_negative_caught_by_canopy_noaa,cell_042,2022,Northern California,1,0.5579012746512746,kelp_area_m2=0.0305; relative_canopy=0.0263; count_cells_kelp=0.0221; cuti_anomaly=0.0172; relative_canopy_change_lag1=0.0139,beuti_anomaly=-0.0525; annual_mean_sst_anomaly=-0.0246; hot_days_p90=-0.0134; lag1_cuti_anomaly=-0.0123; lag1_annual_mean_sst_anomaly=-0.0096,0.01050307,-0.3079648042305596,17.0,1.594038439369596,-0.1158183762603143
canopy_false_negative_caught_by_canopy_noaa,cell_142,2023,Central California,1,0.5826409978909982,beuti_anomaly=0.0598; annual_min_sst=0.0302; hot_days_p95=0.0274; annual_mean_sst_anomaly=0.0246; annual_max_sst_anomaly=0.0136,cuti_anomaly=-0.0115; annual_sst_std=-0.0114; spring_mean_beuti=-0.0098; lag1_relative_canopy=-0.0095; lag1_beuti_anomaly=-0.0091,0.02746701,0.6640488618222964,85.0,-1.6982154465154575,-0.2118754682812508
canopy_false_negative_environment_summary,cell_015,2023,Northern California,1,0.4639137436637437,cuti_anomaly=0.0990; relative_canopy=0.0338; summer_mean_beuti=0.0157; annual_mean_sst_anomaly=0.0146; kelp_area_m2=0.0089,beuti_anomaly=-0.0764; summer_mean_cuti=-0.0451; annual_mean_beuti=-0.0247; hot_days_p90=-0.0180; annual_sst_std=-0.0171,0.00539508,0.2728067229747264,62.0,-0.2574245743290326,-0.3264101570822322
canopy_false_negative_environment_summary,cell_037,2021,Northern California,1,0.40651298701298677,summer_mean_beuti=0.0532; annual_mean_beuti=0.0399; annual_mean_cuti=0.0159; annual_min_sst=0.0086; spring_mean_cuti=0.0068,summer_mean_cuti=-0.0476; annual_sst_std=-0.0254; beuti_anomaly=-0.0241; hot_days_p90=-0.0212; hot_days_p95=-0.0190,0.04230624,-0.0407835637026607,44.0,9.6213288503285,0.0882090209999597
canopy_false_negative_environment_summary,cell_038,2021,Northern California,1,0.4180738335738334,summer_mean_beuti=0.0489; annual_mean_beuti=0.0403; annual_mean_cuti=0.0182; annual_min_sst=0.0082; annual_mean_sst=0.0069,summer_mean_cuti=-0.0497; beuti_anomaly=-0.0247; annual_sst_std=-0.0209; hot_days_p90=-0.0195; relative_canopy_change_lag1=-0.0190,0.03911207,-0.0407835637026607,44.0,9.6213288503285,0.0882090209999597
