feature,mean_abs_shap,rank_within_noaa,feature_group
beuti_anomaly,0.05901551795264338,1,BEUTI
annual_sst_std,0.02745216785272656,2,OISST
hot_days_p90,0.020746348585864532,3,OISST
cuti_anomaly,0.018199829258690004,4,CUTI
annual_mean_sst_anomaly,0.016558693169874218,5,OISST
lag1_cuti_anomaly,0.016308470760292605,6,CUTI
hot_days_p95,0.01419368613796938,7,OISST
lag1_annual_mean_sst_anomaly,0.014026035273737646,8,OISST
summer_mean_cuti,0.013763662234395069,9,CUTI
annual_max_sst_anomaly,0.013619635999644218,10,OISST
summer_mean_beuti,0.01278439095515388,11,BEUTI
annual_min_sst,0.010365782652557068,12,OISST
annual_mean_beuti,0.008786437280547633,13,BEUTI
annual_mean_cuti,0.00848713472963284,14,CUTI
lag1_hot_days_p90,0.008011316437840262,15,OISST
annual_max_sst,0.007834640206384186,16,OISST
spring_mean_cuti,0.007258456448724118,17,CUTI
spring_mean_beuti,0.005651225746401136,18,BEUTI
annual_mean_sst,0.005011331624397513,19,OISST
lag1_beuti_anomaly,0.00443251515824434,20,BEUTI
