canopy_group,environment_variable,stress_group,threshold_type,threshold_value,n_rows,decline_count,decline_rate,mean_environment_value
low_canopy,hot_days_p90,high_stress,median,37.0,358,188,0.5251396648044693,81.44972067039106
low_canopy,hot_days_p90,low_stress,median,37.0,242,118,0.48760330578512395,18.85123966942149
medium_canopy,hot_days_p90,high_stress,median,37.0,277,87,0.3140794223826715,85.24548736462094
medium_canopy,hot_days_p90,low_stress,median,37.0,323,89,0.2755417956656347,15.801857585139318
high_canopy,hot_days_p90,high_stress,median,37.0,275,87,0.31636363636363635,84.21454545454546
high_canopy,hot_days_p90,low_stress,median,37.0,325,89,0.27384615384615385,13.787692307692307
low_canopy,annual_mean_sst_anomaly,high_stress,median,0.099220356524718,383,219,0.5718015665796344,0.7112967785633099
low_canopy,annual_mean_sst_anomaly,low_stress,median,0.099220356524718,217,87,0.4009216589861751,-0.2269644246326553
medium_canopy,annual_mean_sst_anomaly,high_stress,median,0.099220356524718,256,89,0.34765625,0.8228390617506804
medium_canopy,annual_mean_sst_anomaly,low_stress,median,0.099220356524718,344,87,0.25290697674418605,-0.3488924210970994
high_canopy,annual_mean_sst_anomaly,high_stress,median,0.099220356524718,261,94,0.36015325670498083,0.8216029240015996
high_canopy,annual_mean_sst_anomaly,low_stress,median,0.099220356524718,339,82,0.24188790560471976,-0.3918193010283768
low_canopy,beuti_anomaly,high_stress,median,-0.2334381505985598,375,183,0.488,-2.2174274093830926
low_canopy,beuti_anomaly,low_stress,median,-0.2334381505985598,225,123,0.5466666666666666,2.202923318490111
medium_canopy,beuti_anomaly,high_stress,median,-0.2334381505985598,270,81,0.3,-1.6392367277296764
medium_canopy,beuti_anomaly,low_stress,median,-0.2334381505985598,330,95,0.2878787878787879,1.9047668032778158
high_canopy,beuti_anomaly,high_stress,median,-0.2334381505985598,260,86,0.33076923076923076,-1.7784946477863692
high_canopy,beuti_anomaly,low_stress,median,-0.2334381505985598,340,90,0.2647058823529412,1.5911421390370482
low_canopy,cuti_anomaly,high_stress,median,-0.0193675185844173,382,220,0.5759162303664922,-0.16176495603519608
low_canopy,cuti_anomaly,low_stress,median,-0.0193675185844173,218,86,0.3944954128440367,0.07747899131856421
medium_canopy,cuti_anomaly,high_stress,median,-0.0193675185844173,271,82,0.3025830258302583,-0.11845746433715434
medium_canopy,cuti_anomaly,low_stress,median,-0.0193675185844173,329,94,0.2857142857142857,0.07413121432060442
high_canopy,cuti_anomaly,high_stress,median,-0.0193675185844173,247,69,0.2793522267206478,-0.11817619391142929
high_canopy,cuti_anomaly,low_stress,median,-0.0193675185844173,353,107,0.3031161473087819,0.0487865604554553
