model,feature_set,selection_rule,selected_threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,validation_false_positives,validation_false_negatives
Logistic Regression,canopy_only,default_0.5,0.5,,,False,0.5955882352941176,0.7864077669902912,0.6778242677824268,0.7390510948905109,55,22
Logistic Regression,canopy_only,max_f1,0.4,,,False,0.5230769230769231,0.9902912621359223,0.6845637583892618,0.8401976935749588,93,1
Logistic Regression,canopy_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
Logistic Regression,canopy_only,recall_ge_0.70_then_max_f1,0.4,,,False,0.5230769230769231,0.9902912621359223,0.6845637583892618,0.8401976935749588,93,1
Logistic Regression,canopy_only,max_recall_precision_ge_0.65,0.05,0.65,0.5,True,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
SVM,canopy_only,default_0.5,0.5,,,False,0.0,0.0,0.0,0.0,0,103
SVM,canopy_only,max_f1,0.3,,,False,0.7211538461538461,0.7281553398058253,0.7246376811594203,0.7267441860465116,29,28
SVM,canopy_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
SVM,canopy_only,recall_ge_0.70_then_max_f1,0.3,,,False,0.7211538461538461,0.7281553398058253,0.7246376811594203,0.7267441860465116,29,28
SVM,canopy_only,max_recall_precision_ge_0.65,0.3,0.65,0.65,False,0.7211538461538461,0.7281553398058253,0.7246376811594203,0.7267441860465116,29,28
Random Forest,canopy_only,default_0.5,0.5,,,False,0.75,0.6116504854368932,0.6737967914438503,0.6350806451612904,21,40
Random Forest,canopy_only,max_f1,0.3,,,False,0.5875,0.912621359223301,0.714828897338403,0.8216783216783217,66,9
Random Forest,canopy_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
Random Forest,canopy_only,recall_ge_0.70_then_max_f1,0.3,,,False,0.5875,0.912621359223301,0.714828897338403,0.8216783216783217,66,9
Random Forest,canopy_only,max_recall_precision_ge_0.65,0.45,0.65,0.65,False,0.6822429906542056,0.7087378640776699,0.6952380952380952,0.7032755298651252,34,30
XGBoost,canopy_only,default_0.5,0.5,,,False,0.696969696969697,0.6699029126213593,0.6831683168316832,0.675146771037182,30,34
XGBoost,canopy_only,max_f1,0.4,,,False,0.6164383561643836,0.8737864077669902,0.7228915662650602,0.8064516129032258,56,13
XGBoost,canopy_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
XGBoost,canopy_only,recall_ge_0.70_then_max_f1,0.4,,,False,0.6164383561643836,0.8737864077669902,0.7228915662650602,0.8064516129032258,56,13
XGBoost,canopy_only,max_recall_precision_ge_0.65,0.45,0.65,0.65,False,0.6581196581196581,0.7475728155339806,0.7,0.7277882797731569,40,26
LightGBM,canopy_only,default_0.5,0.5,,,False,0.6853932584269663,0.5922330097087378,0.6354166666666666,0.6087824351297405,28,42
LightGBM,canopy_only,max_f1,0.4,,,False,0.6504065040650406,0.7766990291262136,0.7079646017699115,0.7476635514018691,43,23
LightGBM,canopy_only,max_f2,0.1,,,False,0.5228426395939086,1.0,0.6866666666666666,0.8456486042692939,94,0
LightGBM,canopy_only,recall_ge_0.70_then_max_f1,0.4,,,False,0.6504065040650406,0.7766990291262136,0.7079646017699115,0.7476635514018691,43,23
LightGBM,canopy_only,max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.6504065040650406,0.7766990291262136,0.7079646017699115,0.7476635514018691,43,23
Logistic Regression,oisst_only,default_0.5,0.5,,,False,0.6629213483146067,0.5728155339805825,0.6145833333333334,0.5888223552894212,30,44
Logistic Regression,oisst_only,max_f1,0.45,,,False,0.5902777777777778,0.8252427184466019,0.6882591093117408,0.7643884892086331,59,18
Logistic Regression,oisst_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
Logistic Regression,oisst_only,recall_ge_0.70_then_max_f1,0.45,,,False,0.5902777777777778,0.8252427184466019,0.6882591093117408,0.7643884892086331,59,18
Logistic Regression,oisst_only,max_recall_precision_ge_0.65,0.5,0.65,0.65,False,0.6629213483146067,0.5728155339805825,0.6145833333333334,0.5888223552894212,30,44
SVM,oisst_only,default_0.5,0.5,,,False,0.7916666666666666,0.36893203883495146,0.5033112582781457,0.41304347826086957,10,65
SVM,oisst_only,max_f1,0.25,,,False,0.5439560439560439,0.9611650485436893,0.6947368421052632,0.8333333333333334,83,4
SVM,oisst_only,max_f2,0.15,,,False,0.5255102040816326,1.0,0.6889632107023411,0.8470394736842105,93,0
SVM,oisst_only,recall_ge_0.70_then_max_f1,0.25,,,False,0.5439560439560439,0.9611650485436893,0.6947368421052632,0.8333333333333334,83,4
SVM,oisst_only,max_recall_precision_ge_0.65,0.4,0.65,0.65,False,0.7323943661971831,0.5048543689320388,0.5977011494252874,0.5383022774327122,19,51
Random Forest,oisst_only,default_0.5,0.5,,,False,0.6219512195121951,0.49514563106796117,0.5513513513513514,0.5161943319838057,31,52
Random Forest,oisst_only,max_f1,0.3,,,False,0.5368421052631579,0.9902912621359223,0.6962457337883959,0.8471760797342193,88,1
Random Forest,oisst_only,max_f2,0.3,,,False,0.5368421052631579,0.9902912621359223,0.6962457337883959,0.8471760797342193,88,1
Random Forest,oisst_only,recall_ge_0.70_then_max_f1,0.3,,,False,0.5368421052631579,0.9902912621359223,0.6962457337883959,0.8471760797342193,88,1
Random Forest,oisst_only,max_recall_precision_ge_0.65,0.55,0.65,0.65,False,0.7121212121212122,0.4563106796116505,0.5562130177514792,0.4916317991631799,19,56
XGBoost,oisst_only,default_0.5,0.5,,,False,0.5769230769230769,0.7281553398058253,0.6437768240343348,0.6918819188191881,55,28
XGBoost,oisst_only,max_f1,0.4,,,False,0.5470588235294118,0.9029126213592233,0.6813186813186813,0.7989690721649485,77,10
XGBoost,oisst_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0
XGBoost,oisst_only,recall_ge_0.70_then_max_f1,0.4,,,False,0.5470588235294118,0.9029126213592233,0.6813186813186813,0.7989690721649485,77,10
XGBoost,oisst_only,max_recall_precision_ge_0.65,0.65,0.65,0.65,False,0.6621621621621622,0.47572815533980584,0.5536723163841808,0.5041152263374485,25,54
LightGBM,oisst_only,default_0.5,0.5,,,False,0.5047619047619047,0.5145631067961165,0.5096153846153846,0.5125725338491296,52,50
LightGBM,oisst_only,max_f1,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1
LightGBM,oisst_only,max_f2,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1
LightGBM,oisst_only,recall_ge_0.70_then_max_f1,0.2,,,False,0.5513513513513514,0.9902912621359223,0.7083333333333334,0.8542713567839196,83,1
LightGBM,oisst_only,max_recall_precision_ge_0.65,0.85,0.65,0.65,False,0.8235294117647058,0.13592233009708737,0.23333333333333334,0.16317016317016317,3,89
Logistic Regression,canopy_noaa,default_0.5,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,max_f1,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,max_f2,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,recall_ge_0.70_then_max_f1,0.5,,,False,0.5580110497237569,0.9805825242718447,0.7112676056338029,0.851602023608769,80,2
Logistic Regression,canopy_noaa,max_recall_precision_ge_0.65,0.65,0.65,0.65,False,0.6829268292682927,0.5436893203883495,0.6054054054054054,0.5668016194331984,26,47
