model,comparison,baseline_feature_set,comparison_feature_set,baseline_pr_auc,comparison_pr_auc,delta_pr_auc,baseline_recall,comparison_recall,delta_recall,baseline_f1,comparison_f1,delta_f1,baseline_precision,comparison_precision,delta_precision,baseline_false_negatives,comparison_false_negatives,delta_false_negatives,interpretation
Logistic Regression,canopy_noaa - canopy_only,canopy_only,canopy_noaa,0.8134724490243929,0.7823845480849092,-0.03108790093948366,0.7985074626865671,0.6268656716417911,-0.17164179104477606,0.7456445993031359,0.6885245901639344,-0.057120009139201455,0.6993464052287581,0.7636363636363637,0.06428995840760554,27,50,23,decreased PR-AUC by -0.031; decreased recall by -0.172; decreased F1 by -0.057; increased false negatives by 23. Adding NOAA context did not imply causal effects and should be read as feature-set augmentation. Aggregate PR-AUC did not improve within this algorithm.
Logistic Regression,oisst_only - canopy_only,canopy_only,oisst_only,0.8134724490243929,0.7141019005558481,-0.09937054846854476,0.7985074626865671,0.2611940298507462,-0.5373134328358209,0.7456445993031359,0.3825136612021858,-0.3631309381009501,0.6993464052287581,0.7142857142857143,0.014939309056956174,27,99,72,decreased PR-AUC by -0.099; decreased recall by -0.537; decreased F1 by -0.363; increased false negatives by 72. This contrasts environmental exposure variables alone with direct canopy-state monitoring.
Logistic Regression,canopy_noaa - oisst_only,oisst_only,canopy_noaa,0.7141019005558481,0.7823845480849092,0.0682826475290611,0.2611940298507462,0.6268656716417911,0.3656716417910449,0.3825136612021858,0.6885245901639344,0.30601092896174864,0.7142857142857143,0.7636363636363637,0.04935064935064937,99,50,-49,increased PR-AUC by +0.068; increased recall by +0.366; increased F1 by +0.306; reduced false negatives by 49. This isolates the added value of combining canopy-state variables with NOAA exposure variables relative to NOAA-only inputs.
SVM,canopy_noaa - canopy_only,canopy_only,canopy_noaa,0.8866272808552881,0.8459373329066522,-0.040689947948635896,0.0,0.2462686567164179,0.2462686567164179,0.0,0.3837209302325581,0.3837209302325581,0.0,0.868421052631579,0.868421052631579,134,101,-33,decreased PR-AUC by -0.041; increased recall by +0.246; increased F1 by +0.384; reduced false negatives by 33. Adding NOAA context did not imply causal effects and should be read as feature-set augmentation. Aggregate PR-AUC did not improve within this algorithm. It reduced missed decline events at the default threshold.
SVM,oisst_only - canopy_only,canopy_only,oisst_only,0.8866272808552881,0.7412263285153959,-0.14540095233989214,0.0,0.0970149253731343,0.0970149253731343,0.0,0.1756756756756756,0.1756756756756756,0.0,0.9285714285714286,0.9285714285714286,134,121,-13,decreased PR-AUC by -0.145; increased recall by +0.097; increased F1 by +0.176; reduced false negatives by 13. This contrasts environmental exposure variables alone with direct canopy-state monitoring.
SVM,canopy_noaa - oisst_only,oisst_only,canopy_noaa,0.7412263285153959,0.8459373329066522,0.10471100439125625,0.0970149253731343,0.2462686567164179,0.1492537313432836,0.1756756756756756,0.3837209302325581,0.2080452545568825,0.9285714285714286,0.868421052631579,-0.06015037593984962,121,101,-20,increased PR-AUC by +0.105; increased recall by +0.149; increased F1 by +0.208; reduced false negatives by 20. This isolates the added value of combining canopy-state variables with NOAA exposure variables relative to NOAA-only inputs.
Random Forest,canopy_noaa - canopy_only,canopy_only,canopy_noaa,0.8973625711126626,0.8306530758016963,-0.06670949531096626,0.5895522388059702,0.2761194029850746,-0.3134328358208956,0.7149321266968326,0.425287356321839,-0.2896447703749936,0.9080459770114944,0.925,0.01695402298850568,55,97,42,decreased PR-AUC by -0.067; decreased recall by -0.313; decreased F1 by -0.290; increased false negatives by 42. Adding NOAA context did not imply causal effects and should be read as feature-set augmentation. Aggregate PR-AUC did not improve within this algorithm.
Random Forest,oisst_only - canopy_only,canopy_only,oisst_only,0.8973625711126626,0.7043859037607086,-0.19297666735195396,0.5895522388059702,0.291044776119403,-0.2985074626865672,0.7149321266968326,0.4126984126984127,-0.3022337139984199,0.9080459770114944,0.7090909090909091,-0.19895506792058526,55,95,40,decreased PR-AUC by -0.193; decreased recall by -0.299; decreased F1 by -0.302; increased false negatives by 40. This contrasts environmental exposure variables alone with direct canopy-state monitoring.
Random Forest,canopy_noaa - oisst_only,oisst_only,canopy_noaa,0.7043859037607086,0.8306530758016963,0.1262671720409877,0.291044776119403,0.2761194029850746,-0.014925373134328401,0.4126984126984127,0.425287356321839,0.01258894362342633,0.7090909090909091,0.925,0.21590909090909094,95,97,2,increased PR-AUC by +0.126; decreased recall by -0.015; increased F1 by +0.013; increased false negatives by 2. This isolates the added value of combining canopy-state variables with NOAA exposure variables relative to NOAA-only inputs.
XGBoost,canopy_noaa - canopy_only,canopy_only,canopy_noaa,0.8726195325249292,0.8218494005035681,-0.05077013202136105,0.5895522388059702,0.5223880597014925,-0.0671641791044777,0.7022222222222222,0.6542056074766355,-0.048016614745586716,0.8681318681318682,0.875,0.006868131868131844,55,64,9,decreased PR-AUC by -0.051; decreased recall by -0.067; decreased F1 by -0.048; increased false negatives by 9. Adding NOAA context did not imply causal effects and should be read as feature-set augmentation. Aggregate PR-AUC did not improve within this algorithm.
XGBoost,oisst_only - canopy_only,canopy_only,oisst_only,0.8726195325249292,0.7182896444345532,-0.15432988809037596,0.5895522388059702,0.4477611940298507,-0.14179104477611948,0.7022222222222222,0.5529953917050692,-0.14922683051715302,0.8681318681318682,0.7228915662650602,-0.14524030186680792,55,74,19,decreased PR-AUC by -0.154; decreased recall by -0.142; decreased F1 by -0.149; increased false negatives by 19. This contrasts environmental exposure variables alone with direct canopy-state monitoring.
XGBoost,canopy_noaa - oisst_only,oisst_only,canopy_noaa,0.7182896444345532,0.8218494005035681,0.10355975606901491,0.4477611940298507,0.5223880597014925,0.07462686567164178,0.5529953917050692,0.6542056074766355,0.1012102157715663,0.7228915662650602,0.875,0.15210843373493976,74,64,-10,increased PR-AUC by +0.104; increased recall by +0.075; increased F1 by +0.101; reduced false negatives by 10. This isolates the added value of combining canopy-state variables with NOAA exposure variables relative to NOAA-only inputs.
LightGBM,canopy_noaa - canopy_only,canopy_only,canopy_noaa,0.8834960300128065,0.8155294953487338,-0.06796653466407276,0.5895522388059702,0.3805970149253731,-0.20895522388059706,0.6991150442477876,0.5340314136125655,-0.16508363063522213,0.8586956521739131,0.8947368421052632,0.03604118993135008,55,83,28,decreased PR-AUC by -0.068; decreased recall by -0.209; decreased F1 by -0.165; increased false negatives by 28. Adding NOAA context did not imply causal effects and should be read as feature-set augmentation. Aggregate PR-AUC did not improve within this algorithm.
LightGBM,oisst_only - canopy_only,canopy_only,oisst_only,0.8834960300128065,0.6735824616294275,-0.20991356838337905,0.5895522388059702,0.3208955223880597,-0.2686567164179105,0.6991150442477876,0.4365482233502538,-0.2625668208975338,0.8586956521739131,0.6825396825396826,-0.17615596963423052,55,91,36,decreased PR-AUC by -0.210; decreased recall by -0.269; decreased F1 by -0.263; increased false negatives by 36. This contrasts environmental exposure variables alone with direct canopy-state monitoring.
LightGBM,canopy_noaa - oisst_only,oisst_only,canopy_noaa,0.6735824616294275,0.8155294953487338,0.14194703371930628,0.3208955223880597,0.3805970149253731,0.05970149253731344,0.4365482233502538,0.5340314136125655,0.09748319026231167,0.6825396825396826,0.8947368421052632,0.2121971595655806,91,83,-8,increased PR-AUC by +0.142; increased recall by +0.060; increased F1 by +0.097; reduced false negatives by 8. This isolates the added value of combining canopy-state variables with NOAA exposure variables relative to NOAA-only inputs.
