target,feature_set,model_family,model_variant,model,split,n_observations,n_positive_events,event_prevalence,precision,recall,f1,f2,pr_auc,roc_auc,accuracy,false_positives,false_negatives,true_positives,true_negatives
actionable_decline_low_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,1.0,0.022222222222222223,0.043478260869565216,0.027624309392265192,0.49084157318688776,0.8193548387096774,0.78,0,44,1,155
actionable_decline_low_next,canopy_current_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.5,0.28888888888888886,0.36619718309859156,0.3155339805825243,0.48973465269386857,0.8227956989247313,0.775,13,32,13,142
actionable_decline_low_next,canopy_current_only,SVM,unweighted,SVM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.5578044670440336,0.8451612903225806,0.775,0,45,0,155
actionable_decline_low_next,canopy_current_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.4499605738970649,0.8219354838709678,0.775,0,45,0,155
actionable_decline_low_next,canopy_current_only,Random Forest,unweighted,Random Forest (unweighted),test,200,45,0.225,0.6666666666666666,0.08888888888888889,0.1568627450980392,0.10752688172043011,0.5946172309001835,0.8749820788530466,0.785,2,41,4,153
actionable_decline_low_next,canopy_current_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,45,0.225,0.5238095238095238,0.24444444444444444,0.3333333333333333,0.2736318407960199,0.6045091827283149,0.8751254480286739,0.78,10,34,11,145
actionable_decline_low_next,canopy_current_only,XGBoost,unweighted,XGBoost (unweighted),test,200,45,0.225,0.6,0.06666666666666667,0.12,0.08108108108108109,0.601330168335462,0.867383512544803,0.78,2,42,3,153
actionable_decline_low_next,canopy_current_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,45,0.225,0.4915254237288136,0.6444444444444445,0.5576923076923077,0.606694560669456,0.5659081741301495,0.856057347670251,0.77,30,16,29,125
actionable_decline_low_next,canopy_current_only,LightGBM,unweighted,LightGBM (unweighted),test,200,45,0.225,0.75,0.13333333333333333,0.22641509433962265,0.1595744680851064,0.6502550953086077,0.8855913978494624,0.795,2,39,6,153
actionable_decline_low_next,canopy_current_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,45,0.225,0.6,0.5333333333333333,0.5647058823529412,0.5454545454545454,0.67380142868608,0.8904659498207885,0.815,16,21,24,139
actionable_decline_low_next,canopy_trajectory_only,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.45786233038564694,0.7845161290322581,0.775,0,45,0,155
actionable_decline_low_next,canopy_trajectory_only,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.46,0.5111111111111111,0.4842105263157895,0.5,0.4434819258947807,0.7794982078853047,0.755,27,22,23,128
actionable_decline_low_next,canopy_trajectory_only,SVM,unweighted,SVM (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.42900058236271577,0.6699641577060931,0.775,0,45,0,155
actionable_decline_low_next,canopy_trajectory_only,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.35507479563444866,0.7630107526881721,0.765,2,45,0,153
actionable_decline_low_next,canopy_trajectory_only,Random Forest,unweighted,Random Forest (unweighted),test,200,45,0.225,0.42857142857142855,0.06666666666666667,0.11538461538461539,0.08021390374331551,0.4403544368931611,0.7948387096774194,0.77,4,42,3,151
actionable_decline_low_next,canopy_trajectory_only,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,45,0.225,0.3888888888888889,0.15555555555555556,0.2222222222222222,0.17676767676767677,0.45791183046542144,0.8020071684587814,0.755,11,38,7,144
actionable_decline_low_next,canopy_trajectory_only,XGBoost,unweighted,XGBoost (unweighted),test,200,45,0.225,0.3333333333333333,0.044444444444444446,0.0784313725490196,0.053763440860215055,0.4279181984484137,0.7916845878136202,0.765,4,43,2,151
actionable_decline_low_next,canopy_trajectory_only,XGBoost,cost_sensitive,XGBoost (cost_sensitive),test,200,45,0.225,0.3695652173913043,0.37777777777777777,0.37362637362637363,0.37610619469026546,0.3938367608983495,0.7934050179211469,0.715,29,28,17,126
actionable_decline_low_next,canopy_trajectory_only,LightGBM,unweighted,LightGBM (unweighted),test,200,45,0.225,0.375,0.13333333333333333,0.19672131147540983,0.15306122448979592,0.41658254665301275,0.7997132616487455,0.755,10,39,6,145
actionable_decline_low_next,canopy_trajectory_only,LightGBM,cost_sensitive,LightGBM (cost_sensitive),test,200,45,0.225,0.34375,0.24444444444444444,0.2857142857142857,0.25943396226415094,0.41969175573650896,0.79584229390681,0.725,21,34,11,134
actionable_decline_low_next,canopy_current_plus_trajectory,Logistic Regression,unweighted,Logistic Regression (unweighted),test,200,45,0.225,0.0,0.0,0.0,0.0,0.48088289698717457,0.8008602150537635,0.775,0,45,0,155
actionable_decline_low_next,canopy_current_plus_trajectory,Logistic Regression,cost_sensitive,Logistic Regression (cost_sensitive),test,200,45,0.225,0.45,0.4,0.4235294117647059,0.4090909090909091,0.46695145930561655,0.8054480286738351,0.755,22,27,18,133
actionable_decline_low_next,canopy_current_plus_trajectory,SVM,unweighted,SVM (unweighted),test,200,45,0.225,1.0,0.022222222222222223,0.043478260869565216,0.027624309392265192,0.37643551064632197,0.6616487455197132,0.78,0,44,1,155
actionable_decline_low_next,canopy_current_plus_trajectory,SVM,cost_sensitive,SVM (cost_sensitive),test,200,45,0.225,0.0,0.0,0.0,0.0,0.36306129734836523,0.7750537634408602,0.765,2,45,0,153
actionable_decline_low_next,canopy_current_plus_trajectory,Random Forest,unweighted,Random Forest (unweighted),test,200,45,0.225,0.2,0.022222222222222223,0.04,0.02702702702702703,0.4582879151975418,0.8305376344086022,0.76,4,44,1,151
actionable_decline_low_next,canopy_current_plus_trajectory,Random Forest,cost_sensitive,Random Forest (cost_sensitive),test,200,45,0.225,0.42857142857142855,0.13333333333333333,0.2033898305084746,0.15463917525773196,0.4601650330544433,0.837562724014337,0.765,8,39,6,147
