target,feature_set,model_family,f1_cost_sensitive,f1_unweighted,f2_cost_sensitive,f2_unweighted,false_negatives_cost_sensitive,false_negatives_unweighted,false_positives_cost_sensitive,false_positives_unweighted,pr_auc_cost_sensitive,pr_auc_unweighted,precision_cost_sensitive,precision_unweighted,recall_cost_sensitive,recall_unweighted,roc_auc_cost_sensitive,roc_auc_unweighted,delta_precision_cost_sensitive_minus_unweighted,delta_recall_cost_sensitive_minus_unweighted,delta_f1_cost_sensitive_minus_unweighted,delta_f2_cost_sensitive_minus_unweighted,delta_pr_auc_cost_sensitive_minus_unweighted,delta_roc_auc_cost_sensitive_minus_unweighted,delta_false_negatives_cost_sensitive_minus_unweighted,delta_false_positives_cost_sensitive_minus_unweighted
decline_event_next,canopy_current_only,LightGBM,0.7217391304347827,0.5291005291005291,0.6566455696202531,0.4230118443316413,51,84,13,5,0.877195809506113,0.8755971785355523,0.8645833333333334,0.9090909090909091,0.6194029850746269,0.373134328358209,0.7678652193577566,0.757123473541384,-0.04450757575757569,0.2462686567164179,0.1926386013342536,0.23363372528861182,0.0015986309705606772,0.010741745816372661,-33,8
decline_event_next,canopy_current_only,Logistic Regression,0.8053691275167785,0.0,0.8571428571428571,0.0,14,134,44,0,0.8573500909620518,0.8580309903843929,0.7317073170731707,0.0,0.8955223880597015,0.0,0.7486431478968792,0.7494346449570332,0.7317073170731707,0.8955223880597015,0.8053691275167785,0.8571428571428571,-0.0006808994223410636,-0.0007914970601539117,-120,44
decline_event_next,canopy_current_only,Random Forest,0.6039603960396039,0.4777777777777778,0.5049668874172185,0.3694158075601375,73,91,7,3,0.8764210960825551,0.8735653124737967,0.8970588235294118,0.9347826086956522,0.4552238805970149,0.3208955223880597,0.7654907281772954,0.7618724559023067,-0.03772378516624042,0.13432835820895522,0.12618261826182614,0.13555107985708104,0.0028557836087584887,0.0036182722749886764,-18,4
decline_event_next,canopy_current_only,SVM,0.0,0.029411764705882353,0.0,0.01858736059479554,134,132,0,0,0.8882178823579658,0.7890220288966198,0.0,1.0,0.0,0.014925373134328358,0.764246947082768,0.6396426956128448,-1.0,-0.014925373134328358,-0.029411764705882353,-0.01858736059479554,0.09919585346134607,0.12460425146992316,2,0
decline_event_next,canopy_current_only,XGBoost,0.7372881355932204,0.44571428571428573,0.6818181818181818,0.3379549393414211,47,95,15,2,0.8854584122618577,0.8907807038128097,0.8529411764705882,0.9512195121951219,0.6492537313432836,0.291044776119403,0.7834690185436454,0.7894617819990953,-0.0982783357245337,0.3582089552238806,0.29157384987893464,0.34386324247676064,-0.005322291550951985,-0.005992763455449968,-48,13
decline_event_next,canopy_current_plus_trajectory,LightGBM,0.38095238095238093,0.2754491017964072,0.30456852791878175,0.20210896309314588,98,111,19,10,0.6458127791924175,0.6874144443124965,0.6545454545454545,0.696969696969697,0.26865671641791045,0.17164179104477612,0.4319312528267752,0.4833785617367707,-0.042424242424242475,0.09701492537313433,0.10550327915597374,0.10245956482563587,-0.04160166512007901,-0.05144730890999549,-13,9
decline_event_next,canopy_current_plus_trajectory,Logistic Regression,0.5785123966942148,0.0,0.5434782608695652,0.0,64,134,38,0,0.6934981267558595,0.6990024930438538,0.6481481481481481,0.0,0.5223880597014925,0.0,0.46698326549072816,0.47421981004070557,0.6481481481481481,0.5223880597014925,0.5785123966942148,0.5434782608695652,-0.005504366287994222,-0.007236544549977408,-70,38
decline_event_next,canopy_current_plus_trajectory,Random Forest,0.25149700598802394,0.16993464052287582,0.18453427065026362,0.11711711711711711,113,121,12,6,0.6727736398585491,0.7048637031670509,0.6363636363636364,0.6842105263157895,0.15671641791044777,0.09701492537313433,0.49581637268204426,0.5351650836725464,-0.04784688995215314,0.05970149253731344,0.08156236546514811,0.0674171535331465,-0.03209006330850184,-0.03934871099050219,-8,6
decline_event_next,canopy_current_plus_trajectory,SVM,0.0,0.043478260869565216,0.0,0.027777777777777776,134,131,1,1,0.6805393516124442,0.7439364575016945,0.0,0.75,0.0,0.022388059701492536,0.5400271370420624,0.5903437358661239,-0.75,-0.022388059701492536,-0.043478260869565216,-0.027777777777777776,-0.0633971058892503,-0.050316598824061476,3,0
decline_event_next,canopy_current_plus_trajectory,XGBoost,0.4694835680751174,0.225,0.4065040650406504,0.1601423487544484,84,116,29,8,0.6484652585350521,0.6610062042504805,0.6329113924050633,0.6923076923076923,0.373134328358209,0.13432835820895522,0.41270918136589774,0.44335142469470823,-0.05939629990262896,0.23880597014925375,0.24448356807511737,0.246361716286202,-0.012540945715428409,-0.030642243328810492,-32,21
decline_event_next,canopy_plus_environment,LightGBM,0.4022346368715084,0.31952662721893493,0.3098106712564544,0.23642732049036777,98,107,9,8,0.7871349818587792,0.778673338068325,0.8,0.7714285714285715,0.26865671641791045,0.20149253731343283,0.6882632293080054,0.6745816372682044,0.02857142857142858,0.06716417910447761,0.08270800965257347,0.07338335076608662,0.00846164379045422,0.013681592039801016,-9,1
