threshold,precision,recall,f1,f2,false_positives,false_negatives,true_positives,true_negatives,predicted_positive_rate,target,feature_set,model_family,model_variant,model,selection_split
0.05,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.1,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.15,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.2,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,103,0,1.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.25,0.5372340425531915,0.9805825242718447,0.6941580756013745,0.8416666666666667,87,2,101,10,0.94,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.3,0.6370370370370371,0.8349514563106796,0.7226890756302521,0.7861060329067642,49,17,86,48,0.675,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.35,0.8823529411764706,0.14563106796116504,0.25,0.17482517482517482,2,88,15,95,0.085,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.4,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.45,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.5,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.55,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.6,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.65,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.7,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.75,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.8,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.85,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
0.9,0.0,0.0,0.0,0.0,0,103,0,97,0.0,decline_event_next,canopy_current_only,Logistic Regression,unweighted,Logistic Regression (unweighted),validation
