model,feature_set,selection_rule,selected_threshold,precision_floor_target,precision_floor_used,precision_floor_fallback_used,validation_precision,validation_recall,validation_f1,validation_f2,validation_false_positives,validation_false_negatives,test_precision,test_recall,test_f1,test_f2,test_pr_auc,test_roc_auc,test_false_positives,test_false_negatives,test_true_positives,test_true_negatives,test_predicted_positive_rate
Logistic Regression,canopy_only,default_0.5,0.5,,,False,0.5955882352941176,0.7864077669902912,0.6778242677824268,0.7390510948905109,55,22,0.6993464052287581,0.7985074626865671,0.7456445993031359,0.7764876632801161,0.8134724490243929,0.6863410221619177,46,27,107,20,0.765
Logistic Regression,canopy_only,max_f1,0.4,,,False,0.5230769230769231,0.9902912621359223,0.6845637583892618,0.8401976935749588,93,1,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8134724490243929,0.6863410221619177,66,0,134,0,1.0
Logistic Regression,canopy_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8134724490243929,0.6863410221619177,66,0,134,0,1.0
Logistic Regression,canopy_only,recall_ge_0.70_then_max_f1,0.4,,,False,0.5230769230769231,0.9902912621359223,0.6845637583892618,0.8401976935749588,93,1,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8134724490243929,0.6863410221619177,66,0,134,0,1.0
Logistic Regression,canopy_only,max_recall_precision_ge_0.65,0.05,0.65,0.5,True,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8134724490243929,0.6863410221619177,66,0,134,0,1.0
SVM,canopy_only,default_0.5,0.5,,,False,0.0,0.0,0.0,0.0,0,103,0.0,0.0,0.0,0.0,0.8866272808552881,0.7606286748077793,0,134,0,66,0.0
SVM,canopy_only,max_f1,0.3,,,False,0.7211538461538461,0.7281553398058253,0.7246376811594203,0.7267441860465116,29,28,0.7983193277310925,0.7089552238805971,0.7509881422924901,0.7251908396946565,0.8866272808552881,0.7606286748077793,24,39,95,42,0.595
SVM,canopy_only,max_f2,0.05,,,False,0.515,1.0,0.6798679867986799,0.8415032679738562,97,0,0.67,1.0,0.8023952095808383,0.9103260869565217,0.8866272808552881,0.7606286748077793,66,0,134,0,1.0
SVM,canopy_only,recall_ge_0.70_then_max_f1,0.3,,,False,0.7211538461538461,0.7281553398058253,0.7246376811594203,0.7267441860465116,29,28,0.7983193277310925,0.7089552238805971,0.7509881422924901,0.7251908396946565,0.8866272808552881,0.7606286748077793,24,39,95,42,0.595
SVM,canopy_only,max_recall_precision_ge_0.65,0.3,0.65,0.65,False,0.7211538461538461,0.7281553398058253,0.7246376811594203,0.7267441860465116,29,28,0.7983193277310925,0.7089552238805971,0.7509881422924901,0.7251908396946565,0.8866272808552881,0.7606286748077793,24,39,95,42,0.595
