label_target,feature_set,model,split,evaluation_type,year,budget_type,budget_value,k_selected,n_candidates,n_positive,base_prevalence,hits,false_alerts,missed_declines,precision_at_k,recall_at_k,false_discovery_rate_at_k,lift_at_k,expected_random_hits,enrichment_over_random
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,fixed_k,1.0,1,50,24,0.48,1,0,23,1.0,0.041666666666666664,0.0,2.0833333333333335,0.48,2.0833333333333335
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,fixed_k,3.0,3,50,24,0.48,3,0,21,1.0,0.125,0.0,2.0833333333333335,1.44,2.0833333333333335
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,fixed_k,5.0,5,50,24,0.48,5,0,19,1.0,0.20833333333333334,0.0,2.0833333333333335,2.4,2.0833333333333335
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,fixed_k,10.0,10,50,24,0.48,10,0,14,1.0,0.4166666666666667,0.0,2.0833333333333335,4.8,2.0833333333333335
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,fixed_k,15.0,15,50,24,0.48,12,3,12,0.8,0.5,0.2,1.6666666666666667,7.199999999999999,1.6666666666666667
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,fixed_k,20.0,20,50,24,0.48,14,6,10,0.7,0.5833333333333334,0.3,1.4583333333333333,9.6,1.4583333333333335
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,percent,0.1,5,50,24,0.48,5,0,19,1.0,0.20833333333333334,0.0,2.0833333333333335,2.4,2.0833333333333335
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,percent,0.2,10,50,24,0.48,10,0,14,1.0,0.4166666666666667,0.0,2.0833333333333335,4.8,2.0833333333333335
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,percent,0.3,15,50,24,0.48,12,3,12,0.8,0.5,0.2,1.6666666666666667,7.199999999999999,1.6666666666666667
decline_event_next,canopy_noaa,LightGBM,test,annual_topk,2021.0,percent,0.4,20,50,24,0.48,14,6,10,0.7,0.5833333333333334,0.3,1.4583333333333333,9.6,1.4583333333333335
