split,current_reference_state,next_reference_state,count,row_total,transition_probability,overall_share
pre_modeling,high_above_p75,high_above_p75,22,66,0.333333,0.088000
pre_modeling,high_above_p75,low_below_p25,11,66,0.166667,0.044000
pre_modeling,high_above_p75,lower_mid_p25_p50,7,66,0.106061,0.028000
pre_modeling,high_above_p75,upper_mid_p50_p75,26,66,0.393939,0.104000
pre_modeling,low_below_p25,high_above_p75,25,79,0.316456,0.100000
pre_modeling,low_below_p25,low_below_p25,13,79,0.164557,0.052000
pre_modeling,low_below_p25,lower_mid_p25_p50,21,79,0.265823,0.084000
pre_modeling,low_below_p25,upper_mid_p50_p75,20,79,0.253165,0.080000
pre_modeling,lower_mid_p25_p50,high_above_p75,19,49,0.387755,0.076000
pre_modeling,lower_mid_p25_p50,low_below_p25,6,49,0.122449,0.024000
pre_modeling,lower_mid_p25_p50,lower_mid_p25_p50,11,49,0.224490,0.044000
pre_modeling,lower_mid_p25_p50,upper_mid_p50_p75,13,49,0.265306,0.052000
pre_modeling,upper_mid_p50_p75,high_above_p75,17,56,0.303571,0.068000
pre_modeling,upper_mid_p50_p75,low_below_p25,8,56,0.142857,0.032000
pre_modeling,upper_mid_p50_p75,lower_mid_p25_p50,13,56,0.232143,0.052000
pre_modeling,upper_mid_p50_p75,upper_mid_p50_p75,18,56,0.321429,0.072000
test,high_above_p75,high_above_p75,12,26,0.461538,0.060000
test,high_above_p75,low_below_p25,7,26,0.269231,0.035000
test,high_above_p75,lower_mid_p25_p50,3,26,0.115385,0.015000
test,high_above_p75,upper_mid_p50_p75,4,26,0.153846,0.020000
test,low_below_p25,low_below_p25,108,126,0.857143,0.540000
test,low_below_p25,lower_mid_p25_p50,14,126,0.111111,0.070000
test,low_below_p25,upper_mid_p50_p75,4,126,0.031746,0.020000
test,lower_mid_p25_p50,high_above_p75,3,25,0.120000,0.015000
test,lower_mid_p25_p50,low_below_p25,11,25,0.440000,0.055000
test,lower_mid_p25_p50,lower_mid_p25_p50,5,25,0.200000,0.025000
test,lower_mid_p25_p50,upper_mid_p50_p75,6,25,0.240000,0.030000
test,upper_mid_p50_p75,high_above_p75,4,23,0.173913,0.020000
test,upper_mid_p50_p75,low_below_p25,8,23,0.347826,0.040000
test,upper_mid_p50_p75,lower_mid_p25_p50,4,23,0.173913,0.020000
test,upper_mid_p50_p75,upper_mid_p50_p75,7,23,0.304348,0.035000
train,high_above_p75,high_above_p75,132,367,0.359673,0.094286
train,high_above_p75,low_below_p25,76,367,0.207084,0.054286
train,high_above_p75,lower_mid_p25_p50,79,367,0.215259,0.056429
train,high_above_p75,upper_mid_p50_p75,80,367,0.217984,0.057143
train,low_below_p25,high_above_p75,52,394,0.131980,0.037143
train,low_below_p25,low_below_p25,151,394,0.383249,0.107857
train,low_below_p25,lower_mid_p25_p50,114,394,0.289340,0.081429
train,low_below_p25,upper_mid_p50_p75,77,394,0.195431,0.055000
train,lower_mid_p25_p50,high_above_p75,69,322,0.214286,0.049286
train,lower_mid_p25_p50,low_below_p25,98,322,0.304348,0.070000
train,lower_mid_p25_p50,lower_mid_p25_p50,73,322,0.226708,0.052143
train,lower_mid_p25_p50,upper_mid_p50_p75,82,322,0.254658,0.058571
train,upper_mid_p50_p75,high_above_p75,102,317,0.321767,0.072857
train,upper_mid_p50_p75,low_below_p25,96,317,0.302839,0.068571
train,upper_mid_p50_p75,lower_mid_p25_p50,59,317,0.186120,0.042143
train,upper_mid_p50_p75,upper_mid_p50_p75,60,317,0.189274,0.042857
validation,high_above_p75,high_above_p75,19,35,0.542857,0.095000
validation,high_above_p75,low_below_p25,7,35,0.200000,0.035000
validation,high_above_p75,lower_mid_p25_p50,5,35,0.142857,0.025000
validation,high_above_p75,upper_mid_p50_p75,4,35,0.114286,0.020000
validation,low_below_p25,high_above_p75,4,109,0.036697,0.020000
validation,low_below_p25,low_below_p25,82,109,0.752294,0.410000
validation,low_below_p25,lower_mid_p25_p50,12,109,0.110092,0.060000
validation,low_below_p25,upper_mid_p50_p75,11,109,0.100917,0.055000
validation,lower_mid_p25_p50,high_above_p75,11,32,0.343750,0.055000
validation,lower_mid_p25_p50,low_below_p25,6,32,0.187500,0.030000
validation,lower_mid_p25_p50,lower_mid_p25_p50,6,32,0.187500,0.030000
validation,lower_mid_p25_p50,upper_mid_p50_p75,9,32,0.281250,0.045000
validation,upper_mid_p50_p75,high_above_p75,7,24,0.291667,0.035000
validation,upper_mid_p50_p75,low_below_p25,8,24,0.333333,0.040000
validation,upper_mid_p50_p75,lower_mid_p25_p50,4,24,0.166667,0.020000
validation,upper_mid_p50_p75,upper_mid_p50_p75,5,24,0.208333,0.025000
