year,split,current_reference_state,next_reference_state,count,row_total,transition_probability,overall_share
1984,pre_modeling,low_below_p25,high_above_p75,20,43,0.465116,0.400000
1984,pre_modeling,low_below_p25,low_below_p25,6,43,0.139535,0.120000
1984,pre_modeling,low_below_p25,lower_mid_p25_p50,6,43,0.139535,0.120000
1984,pre_modeling,low_below_p25,upper_mid_p50_p75,11,43,0.255814,0.220000
1984,pre_modeling,lower_mid_p25_p50,high_above_p75,5,7,0.714286,0.100000
1984,pre_modeling,lower_mid_p25_p50,low_below_p25,1,7,0.142857,0.020000
1984,pre_modeling,lower_mid_p25_p50,lower_mid_p25_p50,1,7,0.142857,0.020000
1985,pre_modeling,high_above_p75,high_above_p75,7,25,0.280000,0.140000
1985,pre_modeling,high_above_p75,low_below_p25,6,25,0.240000,0.120000
1985,pre_modeling,high_above_p75,lower_mid_p25_p50,4,25,0.160000,0.080000
1985,pre_modeling,high_above_p75,upper_mid_p50_p75,8,25,0.320000,0.160000
1985,pre_modeling,low_below_p25,low_below_p25,1,7,0.142857,0.020000
1985,pre_modeling,low_below_p25,lower_mid_p25_p50,5,7,0.714286,0.100000
1985,pre_modeling,low_below_p25,upper_mid_p50_p75,1,7,0.142857,0.020000
1985,pre_modeling,lower_mid_p25_p50,high_above_p75,3,7,0.428571,0.060000
1985,pre_modeling,lower_mid_p25_p50,low_below_p25,1,7,0.142857,0.020000
1985,pre_modeling,lower_mid_p25_p50,lower_mid_p25_p50,2,7,0.285714,0.040000
1985,pre_modeling,lower_mid_p25_p50,upper_mid_p50_p75,1,7,0.142857,0.020000
1985,pre_modeling,upper_mid_p50_p75,high_above_p75,3,11,0.272727,0.060000
1985,pre_modeling,upper_mid_p50_p75,low_below_p25,2,11,0.181818,0.040000
1985,pre_modeling,upper_mid_p50_p75,lower_mid_p25_p50,1,11,0.090909,0.020000
1985,pre_modeling,upper_mid_p50_p75,upper_mid_p50_p75,5,11,0.454545,0.100000
1986,pre_modeling,high_above_p75,high_above_p75,2,13,0.153846,0.040000
