year,split,transition_type,n_observations,share_of_year_split_observations,mean_current_relative_canopy,mean_next_relative_canopy,mean_absolute_change,mean_proportional_drop,n_actionable_low_entry,n_sharp_drop_30,n_sharp_drop_50,n_high_to_low_transition,n_reference_to_low_transition
1984,pre_modeling,new_low_transition,1,0.020000,0.049430,0.014019,-0.035411,0.716390,0,0,0,0,0
1984,pre_modeling,persistent_low,6,0.120000,0.032823,0.026488,-0.006335,-3.681786,2,1,0,0,0
1984,pre_modeling,recovery_from_low,37,0.740000,0.045245,0.204292,0.159047,-19.204861,0,0,0,0,0
1984,pre_modeling,stable_non_low,6,0.120000,0.166159,0.386000,0.219842,-2.279826,0,0,0,0,0
1985,pre_modeling,new_low_transition,9,0.180000,0.292179,0.107179,-0.185000,0.644032,9,9,7,6,8
1985,pre_modeling,persistent_low,1,0.020000,0.002539,0.000220,-0.002319,0.913337,0,0,0,0,0
1985,pre_modeling,recovery_from_low,6,0.120000,0.028401,0.070225,0.041824,-16.737015,0,0,0,0,0
1985,pre_modeling,stable_non_low,34,0.680000,0.213094,0.173185,-0.039910,-0.090320,0,12,6,0,0
1986,pre_modeling,new_low_transition,10,0.200000,0.082922,0.015172,-0.067751,0.760429,8,8,7,5,8
1986,pre_modeling,persistent_low,2,0.040000,0.013157,0.014867,0.001710,-10.336626,0,0,0,0,0
1986,pre_modeling,recovery_from_low,8,0.160000,0.117315,0.229263,0.111948,-1.107057,0,0,0,0,0
1986,pre_modeling,stable_non_low,30,0.600000,0.182680,0.210642,0.027962,-0.155168,0,4,2,0,0
1987,pre_modeling,new_low_transition,5,0.100000,0.190623,0.095392,-0.095231,0.499578,3,2,2,0,3
1987,pre_modeling,persistent_low,2,0.040000,0.008899,0.002871,-0.006028,0.696629,0,0,0,0,0
1987,pre_modeling,recovery_from_low,10,0.200000,0.016366,0.072309,0.055943,-8.561828,0,0,0,0,0
1987,pre_modeling,stable_non_low,33,0.660000,0.218189,0.212477,-0.005712,-0.810704,0,6,3,0,0
1988,pre_modeling,persistent_low,2,0.040000,0.015401,0.015616,0.000215,0.336053,0,0,0,0,0
1988,pre_modeling,recovery_from_low,5,0.100000,0.090380,0.195763,0.105383,-4.005511,0,0,0,0,0
1988,pre_modeling,stable_non_low,43,0.860000,0.179880,0.185232,0.005352,-0.054424,0,11,7,0,0
1989,train,new_low_transition,1,0.020000,0.046333,0.036491,-0.009843,0.212433,0,0,0,0,0
1989,train,recovery_from_low,2,0.040000,0.015616,0.156987,0.141371,-9.148710,0,0,0,0,0
1989,train,stable_non_low,47,0.940000,0.189307,0.285962,0.096655,-0.783708,0,1,0,0,0
1990,train,new_low_transition,15,0.300000,0.219534,0.047419,-0.172115,0.823007,11,11,10,6,13
1990,train,recovery_from_low,1,0.020000,0.036491,0.080101,0.043610,-1.195109,0,0,0,0,0
1990,train,stable_non_low,34,0.680000,0.307682,0.250089,-0.057593,0.227398,0,15,9,0,0
1991,train,new_low_transition,6,0.120000,0.124036,0.063655,-0.060381,0.663666,4,4,2,0,3
1991,train,persistent_low,3,0.060000,0.007815,0.010568,0.002753,-0.293651,0,0,0,0,0
1991,train,recovery_from_low,12,0.240000,0.057320,0.156082,0.098762,-4.113933,0,0,0,0,0
1991,train,stable_non_low,29,0.580000,0.270307,0.210685,-0.059622,0.178109,0,10,8,0,0
1992,train,new_low_transition,15,0.300000,0.194328,0.043006,-0.151322,0.711636,10,10,8,5,10
1992,train,persistent_low,1,0.020000,0.270685,0.261580,-0.009105,0.033636,1,0,0,0,0
1992,train,recovery_from_low,8,0.160000,0.017869,0.096252,0.078383,-11.390093,0,0,0,0,0
1992,train,stable_non_low,26,0.520000,0.194921,0.180372,-0.014549,-0.374963,0,6,1,0,0
1993,train,new_low_transition,5,0.100000,0.170424,0.085085,-0.085339,0.469365,5,3,3,0,1
1993,train,persistent_low,2,0.040000,0.134671,0.138102,0.003430,-0.331131,1,0,0,0,0
1993,train,recovery_from_low,14,0.280000,0.045524,0.150485,0.104961,-7.616380,0,0,0,0,0
1993,train,stable_non_low,29,0.580000,0.158881,0.203823,0.044942,-0.533276,0,6,4,0,0
1994,train,new_low_transition,31,0.620000,0.179896,0.050108,-0.129788,0.744417,26,24,21,11,19
1994,train,persistent_low,4,0.080000,0.044413,0.030438,-0.013975,0.203435,1,1,0,0,0
1994,train,recovery_from_low,3,0.060000,0.174658,0.312003,0.137345,-0.927114,0,0,0,0,0
1994,train,stable_non_low,12,0.240000,0.203407,0.121174,-0.082234,0.446854,0,7,6,0,0
1995,train,new_low_transition,9,0.180000,0.148569,0.083175,-0.065394,0.498175,5,4,2,0,4
1995,train,persistent_low,15,0.300000,0.067767,0.062619,-0.005148,-0.899411,6,2,1,0,0
1995,train,recovery_from_low,20,0.400000,0.032929,0.077077,0.044148,-6.453357,0,0,0,0,0
1995,train,stable_non_low,6,0.120000,0.175495,0.171575,-0.003920,-1.388662,0,0,0,0,0
1996,train,new_low_transition,2,0.040000,0.063209,0.049972,-0.013237,0.162797,1,0,0,0,0
1996,train,persistent_low,5,0.100000,0.072601,0.106086,0.033485,-0.798682,2,0,0,0,0
