label_target,feature_set,model,split,budget_k,transition_type,selected_count,selected_share,true_decline_count,false_alert_count,actionable_low_entry_count,sharp_drop_30_count,new_low_transition_count,persistent_low_count
decline_event_next,canopy_only,Random Forest,test,1,persistent_low,4,1.000000,4,0,0,0,0,4
decline_event_next,canopy_only,Random Forest,test,3,new_low_transition,1,0.083333,1,0,0,0,1,0
decline_event_next,canopy_only,Random Forest,test,3,persistent_low,11,0.916667,11,0,0,0,0,11
decline_event_next,canopy_only,Random Forest,test,5,new_low_transition,1,0.050000,1,0,0,0,1,0
decline_event_next,canopy_only,Random Forest,test,5,persistent_low,19,0.950000,19,0,0,0,0,19
decline_event_next,canopy_only,Random Forest,test,10,new_low_transition,1,0.025000,1,0,0,0,1,0
decline_event_next,canopy_only,Random Forest,test,10,persistent_low,38,0.950000,38,0,1,0,0,38
decline_event_next,canopy_only,Random Forest,test,10,recovery_from_low,1,0.025000,0,1,0,0,0,0
decline_event_next,canopy_only,Random Forest,test,15,new_low_transition,3,0.050000,3,0,2,1,3,0
decline_event_next,canopy_only,Random Forest,test,15,persistent_low,54,0.900000,54,0,6,3,0,54
decline_event_next,canopy_only,Random Forest,test,15,recovery_from_low,2,0.033333,0,2,0,0,0,0
decline_event_next,canopy_only,Random Forest,test,15,stable_non_low,1,0.016667,0,1,0,0,0,0
decline_event_next,canopy_only,Random Forest,test,20,new_low_transition,7,0.087500,7,0,4,3,7,0
decline_event_next,canopy_only,Random Forest,test,20,persistent_low,65,0.812500,65,0,7,3,0,65
decline_event_next,canopy_only,Random Forest,test,20,recovery_from_low,5,0.062500,0,5,0,0,0,0
decline_event_next,canopy_only,Random Forest,test,20,stable_non_low,3,0.037500,0,3,0,1,0,0
