target_definition,feature_family,model,n_train,n_test,positive_events_test,event_prevalence_test,pr_auc,roc_auc,recall,precision,f1,balanced_accuracy,status
original_decline,oisst_only,Logistic Regression L2,1400,200,134,0.67,0.7141019005558481,0.5197874265038445,0.26119402985074625,0.7142857142857143,0.3825136612021858,0.524536408864767,computed
original_decline,oisst_only,Random Forest,1400,200,134,0.67,0.7058750048189284,0.5117593848937132,0.291044776119403,0.7358490566037735,0.41711229946524064,0.5394617819990954,computed
original_decline,crw_composite_only,Logistic Regression L2,1400,200,134,0.67,0.8275492075770666,0.6826096788783357,0.6343283582089553,0.7798165137614679,0.6995884773662552,0.6353459972862958,computed
original_decline,crw_composite_only,Random Forest,1400,200,134,0.67,0.6616580450888172,0.44595205789235637,0.14925373134328357,0.6451612903225806,0.24242424242424243,0.49129353233830847,computed
original_decline,oisst_plus_crw_composite,Logistic Regression L2,1400,200,134,0.67,0.7749157939818363,0.6031207598371778,0.5447761194029851,0.7019230769230769,0.6134453781512605,0.5375395748530076,computed
original_decline,oisst_plus_crw_composite,Random Forest,1400,200,134,0.67,0.6240578775774104,0.40988240615106286,0.1865671641791045,0.5434782608695652,0.2777777777777778,0.4341926729986431,computed
original_decline,canopy_only,Logistic Regression L2,1400,200,134,0.67,0.8573500909620518,0.7486431478968792,0.8955223880597015,0.7317073170731707,0.8053691275167785,0.6144278606965174,computed
original_decline,canopy_only,Random Forest,1400,200,134,0.67,0.8787395038442156,0.769109000452284,0.6044776119402985,0.84375,0.7043478260869566,0.6886024423337855,computed
original_decline,canopy_plus_crw_composite,Logistic Regression L2,1400,200,134,0.67,0.8452688446913335,0.7064676616915423,0.6417910447761194,0.7818181818181819,0.7049180327868853,0.6390773405698779,computed
original_decline,canopy_plus_crw_composite,Random Forest,1400,200,134,0.67,0.7177449207694299,0.5505427408412483,0.23134328358208955,0.7380952380952381,0.3522727272727273,0.5323383084577115,computed
at_risk_original_gt005,oisst_only,Logistic Regression L2,955,93,45,0.4838709677419355,0.5478006976966443,0.5634259259259259,0.2222222222222222,0.5,0.3076923076923077,0.5069444444444444,computed
at_risk_original_gt005,oisst_only,Random Forest,955,93,45,0.4838709677419355,0.41214966424758925,0.3412037037037037,0.2,0.4090909090909091,0.26865671641791045,0.46458333333333335,computed
at_risk_original_gt005,crw_composite_only,Logistic Regression L2,955,93,45,0.4838709677419355,0.4646463522437449,0.4180555555555555,0.4666666666666667,0.4117647058823529,0.4375,0.42083333333333334,computed
at_risk_original_gt005,crw_composite_only,Random Forest,955,93,45,0.4838709677419355,0.4135147208232434,0.38888888888888895,0.044444444444444446,0.18181818181818182,0.07142857142857142,0.4284722222222222,computed
at_risk_original_gt005,oisst_plus_crw_composite,Logistic Regression L2,955,93,45,0.4838709677419355,0.469712620940442,0.4208333333333333,0.6222222222222222,0.49122807017543857,0.5490196078431373,0.5090277777777777,computed
at_risk_original_gt005,oisst_plus_crw_composite,Random Forest,955,93,45,0.4838709677419355,0.3943125578972924,0.3402777777777778,0.2222222222222222,0.3448275862068966,0.2702702702702703,0.4131944444444444,computed
at_risk_original_gt005,canopy_only,Logistic Regression L2,955,93,45,0.4838709677419355,0.5148217772470559,0.5129629629629628,0.24444444444444444,0.4230769230769231,0.30985915492957744,0.46597222222222223,computed
at_risk_original_gt005,canopy_only,Random Forest,955,93,45,0.4838709677419355,0.6022468922588138,0.6101851851851852,0.4222222222222222,0.6129032258064516,0.5,0.5861111111111111,computed
at_risk_original_gt005,canopy_plus_crw_composite,Logistic Regression L2,955,93,45,0.4838709677419355,0.48323791933984417,0.425,0.4222222222222222,0.41304347826086957,0.4175824175824176,0.42986111111111114,computed
at_risk_original_gt005,canopy_plus_crw_composite,Random Forest,955,93,45,0.4838709677419355,0.4309900451885984,0.38796296296296295,0.06666666666666667,0.2,0.1,0.4083333333333333,computed
new_decline_transition,oisst_only,Logistic Regression L2,1400,200,26,0.13,0.14848136933183123,0.5562555260831122,0.2692307692307692,0.13725490196078433,0.18181818181818182,0.5081786030061892,computed
new_decline_transition,oisst_only,Random Forest,1400,200,26,0.13,0.09683414530415085,0.33366489832007074,0.0,0.0,0.0,0.4051724137931034,computed
new_decline_transition,crw_composite_only,Logistic Regression L2,1400,200,26,0.13,0.21170912844800158,0.3861626878868258,0.38461538461538464,0.08928571428571429,0.14492753623188406,0.39920424403183025,computed
new_decline_transition,crw_composite_only,Random Forest,1400,200,26,0.13,0.10322940843764096,0.3152077807250221,0.0,0.0,0.0,0.4885057471264368,computed
new_decline_transition,oisst_plus_crw_composite,Logistic Regression L2,1400,200,26,0.13,0.23109906380789808,0.5890804597701149,0.46153846153846156,0.14634146341463414,0.2222222222222222,0.5296198054818745,computed
new_decline_transition,oisst_plus_crw_composite,Random Forest,1400,200,26,0.13,0.09580368449926215,0.3370910698496905,0.0,0.0,0.0,0.4224137931034483,computed
new_decline_transition,canopy_only,Logistic Regression L2,1400,200,26,0.13,0.4067732255388687,0.7754199823165341,0.46153846153846156,0.42857142857142855,0.4444444444444444,0.6847922192749779,computed
new_decline_transition,canopy_only,Random Forest,1400,200,26,0.13,0.40419357062603156,0.8136604774535809,0.5769230769230769,0.39473684210526316,0.46875,0.7223695844385499,computed
