source_table,experiment_layer,target_definition,normalized_target,feature_family,normalized_feature_family,model,learning_strategy,threshold,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,train_positive_count,validation_positive_count,test_positive_count,n_train,n_validation,n_test,event_prevalence_test,status,notes
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,crw_composite_only,CRW_composite_only,Logistic Regression L2,,,0.8275492075770666,0.6826096788783357,0.6343283582089553,0.7798165137614679,0.6995884773662552,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,crw_composite_only,CRW_composite_only,Random Forest,,,0.6616580450888172,0.4459520578923563,0.1492537313432835,0.6451612903225806,0.2424242424242424,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,oisst_only,OISST_only,Logistic Regression L2,,,0.7141019005558481,0.5197874265038445,0.2611940298507462,0.7142857142857143,0.3825136612021858,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,oisst_only,OISST_only,Random Forest,,,0.7058750048189284,0.5117593848937132,0.291044776119403,0.7358490566037735,0.4171122994652406,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,canopy_only,canopy_only,Logistic Regression L2,,,0.8573500909620518,0.7486431478968792,0.8955223880597015,0.7317073170731707,0.8053691275167785,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,canopy_only,canopy_only,Random Forest,,,0.8787395038442156,0.769109000452284,0.6044776119402985,0.84375,0.7043478260869566,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,canopy_plus_crw_composite,canopy_plus_CRW,Logistic Regression L2,,,0.8452688446913335,0.7064676616915423,0.6417910447761194,0.7818181818181819,0.7049180327868853,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,canopy_plus_crw_composite,canopy_plus_CRW,Random Forest,,,0.7177449207694299,0.5505427408412483,0.2313432835820895,0.7380952380952381,0.3522727272727273,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,oisst_plus_crw_composite,multiscale_environment,Logistic Regression L2,,,0.7749157939818363,0.6031207598371778,0.5447761194029851,0.7019230769230769,0.6134453781512605,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_composite_model_comparison.csv,CRW_composite,original_decline,original_decline,oisst_plus_crw_composite,multiscale_environment,Random Forest,,,0.6240578775774104,0.4098824061510628,0.1865671641791045,0.5434782608695652,0.2777777777777778,,,,,,,,134.0,1400.0,,200.0,0.67,computed,
results/tables/crw5km_model_comparison.csv,CRW_daily_feasibility,original_decline,original_decline,crw5km,CRW_composite_only,not_run,,,,,,,,,,,,,,,0.0,0.0,,0.0,,dry_run_no_local_crw_cache,status=dry_run_no_local_crw_cache
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_only,rare_event_learning,LightGBM,cost_sensitive,,0.8747297008915589,0.75582315694256,0.5970149253731343,0.8602150537634409,0.7048458149779736,0.6359300476947536,54.0,13.0,80.0,53.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,LightGBM,cost_sensitive,,0.652741987732604,0.4766508367254636,0.1567164179104477,0.6176470588235294,0.25,0.1842105263157894,113.0,13.0,21.0,53.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,LightGBM,cost_sensitive,,0.7364861757730112,0.5471506105834465,0.3208955223880597,0.7678571428571429,0.4526315789473684,0.3631756756756756,91.0,13.0,43.0,53.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_trajectory_only,rare_event_learning,LightGBM,cost_sensitive,,0.7728228970322968,0.5924920850293984,0.4626865671641791,0.7294117647058823,0.5662100456621004,0.499194847020934,72.0,23.0,62.0,43.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory,rare_event_learning,LightGBM,cost_sensitive,,0.7862519581309304,0.658525554047942,0.4701492537313433,0.8076923076923077,0.5943396226415094,0.5130293159609121,71.0,15.0,63.0,51.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory_plus_environment,rare_event_learning,LightGBM,cost_sensitive,,0.6964880659251806,0.4765943012211668,0.2164179104477611,0.725,0.3333333333333333,0.2517361111111111,105.0,11.0,29.0,55.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_only,rare_event_learning,Logistic Regression,cost_sensitive,,0.8538538666243745,0.7477385798281321,0.8955223880597015,0.7272727272727273,0.802675585284281,0.8559201141226819,14.0,45.0,120.0,21.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,Logistic Regression,cost_sensitive,,0.7912853378137127,0.6239823609226595,0.664179104477612,0.7355371900826446,0.6980392156862745,0.6773211567732116,45.0,32.0,89.0,34.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,Logistic Regression,cost_sensitive,,0.7944125638568605,0.6289009497964723,0.6716417910447762,0.7377049180327869,0.703125,0.6838905775075987,44.0,32.0,90.0,34.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_trajectory_only,rare_event_learning,Logistic Regression,cost_sensitive,,0.7688589878339427,0.5369742198100407,0.5373134328358209,0.72,0.6153846153846154,0.5660377358490566,62.0,28.0,72.0,38.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory,rare_event_learning,Logistic Regression,cost_sensitive,,0.7792169513210153,0.5518995929443691,0.582089552238806,0.7027027027027027,0.636734693877551,0.6027820710973725,56.0,33.0,78.0,33.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory_plus_environment,rare_event_learning,Logistic Regression,cost_sensitive,,0.7834464050958133,0.6200814111261872,0.6716417910447762,0.75,0.7086614173228346,0.6859756097560976,44.0,30.0,90.0,36.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_only,rare_event_learning,Random Forest,cost_sensitive,,0.8477981688015068,0.7103120759837178,0.4104477611940298,0.8870967741935484,0.5612244897959183,0.459866220735786,79.0,7.0,55.0,59.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,Random Forest,cost_sensitive,,0.644898419612034,0.4484961555857079,0.0820895522388059,0.5,0.141025641025641,0.0985663082437276,123.0,11.0,11.0,55.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,Random Forest,cost_sensitive,,0.6913859255061845,0.5194482134780642,0.0970149253731343,0.6842105263157895,0.1699346405228758,0.1171171171171171,121.0,6.0,13.0,60.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_trajectory_only,rare_event_learning,Random Forest,cost_sensitive,,0.7808539737190183,0.6123925825418363,0.3805970149253731,0.8225806451612904,0.5204081632653061,0.4264214046822742,83.0,11.0,51.0,55.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory,rare_event_learning,Random Forest,cost_sensitive,,0.8038663589932666,0.6788783355947535,0.3283582089552239,0.8301886792452831,0.4705882352941176,0.3735144312393888,90.0,9.0,44.0,57.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_trajectory_plus_environment,rare_event_learning,Random Forest,cost_sensitive,,0.6657587571552326,0.48202170963365,0.0970149253731343,0.65,0.1688311688311688,0.1169064748201438,121.0,7.0,13.0,59.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_only,rare_event_learning,SVM,cost_sensitive,,0.8879279442326676,0.7675260063319764,0.0,0.0,0.0,0.0,134.0,0.0,0.0,66.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,environment_only,rare_event_learning,SVM,cost_sensitive,,0.6605482322722145,0.5066711895070104,0.1716417910447761,0.5476190476190477,0.2613636363636363,0.1989619377162629,111.0,19.0,23.0,47.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
outputs/model_results/environment_incremental_value_performance.csv,OISST_sensitivity,decline_event_next,original_decline,canopy_current_plus_environment,rare_event_learning,SVM,cost_sensitive,,0.6662491383445184,0.511420171867933,0.2313432835820895,0.6326530612244898,0.3387978142076502,0.2649572649572649,103.0,18.0,31.0,48.0,,,134.0,,,200.0,0.67,computed,oisst_matching_variant=nearest
