target_definition,evaluation_subgroup,best_naive_model,best_naive_pr_auc,best_naive_recall,best_naive_precision,best_ml_model,best_ml_group,best_ml_pr_auc,best_ml_recall,best_ml_precision,ml_minus_naive_pr_auc,gap_interpretation,claim_gate
A_original_decline_state,current_canopy_ge_historical_p50,E2_logistic_current_lag_slope,0.6097958287399281,0.6666666666666666,0.625,canopy_only / Random Forest,repo_ml_refit,0.5313855099656448,0.26666666666666666,0.5,-0.07841031877428328,naive_matches_or_exceeds_ml,diagnostic_screening_only
A_original_decline_state,current_canopy_ge_historical_p75,E2_logistic_current_lag_slope,0.640422077922078,0.5714285714285714,0.4444444444444444,canopy_noaa / SVM,repo_ml_refit,0.6394859109144824,0.0,0.0,-0.0009361670075955786,ml_similar_to_naive,diagnostic_screening_only
A_original_decline_state,current_canopy_gt_0_05,A_cell_p25_persistence_rule,0.8066000896632758,0.6,0.84375,canopy_only / Random Forest,repo_ml_refit,0.6334350794537679,0.4,0.6,-0.17316501020950792,naive_matches_or_exceeds_ml,diagnostic_screening_only
A_original_decline_state,full_sample,B_fixed_low_canopy_005_rule,0.8933121498059012,0.664179104477612,0.8317757009345794,canopy_only / Random Forest,repo_ml_refit,0.8973625711126626,0.5895522388059702,0.9080459770114943,0.004050421306761365,ml_similar_to_naive,diagnostic_screening_only
B_at_risk_original_decline_gt005,current_canopy_ge_historical_p50,E2_logistic_current_lag_slope,0.6569342422283597,0.7692307692307693,0.625,canopy_only / SVM,repo_ml_refit,0.5574538117881771,0.0,0.0,-0.09948043044018262,naive_matches_or_exceeds_ml,diagnostic_screening_only
B_at_risk_original_decline_gt005,current_canopy_ge_historical_p75,E2_logistic_current_lag_slope,0.6441326530612245,0.5714285714285714,0.4444444444444444,canopy_noaa / SVM,repo_ml_refit,0.6362262737262737,0.0,0.0,-0.007906379334950753,ml_similar_to_naive,diagnostic_screening_only
B_at_risk_original_decline_gt005,current_canopy_gt_0_05,A_cell_p25_persistence_rule,0.8066000896632758,0.6,0.84375,M0_nearest_grid_baseline / Random Forest,v2_multiscale_existing,0.7407394948984867,0.2666666666666666,0.9230769230769232,-0.06586059476478912,naive_matches_or_exceeds_ml,diagnostic_screening_only
B_at_risk_original_decline_gt005,full_sample,A_cell_p25_persistence_rule,0.8066000896632758,0.6,0.84375,canopy_only / Random Forest,repo_ml_refit,0.6334350794537679,0.4,0.6,-0.17316501020950792,naive_matches_or_exceeds_ml,diagnostic_screening_only
C_new_decline_transition,current_canopy_ge_historical_p50,E2_logistic_current_lag_slope,0.6097958287399281,0.6666666666666666,0.625,canopy_only / Random Forest,repo_ml_refit,0.5313855099656448,0.26666666666666666,0.5,-0.07841031877428328,naive_matches_or_exceeds_ml,diagnostic_screening_only
C_new_decline_transition,current_canopy_ge_historical_p75,E2_logistic_current_lag_slope,0.640422077922078,0.5714285714285714,0.4444444444444444,canopy_noaa / SVM,repo_ml_refit,0.6394859109144824,0.0,0.0,-0.0009361670075955786,ml_similar_to_naive,diagnostic_screening_only
C_new_decline_transition,current_canopy_gt_0_05,E2_logistic_current_lag_slope,0.5220083042160775,0.5555555555555556,0.4166666666666667,canopy_only / SVM,repo_ml_refit,0.4963499085838482,0.0,0.0,-0.02565839563222927,naive_matches_or_exceeds_ml,diagnostic_screening_only
C_new_decline_transition,full_sample,E2_logistic_current_lag_slope,0.430218818523096,0.5384615384615384,0.42424242424242425,canopy_only / Random Forest,repo_ml_refit,0.40092185705894273,0.4230769230769231,0.3548387096774194,-0.02929696146415328,naive_matches_or_exceeds_ml,diagnostic_screening_only
D_actionable_decline_drop,current_canopy_ge_historical_p50,E1_logistic_current_canopy_only,0.6497170451871499,0.5217391304347826,0.6666666666666666,oisst_only / Logistic Regression,repo_ml_refit,0.6907245355302908,0.8695652173913043,0.7692307692307693,0.041007490343140884,ml_similar_to_naive,diagnostic_screening_only
D_actionable_decline_drop,current_canopy_ge_historical_p75,E1_logistic_current_canopy_only,0.639655514789734,0.38461538461538464,0.625,oisst_only / Logistic Regression,repo_ml_refit,0.6308570263321395,0.9230769230769231,0.7058823529411765,-0.008798488457594567,ml_similar_to_naive,diagnostic_screening_only
D_actionable_decline_drop,current_canopy_gt_0_05,E1_logistic_current_canopy_only,0.563412391443498,0.35294117647058826,0.5714285714285714,oisst_only / Logistic Regression,repo_ml_refit,0.5265133375959519,0.6764705882352942,0.5609756097560976,-0.036899053847546104,naive_matches_or_exceeds_ml,diagnostic_screening_only
D_actionable_decline_drop,full_sample,E1_logistic_current_canopy_only,0.5634123914434979,0.5,0.53125,canopy_only / Logistic Regression,repo_ml_refit,0.5511782137790788,0.47058823529411764,0.6153846153846154,-0.012234177664419033,naive_matches_or_exceeds_ml,diagnostic_screening_only
