feature_family,model,pr_auc_1year,recall_1year,precision_1year,f1_1year,f2_1year,false_negatives_1year,false_positives_1year,positive_count_1year,total_evaluated_rows_1year,event_rate_1year,pr_auc_2year,recall_2year,precision_2year,f1_2year,f2_2year,false_negatives_2year,false_positives_2year,positive_count_2year,total_evaluated_rows_2year,event_rate_2year,pr_auc_2year_minus_1year,recall_2year_minus_1year,f2_2year_minus_1year,false_negatives_2year_minus_1year,event_rate_2year_minus_1year
canopy_current_plus_trajectory,Random Forest,0.523436,0.833333,0.510204,0.632911,0.739645,5,24,30,100,0.300000,0.974893,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.451456,0.166667,0.238616,-5,0.240000
canopy_current_plus_trajectory,XGBoost,0.520121,0.866667,0.490566,0.626506,0.751445,4,27,30,100,0.300000,0.970376,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.450255,0.133333,0.226816,-4,0.240000
canopy_current_plus_trajectory_plus_environment,Random Forest,0.416964,1.000000,0.500000,0.666667,0.833333,0,30,30,100,0.300000,0.960737,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.543773,0.000000,0.144928,0,0.240000
canopy_current_plus_trajectory,LightGBM,0.518539,0.733333,0.488889,0.586667,0.666667,8,23,30,100,0.300000,0.960070,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.441532,0.266667,0.311594,-8,0.240000
canopy_current_plus_trajectory_plus_environment,XGBoost,0.399107,0.833333,0.454545,0.588235,0.714286,5,30,30,100,0.300000,0.959586,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.560479,0.166667,0.263975,-5,0.240000
canopy_current_only,Logistic Regression,0.613782,0.866667,0.553191,0.675325,0.778443,4,21,30,100,0.300000,0.957015,0.981481,0.898305,0.938053,0.963636,1,6,54,100,0.540000,0.343233,0.114815,0.185193,-3,0.240000
canopy_current_plus_trajectory,Logistic Regression,0.515840,0.700000,0.500000,0.583333,0.648148,9,21,30,100,0.300000,0.953296,0.962963,0.838710,0.896552,0.935252,2,10,54,100,0.540000,0.437456,0.262963,0.287104,-7,0.240000
canopy_current_only,XGBoost,0.594988,1.000000,0.500000,0.666667,0.833333,0,30,30,100,0.300000,0.950074,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.355087,0.000000,0.144928,0,0.240000
canopy_current_plus_trajectory_plus_environment,LightGBM,0.358128,0.933333,0.482759,0.636364,0.786517,2,30,30,100,0.300000,0.943797,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.585669,0.066667,0.191744,-2,0.240000
canopy_current_plus_environment,XGBoost,0.335973,1.000000,0.500000,0.666667,0.833333,0,30,30,100,0.300000,0.931655,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.595681,0.000000,0.144928,0,0.240000
canopy_current_only,Random Forest,0.664067,1.000000,0.508475,0.674157,0.837989,0,29,30,100,0.300000,0.917826,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.253759,0.000000,0.140272,0,0.240000
canopy_current_plus_environment,Random Forest,0.357935,1.000000,0.476190,0.645161,0.819672,0,33,30,100,0.300000,0.916282,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.558347,0.000000,0.158589,0,0.240000
canopy_current_plus_environment,LightGBM,0.415014,0.966667,0.491525,0.651685,0.810056,1,30,30,100,0.300000,0.915003,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.499989,0.033333,0.168205,-1,0.240000
canopy_current_only,LightGBM,0.653597,1.000000,0.500000,0.666667,0.833333,0,30,30,100,0.300000,0.900032,1.000000,0.900000,0.947368,0.978261,0,6,54,100,0.540000,0.246435,0.000000,0.144928,0,0.240000
canopy_current_plus_trajectory_plus_environment,Logistic Regression,0.463937,0.433333,0.481481,0.456140,0.442177,17,14,30,100,0.300000,0.857222,0.685185,0.770833,0.725490,0.700758,17,11,54,100,0.540000,0.393286,0.251852,0.258581,0,0.240000
canopy_current_plus_environment,Logistic Regression,0.405053,0.566667,0.354167,0.435897,0.505952,13,31,30,100,0.300000,0.723279,0.870370,0.661972,0.752000,0.818815,7,24,54,100,0.540000,0.318227,0.303704,0.312863,-6,0.240000
