horizon,target,evaluation_scope,feature_family,model,decision_threshold,train_rows,validation_rows,test_year_min,test_year_max,feature_count,status,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,positive_count,total_evaluated_rows,event_rate
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_only,Logistic Regression,0.411303,1400,200,2021,2023,1,computed,0.601567,0.890833,0.866667,0.520000,0.650000,0.764706,4,24,26,96,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_only,Logistic Regression,0.411303,1400,200,2021,2022,1,computed,0.613782,0.829048,0.866667,0.553191,0.675325,0.778443,4,21,26,49,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_only,Random Forest,0.122235,1400,200,2021,2023,1,computed,0.572970,0.875000,1.000000,0.428571,0.600000,0.789474,0,40,30,80,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_only,Random Forest,0.122235,1400,200,2021,2022,1,computed,0.664067,0.840000,1.000000,0.508475,0.674157,0.837989,0,29,30,41,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_only,XGBoost,0.459034,1400,200,2021,2023,1,computed,0.551983,0.872083,1.000000,0.422535,0.594059,0.785340,0,41,30,79,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_only,XGBoost,0.459034,1400,200,2021,2022,1,computed,0.594988,0.818333,1.000000,0.500000,0.666667,0.833333,0,30,30,40,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_only,LightGBM,0.287631,1400,200,2021,2023,1,computed,0.586137,0.883333,1.000000,0.422535,0.594059,0.785340,0,41,30,79,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_only,LightGBM,0.287631,1400,200,2021,2022,1,computed,0.653597,0.845238,1.000000,0.500000,0.666667,0.833333,0,30,30,40,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory,Logistic Regression,0.418523,1400,200,2021,2023,15,computed,0.510156,0.865278,0.700000,0.488372,0.575342,0.644172,9,22,21,98,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory,Logistic Regression,0.418523,1400,200,2021,2022,15,computed,0.515840,0.780952,0.700000,0.500000,0.583333,0.648148,9,21,21,49,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory,Random Forest,0.281875,1400,200,2021,2023,15,computed,0.504612,0.860556,0.833333,0.462963,0.595238,0.718391,5,29,25,91,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory,Random Forest,0.281875,1400,200,2021,2022,15,computed,0.523436,0.791429,0.833333,0.510204,0.632911,0.739645,5,24,25,46,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory,XGBoost,0.165329,1400,200,2021,2023,15,computed,0.502609,0.858611,0.866667,0.419355,0.565217,0.714286,4,36,26,84,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory,XGBoost,0.165329,1400,200,2021,2022,15,computed,0.520121,0.788095,0.866667,0.490566,0.626506,0.751445,4,27,26,43,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory,LightGBM,0.285878,1400,200,2021,2023,15,computed,0.489851,0.854722,0.733333,0.431373,0.543210,0.643275,8,29,22,91,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory,LightGBM,0.285878,1400,200,2021,2022,15,computed,0.518539,0.795714,0.733333,0.488889,0.586667,0.666667,8,23,22,47,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_environment,Logistic Regression,0.393235,1400,200,2021,2023,57,computed,0.369718,0.684444,0.566667,0.346939,0.430380,0.502959,13,32,17,88,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_environment,Logistic Regression,0.393235,1400,200,2021,2022,57,computed,0.405053,0.602381,0.566667,0.354167,0.435897,0.505952,13,31,17,39,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_environment,Random Forest,0.274420,1400,200,2021,2023,57,computed,0.347712,0.784444,1.000000,0.447761,0.618557,0.802139,0,37,30,83,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_environment,Random Forest,0.274420,1400,200,2021,2022,57,computed,0.357935,0.649048,1.000000,0.476190,0.645161,0.819672,0,33,30,37,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_environment,XGBoost,0.192942,1400,200,2021,2023,57,computed,0.317163,0.761389,1.000000,0.461538,0.631579,0.810811,0,35,30,85,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_environment,XGBoost,0.192942,1400,200,2021,2022,57,computed,0.335973,0.626667,1.000000,0.500000,0.666667,0.833333,0,30,30,40,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_environment,LightGBM,0.025860,1400,200,2021,2023,57,computed,0.384762,0.802778,0.966667,0.446154,0.610526,0.783784,1,36,29,84,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_environment,LightGBM,0.025860,1400,200,2021,2022,57,computed,0.415014,0.702857,0.966667,0.491525,0.651685,0.810056,1,30,29,40,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory_plus_environment,Logistic Regression,0.644412,1400,200,2021,2023,71,computed,0.449210,0.786111,0.433333,0.481481,0.456140,0.442177,17,14,13,106,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory_plus_environment,Logistic Regression,0.644412,1400,200,2021,2022,71,computed,0.463937,0.678571,0.433333,0.481481,0.456140,0.442177,17,14,13,56,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory_plus_environment,Random Forest,0.204050,1400,200,2021,2023,71,computed,0.404504,0.828611,1.000000,0.454545,0.625000,0.806452,0,36,30,84,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory_plus_environment,Random Forest,0.204050,1400,200,2021,2022,71,computed,0.416964,0.725714,1.000000,0.500000,0.666667,0.833333,0,30,30,40,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory_plus_environment,XGBoost,0.152134,1400,200,2021,2023,71,computed,0.379993,0.811111,0.833333,0.416667,0.555556,0.694444,5,35,25,85,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory_plus_environment,XGBoost,0.152134,1400,200,2021,2022,71,computed,0.399107,0.708571,0.833333,0.454545,0.588235,0.714286,5,30,25,40,30,100,0.300000
1year,actionable_decline_drop_next_1year,horizon_valid,canopy_current_plus_trajectory_plus_environment,LightGBM,0.029825,1400,200,2021,2023,71,computed,0.328478,0.770833,0.933333,0.411765,0.571429,0.744681,2,40,28,80,30,150,0.200000
1year,actionable_decline_drop_next_1year,common_years,canopy_current_plus_trajectory_plus_environment,LightGBM,0.029825,1400,200,2021,2022,71,computed,0.358128,0.662381,0.933333,0.482759,0.636364,0.786517,2,30,28,40,30,100,0.300000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_only,Logistic Regression,0.309493,1400,200,2021,2022,1,computed,0.957015,0.959340,0.981481,0.898305,0.938053,0.963636,1,6,53,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_only,Logistic Regression,0.309493,1400,200,2021,2022,1,computed,0.957015,0.959340,0.981481,0.898305,0.938053,0.963636,1,6,53,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_only,Random Forest,0.101352,1400,200,2021,2022,1,computed,0.917826,0.944444,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_only,Random Forest,0.101352,1400,200,2021,2022,1,computed,0.917826,0.944444,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_only,XGBoost,0.461906,1400,200,2021,2022,1,computed,0.950074,0.955314,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_only,XGBoost,0.461906,1400,200,2021,2022,1,computed,0.950074,0.955314,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_only,LightGBM,0.344539,1400,200,2021,2022,1,computed,0.900032,0.925523,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_only,LightGBM,0.344539,1400,200,2021,2022,1,computed,0.900032,0.925523,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory,Logistic Regression,0.198138,1400,200,2021,2022,15,computed,0.953296,0.946457,0.962963,0.838710,0.896552,0.935252,2,10,52,36,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory,Logistic Regression,0.198138,1400,200,2021,2022,15,computed,0.953296,0.946457,0.962963,0.838710,0.896552,0.935252,2,10,52,36,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory,Random Forest,0.121827,1400,200,2021,2022,15,computed,0.974893,0.972625,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory,Random Forest,0.121827,1400,200,2021,2022,15,computed,0.974893,0.972625,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory,XGBoost,0.101039,1400,200,2021,2022,15,computed,0.970376,0.967794,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory,XGBoost,0.101039,1400,200,2021,2022,15,computed,0.970376,0.967794,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_trajectory,LightGBM,0.029734,1400,200,2021,2022,15,computed,0.960070,0.958937,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,common_years,canopy_current_plus_trajectory,LightGBM,0.029734,1400,200,2021,2022,15,computed,0.960070,0.958937,1.000000,0.900000,0.947368,0.978261,0,6,54,40,54,100,0.540000
2year,actionable_decline_drop_next_2year,horizon_valid,canopy_current_plus_environment,Logistic Regression,0.062978,1400,200,2021,2022,57,computed,0.723279,0.694042,0.870370,0.661972,0.752000,0.818815,7,24,47,22,54,100,0.540000
