horizon,target,quarters_ahead,split,valid_rows,positive_count,event_rate,missing_label_rows,year_min,year_max,quarter_min,quarter_max
next_1quarter,actionable_drop_next_1quarter,1,all,8350,1783,0.213533,50,1984,2025,1,4
next_1quarter,actionable_drop_next_1quarter,1,train,5600,1272,0.227143,0,1989,2016,1,4
next_1quarter,actionable_drop_next_1quarter,1,validation,800,143,0.178750,0,2017,2020,1,4
next_1quarter,actionable_drop_next_1quarter,1,test,950,138,0.145263,50,2021,2025,1,4
next_1quarter,actionable_drop_next_1quarter,1,test_quarter_1,250,0,0.000000,0,2021,2025,1,1
next_1quarter,actionable_drop_next_1quarter,1,test_quarter_2,250,9,0.036000,0,2021,2025,2,2
next_1quarter,actionable_drop_next_1quarter,1,test_quarter_3,250,107,0.428000,0,2021,2025,3,3
next_1quarter,actionable_drop_next_1quarter,1,test_quarter_4,200,22,0.110000,50,2021,2024,4,4
within_2quarters,actionable_drop_next_2quarters,2,all,8300,2252,0.271325,100,1984,2025,1,4
within_2quarters,actionable_drop_next_2quarters,2,train,5600,1640,0.292857,0,1989,2016,1,4
within_2quarters,actionable_drop_next_2quarters,2,validation,800,187,0.233750,0,2017,2020,1,4
within_2quarters,actionable_drop_next_2quarters,2,test,900,149,0.165556,100,2021,2025,1,4
within_2quarters,actionable_drop_next_2quarters,2,test_quarter_1,250,1,0.004000,0,2021,2025,1,1
within_2quarters,actionable_drop_next_2quarters,2,test_quarter_2,250,38,0.152000,0,2021,2025,2,2
within_2quarters,actionable_drop_next_2quarters,2,test_quarter_3,200,88,0.440000,50,2021,2024,3,3
within_2quarters,actionable_drop_next_2quarters,2,test_quarter_4,200,22,0.110000,50,2021,2024,4,4
within_4quarters,actionable_drop_next_4quarters,4,all,8200,2472,0.301463,200,1984,2024,1,4
within_4quarters,actionable_drop_next_4quarters,4,train,5600,1819,0.324821,0,1989,2016,1,4
within_4quarters,actionable_drop_next_4quarters,4,validation,800,201,0.251250,0,2017,2020,1,4
within_4quarters,actionable_drop_next_4quarters,4,test,800,147,0.183750,200,2021,2024,1,4
within_4quarters,actionable_drop_next_4quarters,4,test_quarter_1,200,1,0.005000,50,2021,2024,1,1
within_4quarters,actionable_drop_next_4quarters,4,test_quarter_2,200,36,0.180000,50,2021,2024,2,2
within_4quarters,actionable_drop_next_4quarters,4,test_quarter_3,200,88,0.440000,50,2021,2024,3,3
within_4quarters,actionable_drop_next_4quarters,4,test_quarter_4,200,22,0.110000,50,2021,2024,4,4
