horizon,target,quarters_ahead,feature_family,model,decision_threshold,train_rows,validation_rows,test_year_min,test_year_max,status,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,positive_count,total_evaluated_rows,event_rate
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_only,Logistic Regression,0.326078,5600,800,2021,2025,computed,0.829858,0.976530,1.000000,0.750000,0.857143,0.937500,0,46,138,766,138,950,0.145263
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_only,Random Forest,0.430382,5600,800,2021,2025,computed,0.753558,0.972349,0.985507,0.747253,0.850000,0.926431,2,46,136,766,138,950,0.145263
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_only,XGBoost,0.177266,5600,800,2021,2025,computed,0.802362,0.973951,1.000000,0.745946,0.854489,0.936228,0,47,138,765,138,950,0.145263
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_only,LightGBM,0.737837,5600,800,2021,2025,computed,0.786528,0.971746,0.985507,0.751381,0.852665,0.927694,2,45,136,767,138,950,0.145263
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_plus_trajectory,Logistic Regression,0.464116,5600,800,2021,2025,computed,0.939106,0.989969,0.963768,0.786982,0.866450,0.922330,5,36,133,776,138,950,0.145263
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_plus_trajectory,Random Forest,0.438463,5600,800,2021,2025,computed,0.966862,0.996038,1.000000,0.878981,0.935593,0.973202,0,19,138,793,138,950,0.145263
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_plus_trajectory,XGBoost,0.815285,5600,800,2021,2025,computed,0.969238,0.995832,0.956522,0.910345,0.932862,0.946915,6,13,132,799,138,950,0.145263
next_1quarter,actionable_drop_next_1quarter,1,quarterly_current_plus_trajectory,LightGBM,0.230866,5600,800,2021,2025,computed,0.974683,0.996377,1.000000,0.867925,0.929293,0.970464,0,21,138,791,138,950,0.145263
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_only,Logistic Regression,0.408415,5600,800,2021,2025,computed,0.968325,0.995648,1.000000,0.949045,0.973856,0.989376,0,8,149,743,149,900,0.165556
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_only,Random Forest,0.671132,5600,800,2021,2025,computed,0.951218,0.993910,0.993289,0.948718,0.970492,0.984043,1,8,148,743,149,900,0.165556
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_only,XGBoost,0.443353,5600,800,2021,2025,computed,0.966922,0.995670,1.000000,0.943038,0.970684,0.988064,0,9,149,742,149,900,0.165556
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_only,LightGBM,0.807439,5600,800,2021,2025,computed,0.958255,0.994902,1.000000,0.949045,0.973856,0.989376,0,8,149,743,149,900,0.165556
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_plus_trajectory,Logistic Regression,0.334956,5600,800,2021,2025,computed,0.981239,0.996792,0.993289,0.865497,0.925000,0.964798,1,23,148,728,149,900,0.165556
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_plus_trajectory,Random Forest,0.456556,5600,800,2021,2025,computed,0.999244,0.999848,0.993289,0.961039,0.976898,0.986667,1,6,148,745,149,900,0.165556
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_plus_trajectory,XGBoost,0.476862,5600,800,2021,2025,computed,0.999025,0.999803,0.993289,0.954839,0.973684,0.985353,1,7,148,744,149,900,0.165556
within_2quarters,actionable_drop_next_2quarters,2,quarterly_current_plus_trajectory,LightGBM,0.326112,5600,800,2021,2025,computed,0.998705,0.999741,0.993289,0.954839,0.973684,0.985353,1,7,148,744,149,900,0.165556
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_only,Logistic Regression,0.580583,5600,800,2021,2024,computed,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,147,653,147,800,0.183750
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_only,Random Forest,0.920154,5600,800,2021,2024,computed,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,147,653,147,800,0.183750
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_only,XGBoost,0.408009,5600,800,2021,2024,computed,1.000000,1.000000,1.000000,0.993243,0.996610,0.998641,0,1,147,652,147,800,0.183750
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_only,LightGBM,0.946288,5600,800,2021,2024,computed,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,147,653,147,800,0.183750
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_plus_trajectory,Logistic Regression,0.598644,5600,800,2021,2024,computed,0.999954,0.999990,0.993197,1.000000,0.996587,0.994550,1,0,146,653,147,800,0.183750
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_plus_trajectory,Random Forest,0.947065,5600,800,2021,2024,computed,1.000000,1.000000,0.993197,1.000000,0.996587,0.994550,1,0,146,653,147,800,0.183750
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_plus_trajectory,XGBoost,0.165618,5600,800,2021,2024,computed,1.000000,1.000000,1.000000,0.993243,0.996610,0.998641,0,1,147,652,147,800,0.183750
within_4quarters,actionable_drop_next_4quarters,4,quarterly_current_plus_trajectory,LightGBM,0.975667,5600,800,2021,2024,computed,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0,0,147,653,147,800,0.183750
