target_definition,feature_family,model,learning_strategy,threshold_strategy,selected_threshold,precision_floor,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,train_positive_count,validation_positive_count,test_positive_count,sampling_ratio,hard_negative_rule,status,notes
actionable_drop,canopy_only,Logistic Regression,original_distribution,default_0_50,0.500000,,0.563412,0.892629,0.117647,0.666667,0.200000,0.140845,30,2,4,164,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,Random Forest,original_distribution,default_0_50,0.500000,,0.505344,0.872342,0.588235,0.540541,0.563380,0.578035,14,17,20,149,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,original_distribution,default_0_50,0.500000,,0.531082,0.860117,0.147059,0.714286,0.243902,0.174825,29,2,5,164,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,original_distribution,default_0_50,0.500000,,0.559266,0.867736,0.294118,0.526316,0.377358,0.322581,24,9,10,157,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,class_weighted,default_0_50,0.500000,,0.563412,0.892629,0.500000,0.531250,0.515152,0.505952,17,15,17,151,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,Random Forest,class_weighted,default_0_50,0.500000,,0.484794,0.869773,0.794118,0.402985,0.534653,0.665025,7,40,27,126,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,class_weighted,default_0_50,0.500000,,0.527446,0.862597,0.970588,0.366667,0.532258,0.730088,1,57,33,109,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,class_weighted,default_0_50,0.500000,,0.543460,0.868976,0.911765,0.387500,0.543860,0.717593,3,49,31,117,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,positive_oversampling_train_only,default_0_50,0.500000,,0.563412,0.892629,0.500000,0.531250,0.515152,0.505952,17,15,17,151,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Random Forest,positive_oversampling_train_only,default_0_50,0.500000,,0.530055,0.875000,0.735294,0.431034,0.543478,0.644330,9,33,25,133,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,XGBoost,positive_oversampling_train_only,default_0_50,0.500000,,0.500948,0.851524,1.000000,0.365591,0.535433,0.742358,0,59,34,107,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,LightGBM,positive_oversampling_train_only,default_0_50,0.500000,,0.486862,0.861977,0.911765,0.373494,0.529915,0.707763,3,52,31,114,395,41,34,1.000000,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,random_negative_undersampling_train_only,default_0_50,0.500000,,0.563412,0.892629,0.117647,0.666667,0.200000,0.140845,30,2,4,164,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_only,Random Forest,random_negative_undersampling_train_only,default_0_50,0.500000,,0.525304,0.875709,0.558824,0.500000,0.527778,0.545977,15,19,19,147,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_only,XGBoost,random_negative_undersampling_train_only,default_0_50,0.500000,,0.545413,0.860471,0.205882,0.777778,0.325581,0.241379,27,2,7,164,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_only,LightGBM,random_negative_undersampling_train_only,default_0_50,0.500000,,0.559266,0.867736,0.294118,0.526316,0.377358,0.322581,24,9,10,157,395,41,34,2.544304,random_negative,computed,
actionable_drop,canopy_only,Logistic Regression,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.563412,0.892629,0.117647,0.666667,0.200000,0.140845,30,2,4,164,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,Random Forest,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.548896,0.877481,0.588235,0.526316,0.555556,0.574713,14,18,20,148,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,XGBoost,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.539210,0.860737,0.176471,0.857143,0.292683,0.209790,28,1,6,165,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,LightGBM,hard_negative_undersampling_train_only,default_0_50,0.500000,,0.559266,0.867736,0.294118,0.526316,0.377358,0.322581,24,9,10,157,395,41,34,2.544304,hard_negative_any,computed,
actionable_drop,canopy_only,Logistic Regression,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.300000,0.563412,0.892629,0.911765,0.462687,0.613861,0.763547,3,36,31,130,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.400000,0.400000,0.563412,0.892629,0.911765,0.462687,0.613861,0.763547,3,36,31,130,395,41,34,2.544304,not_applicable,computed,
actionable_drop,canopy_only,Logistic Regression,class_weighted_threshold_tuned,validation_f2_with_precision_floor,0.500000,0.500000,0.563412,0.892629,0.500000,0.531250,0.515152,0.505952,17,15,17,151,395,41,34,2.544304,not_applicable,computed,
