target_definition,split,hard_negative_rule,negative_rows,hard_negative_rows,hard_negative_share_of_negatives,status
actionable_drop,train,hard_negative_canopy_present,1005,560,0.557214,computed
actionable_drop,train,hard_negative_recent_decline,1005,595,0.592040,computed
actionable_drop,train,hard_negative_thermal_or_trajectory_risk,1005,775,0.771144,computed
actionable_drop,train,hard_negative_any,1005,938,0.933333,computed
actionable_drop,validation,hard_negative_canopy_present,159,70,0.440252,computed
actionable_drop,validation,hard_negative_recent_decline,159,111,0.698113,computed
actionable_drop,validation,hard_negative_thermal_or_trajectory_risk,159,128,0.805031,computed
actionable_drop,validation,hard_negative_any,159,137,0.861635,computed
actionable_drop,test,hard_negative_canopy_present,166,59,0.355422,computed
actionable_drop,test,hard_negative_recent_decline,166,107,0.644578,computed
actionable_drop,test,hard_negative_thermal_or_trajectory_risk,166,131,0.789157,computed
actionable_drop,test,hard_negative_any,166,141,0.849398,computed
actionable_drop,all,hard_negative_canopy_present,1330,689,0.518045,computed
actionable_drop,all,hard_negative_recent_decline,1330,813,0.611278,computed
actionable_drop,all,hard_negative_thermal_or_trajectory_risk,1330,1034,0.777444,computed
actionable_drop,all,hard_negative_any,1330,1216,0.914286,computed
new_transition,train,hard_negative_canopy_present,1130,738,0.653097,computed
new_transition,train,hard_negative_recent_decline,1130,589,0.521239,computed
new_transition,train,hard_negative_thermal_or_trajectory_risk,1130,802,0.709735,computed
new_transition,train,hard_negative_any,1130,1072,0.948673,computed
new_transition,validation,hard_negative_canopy_present,179,92,0.513966,computed
new_transition,validation,hard_negative_recent_decline,179,121,0.675978,computed
new_transition,validation,hard_negative_thermal_or_trajectory_risk,179,148,0.826816,computed
new_transition,validation,hard_negative_any,179,158,0.882682,computed
new_transition,test,hard_negative_canopy_present,174,75,0.431034,computed
new_transition,test,hard_negative_recent_decline,174,112,0.643678,computed
new_transition,test,hard_negative_thermal_or_trajectory_risk,174,134,0.770115,computed
new_transition,test,hard_negative_any,174,151,0.867816,computed
new_transition,all,hard_negative_canopy_present,1483,905,0.610249,computed
new_transition,all,hard_negative_recent_decline,1483,822,0.554282,computed
new_transition,all,hard_negative_thermal_or_trajectory_risk,1483,1084,0.730951,computed
new_transition,all,hard_negative_any,1483,1381,0.931220,computed
at_risk_original,train,hard_negative_canopy_present,697,697,1.000000,computed
at_risk_original,train,hard_negative_recent_decline,697,253,0.362984,computed
at_risk_original,train,hard_negative_thermal_or_trajectory_risk,697,429,0.615495,computed
at_risk_original,train,hard_negative_any,697,697,1.000000,computed
at_risk_original,validation,hard_negative_canopy_present,73,73,1.000000,computed
at_risk_original,validation,hard_negative_recent_decline,73,45,0.616438,computed
at_risk_original,validation,hard_negative_thermal_or_trajectory_risk,73,63,0.863014,computed
at_risk_original,validation,hard_negative_any,73,73,1.000000,computed
at_risk_original,test,hard_negative_canopy_present,48,48,1.000000,computed
at_risk_original,test,hard_negative_recent_decline,48,23,0.479167,computed
at_risk_original,test,hard_negative_thermal_or_trajectory_risk,48,36,0.750000,computed
at_risk_original,test,hard_negative_any,48,48,1.000000,computed
at_risk_original,all,hard_negative_canopy_present,818,818,1.000000,computed
at_risk_original,all,hard_negative_recent_decline,818,321,0.392421,computed
at_risk_original,all,hard_negative_thermal_or_trajectory_risk,818,528,0.645477,computed
at_risk_original,all,hard_negative_any,818,818,1.000000,computed
