validation_scheme,heldout_band,target_definition,feature_family,model,positive_rate,recall,precision,false_negatives,false_positives,pr_auc,roc_auc,ranking_failure_flag,threshold_failure_flag,failure_mode,target_with_largest_pr_auc_loss,target_with_largest_recall_loss,worst_three_band_by_mean_pr_auc
five_band_holdout,band_1_south,actionable_drop,trajectory_crw_habitat,LightGBM,0.294444,0.320755,0.739130,72,12,0.671880,0.841331,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_1_south,at_risk_original,trajectory_crw_habitat_wave,Random Forest,0.221774,0.218182,0.857143,43,2,0.601201,0.758455,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_1_south,new_transition,trajectory_crw_habitat_wave,Random Forest,0.161111,0.120690,1.000000,51,0,0.494368,0.744862,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_1_south,original_decline,trajectory_crw_habitat_wave,LightGBM,0.236111,0.258824,0.758621,63,7,0.545071,0.753326,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_2_south_central,actionable_drop,trajectory_crw_habitat_wave,LightGBM,0.316667,0.438596,0.892857,64,6,0.813462,0.899230,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_2_south_central,at_risk_original,trajectory_crw_habitat_wave,LightGBM,0.283217,0.506173,0.661290,40,21,0.651455,0.786089,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
five_band_holdout,band_2_south_central,new_transition,trajectory_crw_habitat,Random Forest,0.200000,0.125000,0.818182,63,2,0.650398,0.864439,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_2_south_central,original_decline,trajectory_crw_habitat_wave,LightGBM,0.308333,0.549550,0.663043,50,31,0.672005,0.795470,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
five_band_holdout,band_3_central,actionable_drop,trajectory_crw_habitat,LightGBM,0.261111,0.446809,0.636364,52,24,0.618872,0.802352,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_3_central,at_risk_original,trajectory_crw_habitat_wave,Random Forest,0.406528,0.379562,0.722222,85,20,0.690614,0.734526,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_3_central,new_transition,trajectory_crw_habitat_wave,LightGBM,0.197222,0.253521,0.782609,53,5,0.656773,0.865247,False,True,threshold_failure,at_risk_original,new_transition,band_3_north
five_band_holdout,band_3_central,original_decline,trajectory_crw_habitat_wave,Random Forest,0.433333,0.519231,0.743119,75,28,0.757120,0.771933,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
five_band_holdout,band_4_north_central,actionable_drop,trajectory_crw_habitat_wave,LightGBM,0.236111,0.600000,0.680000,34,24,0.732960,0.912856,False,False,no_major_failure_in_best_row,at_risk_original,new_transition,band_3_north
