validation_scheme,heldout_band,feature,train_mean,heldout_mean,mean_difference,standardized_mean_difference,train_median,heldout_median,median_difference,train_iqr,heldout_iqr,iqr_difference,train_missingness,heldout_missingness,missingness_difference,abs_standardized_mean_difference
five_band_holdout,band_5_north,annual_mean_sst_crw5km,13.143338,11.637223,-1.506115,-1.902661,13.101288,11.586911,-1.514377,1.019598,0.775637,-0.243961,0.000000,0.000000,0.000000,1.902661
five_band_holdout,band_3_central,slope_mean,0.025709,0.071260,0.045551,1.652166,0.020022,0.065134,0.045112,0.011450,0.066458,0.055008,0.000000,0.000000,0.000000,1.652166
five_band_holdout,band_1_south,annual_mean_sst_crw5km,12.563957,13.954748,1.390791,1.559049,12.695973,13.793229,1.097256,1.379836,1.193655,-0.186181,0.000000,0.000000,0.000000,1.559049
five_band_holdout,band_1_south,winter_max_wave_height_cdip_model,5.615952,3.743980,-1.871972,-1.203575,5.666351,3.680398,-1.985952,2.884374,1.444584,-1.439791,0.305556,0.305556,0.000000,1.203575
five_band_holdout,band_3_central,relative_canopy,0.104130,0.251065,0.146935,1.162655,0.068238,0.248629,0.180390,0.135549,0.233563,0.098015,0.000000,0.000000,0.000000,1.162655
five_band_holdout,band_4_north_central,slope_mean,0.039691,0.015334,-0.024357,-1.131194,0.026916,0.015393,-0.011523,0.039134,0.010893,-0.028242,0.000000,0.000000,0.000000,1.131194
five_band_holdout,band_5_north,winter_max_wave_height_cdip_model,4.873249,6.714792,1.841543,1.130207,4.356973,6.591412,2.234439,2.489105,1.635742,-0.853363,0.305556,0.305556,0.000000,1.130207
five_band_holdout,band_5_north,relative_canopy,0.156783,0.040453,-0.116330,-1.128971,0.121815,0.018100,-0.103715,0.196673,0.055387,-0.141286,0.000000,0.000000,0.000000,1.128971
five_band_holdout,band_5_north,instability_score_5yr_t,0.090913,0.042792,-0.048122,-1.010685,0.082708,0.035118,-0.047590,0.076109,0.050495,-0.025615,0.000000,0.000000,0.000000,1.010685
five_band_holdout,band_5_north,presence_frequency_5yr_t,0.913611,0.638889,-0.274722,-0.997158,1.000000,0.600000,-0.400000,0.000000,0.600000,0.600000,0.000000,0.000000,0.000000,0.997158
five_band_holdout,band_3_central,winter_max_wave_height_cdip_model,4.891381,6.642264,1.750883,0.966964,4.501669,6.498426,1.996757,2.645689,2.479360,-0.166329,0.305556,0.305556,0.000000,0.966964
five_band_holdout,band_2_south_central,instability_score_5yr_t,0.070394,0.124870,0.054476,0.930296,0.064505,0.120050,0.055545,0.067454,0.088613,0.021160,0.000000,0.000000,0.000000,0.930296
five_band_holdout,band_3_central,presence_frequency_5yr_t,0.823750,0.998333,0.174583,0.885524,1.000000,1.000000,0.000000,0.200000,0.000000,-0.200000,0.000000,0.000000,0.000000,0.885524
