feature,missingness,mean,std,min,max,feature_type
canopy_current_relative_to_cell_median,0.000000,1.100320,1.285572,0.000000,17.459764,canopy_relative
canopy_current_relative_to_cell_max,0.000000,0.415527,0.330275,0.000000,1.000000,canopy_relative
canopy_current_percentile_within_cell,0.000000,0.496812,0.309515,0.027778,1.000000,canopy_relative
canopy_drop_from_recent_peak_5yr,0.000000,0.449899,0.354043,0.000000,1.000000,canopy_relative
canopy_drop_from_historical_peak,0.000000,0.584473,0.330275,0.000000,1.000000,canopy_relative
canopy_3yr_slope_relative_to_cell_median,0.000000,-0.021575,0.820087,-8.692108,8.582713,canopy_relative
canopy_5yr_slope_relative_to_cell_median,0.000000,-0.025831,0.443921,-6.077059,3.535576,canopy_relative
spring_ssta_crw5km_local_z,0.000000,-0.010377,0.937688,-1.933704,3.095884,thermal_relative
summer_ssta_crw5km_local_z,0.000000,-0.119509,0.962064,-2.439451,3.002254,thermal_relative
annual_mean_ssta_crw5km_local_z,0.000000,-0.030717,0.904546,-1.542772,2.732336,thermal_relative
warmest_month_mean_sst_crw5km_percentile_within_cell,0.000000,0.507242,0.283771,0.035714,1.000000,thermal_relative
spring_ssta_crw5km_percentile_within_cell,0.000000,0.510575,0.280294,0.035714,1.000000,thermal_relative
summer_ssta_crw5km_percentile_within_cell,0.000000,0.481548,0.294591,0.000000,1.000000,thermal_relative
winter_max_wave_height_local_z,0.305556,0.095791,1.028151,-2.137148,3.326414,wave_relative
winter_mean_wave_height_local_z,0.305556,-0.005945,0.975215,-2.501442,2.511621,wave_relative
annual_max_wave_height_percentile_within_wave_source,0.305556,0.540094,0.300246,0.000000,1.000000,wave_relative
lag1_winter_max_wave_height_local_z,0.333333,0.121793,1.065520,-2.298854,3.142839,wave_relative
spring_ssta_local_z_x_shallow_area_share_0_30m,0.000000,0.000758,0.392690,-1.849295,2.695674,interaction
summer_ssta_local_z_x_shallow_area_share_0_30m,0.000000,-0.031964,0.401450,-2.209928,2.783577,interaction
winter_wave_local_z_x_shallow_area_share_0_30m,0.305556,0.031101,0.426777,-1.712193,2.420149,interaction
canopy_drop_from_recent_peak_5yr_x_spring_ssta_local_z,0.000000,0.051613,0.499333,-1.609138,2.301098,interaction
canopy_3yr_slope_relative_x_winter_wave_local_z,0.305556,0.016474,0.868184,-8.181459,7.285428,interaction
