validation_scheme,heldout_band,target_definition,train_rows,test_rows,train_positive_count,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,feature_family,model,decision_threshold,status,notes
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.233572,0.461482,0.894231,0.227941,0.363281,0.564320,11,315,93,26,canopy_absolute_baseline,Logistic Regression,0.447556,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.229087,0.452487,0.346154,0.219512,0.268657,0.310345,68,128,36,213,canopy_absolute_baseline,Random Forest,0.550143,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.285015,0.559187,0.682692,0.259124,0.375661,0.514493,33,203,71,138,canopy_relative,Logistic Regression,0.419414,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.258308,0.486409,0.192308,0.224719,0.207254,0.198020,84,69,20,272,canopy_relative,Random Forest,0.548904,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.326411,0.625761,0.769231,0.273973,0.404040,0.564972,24,212,80,129,thermal_absolute,Logistic Regression,0.516142,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.519107,0.697975,0.451923,0.370079,0.406926,0.432781,57,80,47,261,thermal_absolute,Random Forest,0.564929,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.268803,0.597113,0.807692,0.311111,0.449198,0.612245,20,186,84,155,thermal_relative,Logistic Regression,0.490057,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.422720,0.649405,0.442308,0.340741,0.384937,0.417423,58,89,46,252,thermal_relative,Random Forest,0.523843,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.259903,0.548218,0.673077,0.256410,0.371353,0.507983,34,203,70,138,trajectory_absolute,Logistic Regression,0.460559,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.302743,0.593024,0.298077,0.313131,0.305419,0.300971,73,68,31,273,trajectory_absolute,Random Forest,0.547496,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.231213,0.512915,0.875000,0.243968,0.381551,0.576679,13,282,91,59,trajectory_relative,Logistic Regression,0.374186,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.212619,0.448257,0.288462,0.191083,0.229885,0.261780,74,127,30,214,trajectory_relative,Random Forest,0.509002,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.292355,0.600045,0.298077,0.292453,0.295238,0.296935,73,75,31,266,relative_dynamic_combined,Logistic Regression,0.558045,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.489178,0.687627,0.490385,0.432203,0.459459,0.477528,53,67,51,274,relative_dynamic_combined,Random Forest,0.501498,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.279865,0.579207,0.394231,0.292857,0.336066,0.368705,63,99,41,242,relative_dynamic_plus_habitat_context,Logistic Regression,0.500072,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
three_band_holdout,band_1_south,at_risk_original,714,445,237,104,0.428753,0.642595,0.365385,0.387755,0.376238,0.369650,66,60,38,281,relative_dynamic_plus_habitat_context,Random Forest,0.513572,computed,Cell-relative/anomaly repair features; threshold selected on non-held-out bands.
