validation_scheme,target_definition,feature_family,model,mean_pr_auc,min_pr_auc,mean_recall,min_recall,mean_precision,min_precision,mean_f2,min_f2,total_false_negatives,total_positives_across_heldout_folds,pr_auc_std,recall_std,valid_folds,stability_score
five_band_holdout,actionable_drop,relative_dynamic_combined,Logistic Regression,0.575061,0.509268,0.649667,0.552632,0.516656,0.446970,0.611239,0.575868,169,470,0.067575,0.066304,5,0.646478
five_band_holdout,actionable_drop,relative_dynamic_plus_habitat_context,Random Forest,0.650533,0.530129,0.494018,0.422535,0.642039,0.536842,0.514177,0.461538,238,470,0.088577,0.073465,5,0.636656
five_band_holdout,actionable_drop,relative_dynamic_combined,Random Forest,0.630853,0.516531,0.517169,0.450704,0.627148,0.539823,0.532112,0.481928,226,470,0.102896,0.048958,5,0.626724
five_band_holdout,actionable_drop,relative_dynamic_plus_habitat_context,Logistic Regression,0.571757,0.481084,0.669302,0.619718,0.505906,0.401070,0.622032,0.588235,155,470,0.072906,0.064953,5,0.620852
five_band_holdout,actionable_drop,thermal_absolute,Random Forest,0.602839,0.530658,0.378948,0.273585,0.659049,0.507246,0.409486,0.310493,294,470,0.100745,0.083096,5,0.598207
five_band_holdout,actionable_drop,trajectory_absolute,Logistic Regression,0.569565,0.435115,0.812302,0.789474,0.496826,0.380000,0.717030,0.659722,89,470,0.107751,0.024076,5,0.589271
five_band_holdout,actionable_drop,canopy_absolute_baseline,Logistic Regression,0.571048,0.410663,0.867089,0.741176,0.480882,0.296928,0.733912,0.650224,62,470,0.131585,0.087375,5,0.560060
five_band_holdout,actionable_drop,trajectory_relative,Logistic Regression,0.540385,0.419891,0.778064,0.552632,0.456882,0.329317,0.665743,0.557522,114,470,0.099433,0.144899,5,0.549328
five_band_holdout,actionable_drop,canopy_relative,Logistic Regression,0.536692,0.408394,0.781959,0.666667,0.464732,0.371859,0.680736,0.604770,110,470,0.103464,0.101571,5,0.549240
five_band_holdout,actionable_drop,canopy_relative,Random Forest,0.545349,0.441998,0.511751,0.382979,0.539418,0.422414,0.513364,0.400891,237,470,0.120597,0.118451,5,0.530161
five_band_holdout,actionable_drop,trajectory_absolute,Random Forest,0.567073,0.437148,0.468169,0.368421,0.563286,0.464286,0.481461,0.402299,254,470,0.104210,0.070603,5,0.527302
five_band_holdout,actionable_drop,trajectory_relative,Random Forest,0.525669,0.405927,0.480554,0.386792,0.499883,0.368932,0.482472,0.396660,249,470,0.103348,0.082677,5,0.494757
five_band_holdout,actionable_drop,thermal_relative,Random Forest,0.494989,0.394778,0.366320,0.292453,0.518501,0.403509,0.387159,0.324948,296,470,0.097025,0.057200,5,0.466313
five_band_holdout,actionable_drop,canopy_absolute_baseline,Random Forest,0.529132,0.354905,0.470668,0.253521,0.519351,0.298246,0.448455,0.292208,243,470,0.128006,0.184058,5,0.415157
five_band_holdout,actionable_drop,thermal_absolute,Logistic Regression,0.334811,0.252963,0.530457,0.152941,0.308703,0.217391,0.430950,0.175202,206,470,0.061363,0.265422,5,0.290627
