validation_scheme,heldout_band,target_definition,feature_family,model,precision_floor,decision_threshold,train_rows,test_rows,test_positive_count,pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,status
three_band_holdout,band_1_south,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.300000,0.285017,714,445,104,0.233572,0.461482,1.000000,0.233708,0.378871,0.603949,0.000000,341.000000,104.000000,0.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.400000,0.502127,714,445,104,0.233572,0.461482,0.586538,0.211073,0.310433,0.432624,43.000000,228.000000,61.000000,113.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_absolute_baseline,Logistic Regression,0.500000,0.565248,714,445,104,0.233572,0.461482,0.298077,0.194969,0.235741,0.269565,73.000000,128.000000,31.000000,213.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_absolute_baseline,Random Forest,0.300000,0.381627,714,445,104,0.229087,0.452487,0.711538,0.224242,0.341014,0.495979,30.000000,256.000000,74.000000,85.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_absolute_baseline,Random Forest,0.400000,0.381627,714,445,104,0.229087,0.452487,0.711538,0.224242,0.341014,0.495979,30.000000,256.000000,74.000000,85.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_absolute_baseline,Random Forest,0.500000,0.381627,714,445,104,0.229087,0.452487,0.711538,0.224242,0.341014,0.495979,30.000000,256.000000,74.000000,85.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_relative,Logistic Regression,0.300000,0.160524,714,445,104,0.285015,0.559187,1.000000,0.237443,0.383764,0.608899,0.000000,334.000000,104.000000,7.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_relative,Logistic Regression,0.400000,0.426063,714,445,104,0.285015,0.559187,0.673077,0.261194,0.376344,0.511696,34.000000,198.000000,70.000000,143.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_relative,Logistic Regression,0.500000,0.587430,714,445,104,0.285015,0.559187,0.144231,0.254237,0.184049,0.157895,89.000000,44.000000,15.000000,297.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_relative,Random Forest,0.300000,0.350001,714,445,104,0.258308,0.486409,0.596154,0.225455,0.327177,0.448625,42.000000,213.000000,62.000000,128.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_relative,Random Forest,0.400000,0.350001,714,445,104,0.258308,0.486409,0.596154,0.225455,0.327177,0.448625,42.000000,213.000000,62.000000,128.000000,computed
three_band_holdout,band_1_south,at_risk_original,canopy_relative,Random Forest,0.500000,0.350001,714,445,104,0.258308,0.486409,0.596154,0.225455,0.327177,0.448625,42.000000,213.000000,62.000000,128.000000,computed
three_band_holdout,band_1_south,at_risk_original,thermal_absolute,Logistic Regression,0.300000,0.220727,714,445,104,0.326411,0.625761,1.000000,0.233708,0.378871,0.603949,0.000000,341.000000,104.000000,0.000000,computed
