pr_auc,roc_auc,recall,precision,f1,f2,false_negatives,false_positives,true_positives,true_negatives,target_definition,feature_family,model,n_train,n_validation,n_test,positive_events_test,event_prevalence_test,decision_threshold,status
0.838021,0.720715,0.902985,0.715976,0.798680,0.858156,13,48,121,18,original_decline,wave_only,Logistic Regression,1400,200,200,134,0.670000,0.308345,computed
0.842441,0.721845,0.910448,0.734940,0.813333,0.868946,12,44,122,22,original_decline,wave_only,Random Forest,1400,200,200,134,0.670000,0.247289,computed
0.790660,0.654625,0.746269,0.740741,0.743494,0.745156,34,35,100,31,original_decline,wave_only,XGBoost,1400,200,200,134,0.670000,0.164915,computed
0.768159,0.656038,0.873134,0.696429,0.774834,0.830966,17,51,117,15,original_decline,wave_only,LightGBM,1400,200,200,134,0.670000,0.034998,computed
0.851873,0.740954,0.619403,0.783019,0.691667,0.646417,51,23,83,43,original_decline,crw_only,Logistic Regression,1400,200,200,134,0.670000,0.496890,computed
0.727714,0.502261,0.716418,0.662069,0.688172,0.704846,38,49,96,17,original_decline,crw_only,Random Forest,1400,200,200,134,0.670000,0.217272,computed
0.664977,0.460595,0.835821,0.651163,0.732026,0.790960,22,60,112,6,original_decline,crw_only,XGBoost,1400,200,200,134,0.670000,0.102343,computed
0.699218,0.479308,0.470149,0.623762,0.536170,0.494505,71,38,63,28,original_decline,crw_only,LightGBM,1400,200,200,134,0.670000,0.136637,computed
0.839729,0.768657,0.880597,0.776316,0.825175,0.857558,16,34,118,32,original_decline,habitat_only,Logistic Regression,1400,200,200,134,0.670000,0.473326,computed
0.890376,0.801673,0.791045,0.803030,0.796992,0.793413,28,26,106,40,original_decline,habitat_only,Random Forest,1400,200,200,134,0.670000,0.470497,computed
0.902550,0.814790,0.716418,0.857143,0.780488,0.740741,38,16,96,50,original_decline,habitat_only,XGBoost,1400,200,200,134,0.670000,0.294437,computed
0.879575,0.815016,0.820896,0.808824,0.814815,0.818452,24,26,110,40,original_decline,habitat_only,LightGBM,1400,200,200,134,0.670000,0.481918,computed
0.809390,0.682157,0.947761,0.742690,0.832787,0.898161,7,44,127,22,original_decline,trajectory_only,Logistic Regression,1400,200,200,134,0.670000,0.384926,computed
0.720985,0.607531,0.947761,0.697802,0.803797,0.884401,7,55,127,11,original_decline,trajectory_only,Random Forest,1400,200,200,134,0.670000,0.245357,computed
0.728254,0.567503,0.902985,0.675978,0.773163,0.846154,13,58,121,8,original_decline,trajectory_only,XGBoost,1400,200,200,134,0.670000,0.146155,computed
0.699919,0.573496,0.813433,0.668712,0.734007,0.779685,25,54,109,12,original_decline,trajectory_only,LightGBM,1400,200,200,134,0.670000,0.122098,computed
0.789659,0.690412,0.514925,0.793103,0.624434,0.553772,65,18,69,48,original_decline,crw_plus_wave,Logistic Regression,1400,200,200,134,0.670000,0.451723,computed
0.701536,0.580959,0.320896,0.716667,0.443299,0.360738,91,17,43,49,original_decline,crw_plus_wave,Random Forest,1400,200,200,134,0.670000,0.438742,computed
0.691848,0.552126,0.425373,0.730769,0.537736,0.464169,77,21,57,45,original_decline,crw_plus_wave,XGBoost,1400,200,200,134,0.670000,0.282327,computed
0.693087,0.556309,0.462687,0.712644,0.561086,0.497592,72,25,62,41,original_decline,crw_plus_wave,LightGBM,1400,200,200,134,0.670000,0.250301,computed
0.742784,0.625509,0.641791,0.735043,0.685259,0.658499,48,31,86,35,original_decline,habitat_plus_wave,Logistic Regression,1400,200,200,134,0.670000,0.380249,computed
0.732300,0.658978,0.679104,0.784483,0.728000,0.697853,43,25,91,41,original_decline,habitat_plus_wave,Random Forest,1400,200,200,134,0.670000,0.369959,computed
0.659562,0.548847,0.611940,0.738739,0.669388,0.633694,52,29,82,37,original_decline,habitat_plus_wave,XGBoost,1400,200,200,134,0.670000,0.221715,computed
0.657151,0.537766,0.582090,0.735849,0.650000,0.607477,56,28,78,38,original_decline,habitat_plus_wave,LightGBM,1400,200,200,134,0.670000,0.154934,computed
0.746105,0.661013,0.440299,0.766234,0.559242,0.481240,75,18,59,48,original_decline,trajectory_plus_wave,Logistic Regression,1400,200,200,134,0.670000,0.465147,computed
0.754456,0.650384,0.402985,0.739726,0.521739,0.443350,80,19,54,47,original_decline,trajectory_plus_wave,Random Forest,1400,200,200,134,0.670000,0.447146,computed
0.699066,0.565694,0.701493,0.717557,0.709434,0.704648,40,37,94,29,original_decline,trajectory_plus_wave,XGBoost,1400,200,200,134,0.670000,0.199594,computed
0.680767,0.549525,0.455224,0.709302,0.554545,0.490354,73,25,61,41,original_decline,trajectory_plus_wave,LightGBM,1400,200,200,134,0.670000,0.313765,computed
0.792717,0.693351,0.514925,0.793103,0.624434,0.553772,65,18,69,48,original_decline,crw_plus_habitat_plus_wave,Logistic Regression,1400,200,200,134,0.670000,0.451894,computed
0.704967,0.592379,0.276119,0.725490,0.400000,0.315162,97,14,37,52,original_decline,crw_plus_habitat_plus_wave,Random Forest,1400,200,200,134,0.670000,0.467477,computed
0.687818,0.550260,0.335821,0.714286,0.456853,0.375626,89,18,45,48,original_decline,crw_plus_habitat_plus_wave,XGBoost,1400,200,200,134,0.670000,0.324317,computed
0.690884,0.546133,0.500000,0.697917,0.582609,0.530063,67,29,67,37,original_decline,crw_plus_habitat_plus_wave,LightGBM,1400,200,200,134,0.670000,0.205818,computed
0.782906,0.693691,0.455224,0.802632,0.580952,0.498366,73,15,61,51,original_decline,trajectory_plus_crw_plus_wave,Logistic Regression,1400,200,200,134,0.670000,0.484232,computed
0.732569,0.616463,0.470149,0.750000,0.577982,0.508065,71,21,63,45,original_decline,trajectory_plus_crw_plus_wave,Random Forest,1400,200,200,134,0.670000,0.411730,computed
0.765904,0.597693,0.529851,0.739583,0.617391,0.561709,63,25,71,41,original_decline,trajectory_plus_crw_plus_wave,XGBoost,1400,200,200,134,0.670000,0.268032,computed
0.756031,0.611375,0.574627,0.754902,0.652542,0.603448,57,25,77,41,original_decline,trajectory_plus_crw_plus_wave,LightGBM,1400,200,200,134,0.670000,0.188418,computed
0.787201,0.698213,0.417910,0.788732,0.546341,0.461285,78,15,56,51,original_decline,trajectory_plus_crw_plus_habitat_plus_wave,Logistic Regression,1400,200,200,134,0.670000,0.499339,computed
0.722873,0.606287,0.402985,0.782609,0.532020,0.446281,80,15,54,51,original_decline,trajectory_plus_crw_plus_habitat_plus_wave,Random Forest,1400,200,200,134,0.670000,0.447321,computed
0.788259,0.624152,0.410448,0.763889,0.533981,0.452303,79,17,55,49,original_decline,trajectory_plus_crw_plus_habitat_plus_wave,XGBoost,1400,200,200,134,0.670000,0.308520,computed
0.728159,0.594075,0.522388,0.744681,0.614035,0.555556,64,24,70,42,original_decline,trajectory_plus_crw_plus_habitat_plus_wave,LightGBM,1400,200,200,134,0.670000,0.253021,computed
0.736115,0.622456,0.320896,0.741379,0.447917,0.361953,91,15,43,51,original_decline,trajectory_plus_oisst_plus_habitat_plus_wave,Logistic Regression,1400,200,200,134,0.670000,0.461332,computed
0.713335,0.609114,0.507463,0.764045,0.609865,0.544000,66,21,68,45,original_decline,trajectory_plus_oisst_plus_habitat_plus_wave,Random Forest,1400,200,200,134,0.670000,0.421889,computed
0.767255,0.599220,0.440299,0.766234,0.559242,0.481240,75,18,59,48,original_decline,trajectory_plus_oisst_plus_habitat_plus_wave,XGBoost,1400,200,200,134,0.670000,0.333615,computed
0.702756,0.576097,0.417910,0.756757,0.538462,0.459016,78,18,56,48,original_decline,trajectory_plus_oisst_plus_habitat_plus_wave,LightGBM,1400,200,200,134,0.670000,0.334624,computed
0.634469,0.697222,0.088889,0.571429,0.153846,0.106952,41,3,4,45,at_risk_original,wave_only,Logistic Regression,955,111,93,45,0.483871,0.564770,computed
0.806354,0.767593,0.533333,0.857143,0.657534,0.576923,21,4,24,44,at_risk_original,wave_only,Random Forest,955,111,93,45,0.483871,0.376540,computed
0.782510,0.778241,0.511111,0.821429,0.630137,0.552885,22,5,23,43,at_risk_original,wave_only,XGBoost,955,111,93,45,0.483871,0.235839,computed
0.757143,0.713889,0.644444,0.690476,0.666667,0.653153,16,13,29,35,at_risk_original,wave_only,LightGBM,955,111,93,45,0.483871,0.141976,computed
0.548556,0.513426,0.333333,0.517241,0.405405,0.358852,30,14,15,34,at_risk_original,crw_only,Logistic Regression,955,111,93,45,0.483871,0.557141,computed
0.406035,0.360648,0.422222,0.441860,0.431818,0.426009,26,24,19,24,at_risk_original,crw_only,Random Forest,955,111,93,45,0.483871,0.277075,computed
0.437332,0.424074,0.155556,0.411765,0.225806,0.177665,38,10,7,38,at_risk_original,crw_only,XGBoost,955,111,93,45,0.483871,0.297599,computed
0.419113,0.381944,0.377778,0.395349,0.386364,0.381166,28,26,17,22,at_risk_original,crw_only,LightGBM,955,111,93,45,0.483871,0.067827,computed
0.764080,0.713889,0.555556,0.781250,0.649351,0.589623,20,7,25,41,at_risk_original,habitat_only,Logistic Regression,955,111,93,45,0.483871,0.497239,computed
0.658181,0.714352,0.666667,0.697674,0.681818,0.672646,15,13,30,35,at_risk_original,habitat_only,Random Forest,955,111,93,45,0.483871,0.521613,computed
0.690473,0.744907,0.644444,0.725000,0.682353,0.659091,16,11,29,37,at_risk_original,habitat_only,XGBoost,955,111,93,45,0.483871,0.286850,computed
0.671209,0.725463,0.644444,0.725000,0.682353,0.659091,16,11,29,37,at_risk_original,habitat_only,LightGBM,955,111,93,45,0.483871,0.519366,computed
0.649662,0.717593,0.844444,0.666667,0.745098,0.801688,7,19,38,29,at_risk_original,trajectory_only,Logistic Regression,955,111,93,45,0.483871,0.477760,computed
0.572723,0.581944,0.844444,0.500000,0.628099,0.742188,7,38,38,10,at_risk_original,trajectory_only,Random Forest,955,111,93,45,0.483871,0.306057,computed
0.579359,0.606481,0.711111,0.516129,0.598131,0.661157,13,30,32,18,at_risk_original,trajectory_only,XGBoost,955,111,93,45,0.483871,0.222636,computed
0.594490,0.574537,0.688889,0.500000,0.579439,0.640496,14,31,31,17,at_risk_original,trajectory_only,LightGBM,955,111,93,45,0.483871,0.176908,computed
0.637629,0.644444,0.288889,0.619048,0.393939,0.323383,32,8,13,40,at_risk_original,crw_plus_wave,Logistic Regression,955,111,93,45,0.483871,0.651393,computed
0.513076,0.545370,0.177778,0.615385,0.275862,0.207254,37,5,8,43,at_risk_original,crw_plus_wave,Random Forest,955,111,93,45,0.483871,0.479492,computed
0.542512,0.577315,0.266667,0.461538,0.338028,0.291262,33,14,12,34,at_risk_original,crw_plus_wave,XGBoost,955,111,93,45,0.483871,0.218569,computed
0.491517,0.531481,0.088889,0.285714,0.135593,0.103093,41,10,4,38,at_risk_original,crw_plus_wave,LightGBM,955,111,93,45,0.483871,0.220641,computed
0.624153,0.646759,0.288889,0.684211,0.406250,0.326633,32,6,13,42,at_risk_original,habitat_plus_wave,Logistic Regression,955,111,93,45,0.483871,0.611049,computed
0.661244,0.683796,0.266667,0.631579,0.375000,0.301508,33,7,12,41,at_risk_original,habitat_plus_wave,Random Forest,955,111,93,45,0.483871,0.500007,computed
0.563293,0.644907,0.555556,0.595238,0.574713,0.563063,20,17,25,31,at_risk_original,habitat_plus_wave,XGBoost,955,111,93,45,0.483871,0.220324,computed
0.547856,0.627778,0.511111,0.621622,0.560976,0.529954,22,14,23,34,at_risk_original,habitat_plus_wave,LightGBM,955,111,93,45,0.483871,0.198405,computed
0.664608,0.708796,0.333333,0.750000,0.461538,0.375000,30,5,15,43,at_risk_original,trajectory_plus_wave,Logistic Regression,955,111,93,45,0.483871,0.622375,computed
0.695032,0.699537,0.488889,0.666667,0.564103,0.516432,23,11,22,37,at_risk_original,trajectory_plus_wave,Random Forest,955,111,93,45,0.483871,0.425345,computed
0.623702,0.668519,0.377778,0.607143,0.465753,0.408654,28,11,17,37,at_risk_original,trajectory_plus_wave,XGBoost,955,111,93,45,0.483871,0.297227,computed
0.541959,0.587963,0.644444,0.591837,0.617021,0.633188,16,20,29,28,at_risk_original,trajectory_plus_wave,LightGBM,955,111,93,45,0.483871,0.138244,computed
0.637134,0.644907,0.288889,0.650000,0.400000,0.325000,32,7,13,41,at_risk_original,crw_plus_habitat_plus_wave,Logistic Regression,955,111,93,45,0.483871,0.693930,computed
0.519008,0.556481,0.200000,0.562500,0.295082,0.229592,36,7,9,41,at_risk_original,crw_plus_habitat_plus_wave,Random Forest,955,111,93,45,0.483871,0.454661,computed
0.509142,0.556481,0.288889,0.433333,0.346667,0.309524,32,17,13,31,at_risk_original,crw_plus_habitat_plus_wave,XGBoost,955,111,93,45,0.483871,0.216202,computed
0.575743,0.601852,0.244444,0.550000,0.338462,0.275000,34,9,11,39,at_risk_original,crw_plus_habitat_plus_wave,LightGBM,955,111,93,45,0.483871,0.166023,computed
0.655850,0.687037,0.244444,0.785714,0.372881,0.283505,34,3,11,45,at_risk_original,trajectory_plus_crw_plus_wave,Logistic Regression,955,111,93,45,0.483871,0.768093,computed
0.542438,0.569907,0.400000,0.545455,0.461538,0.422535,27,15,18,33,at_risk_original,trajectory_plus_crw_plus_wave,Random Forest,955,111,93,45,0.483871,0.376087,computed
0.489425,0.510648,0.222222,0.434783,0.294118,0.246305,35,13,10,35,at_risk_original,trajectory_plus_crw_plus_wave,XGBoost,955,111,93,45,0.483871,0.263474,computed
0.517704,0.560648,0.377778,0.531250,0.441558,0.400943,28,15,17,33,at_risk_original,trajectory_plus_crw_plus_wave,LightGBM,955,111,93,45,0.483871,0.118486,computed
0.654988,0.688426,0.244444,0.785714,0.372881,0.283505,34,3,11,45,at_risk_original,trajectory_plus_crw_plus_habitat_plus_wave,Logistic Regression,955,111,93,45,0.483871,0.759521,computed
0.525245,0.556944,0.200000,0.562500,0.295082,0.229592,36,7,9,41,at_risk_original,trajectory_plus_crw_plus_habitat_plus_wave,Random Forest,955,111,93,45,0.483871,0.433767,computed
0.498795,0.550463,0.400000,0.461538,0.428571,0.410959,27,21,18,27,at_risk_original,trajectory_plus_crw_plus_habitat_plus_wave,XGBoost,955,111,93,45,0.483871,0.178909,computed
0.512781,0.537037,0.088889,0.444444,0.148148,0.105820,41,5,4,43,at_risk_original,trajectory_plus_crw_plus_habitat_plus_wave,LightGBM,955,111,93,45,0.483871,0.355041,computed
0.646092,0.682870,0.222222,0.666667,0.333333,0.256410,35,5,10,43,at_risk_original,trajectory_plus_oisst_plus_habitat_plus_wave,Logistic Regression,955,111,93,45,0.483871,0.688880,computed
0.562148,0.589352,0.377778,0.607143,0.465753,0.408654,28,11,17,37,at_risk_original,trajectory_plus_oisst_plus_habitat_plus_wave,Random Forest,955,111,93,45,0.483871,0.393860,computed
0.565208,0.483796,0.244444,0.523810,0.333333,0.273632,34,10,11,38,at_risk_original,trajectory_plus_oisst_plus_habitat_plus_wave,XGBoost,955,111,93,45,0.483871,0.329212,computed
0.442021,0.396296,0.488889,0.407407,0.444444,0.470085,23,32,22,16,at_risk_original,trajectory_plus_oisst_plus_habitat_plus_wave,LightGBM,955,111,93,45,0.483871,0.099753,computed
0.107753,0.422193,0.000000,0.000000,0.000000,0.000000,26,26,0,148,new_transition,wave_only,Logistic Regression,1400,200,200,26,0.130000,0.611794,computed
0.226622,0.480990,0.076923,0.400000,0.129032,0.091743,24,3,2,171,new_transition,wave_only,Random Forest,1400,200,200,26,0.130000,0.614908,computed
0.170786,0.522878,0.076923,0.166667,0.105263,0.086207,24,10,2,164,new_transition,wave_only,XGBoost,1400,200,200,26,0.130000,0.373832,computed
0.168589,0.459107,0.076923,0.133333,0.097561,0.084034,24,13,2,161,new_transition,wave_only,LightGBM,1400,200,200,26,0.130000,0.477538,computed
0.195228,0.421751,0.307692,0.083333,0.131148,0.200000,18,88,8,86,new_transition,crw_only,Logistic Regression,1400,200,200,26,0.130000,0.544275,computed
0.121513,0.366048,0.076923,0.074074,0.075472,0.076336,24,25,2,149,new_transition,crw_only,Random Forest,1400,200,200,26,0.130000,0.391410,computed
0.116971,0.372679,0.115385,0.120000,0.117647,0.116279,23,22,3,152,new_transition,crw_only,XGBoost,1400,200,200,26,0.130000,0.218760,computed
0.130810,0.479443,0.307692,0.129032,0.181818,0.240964,18,54,8,120,new_transition,crw_only,LightGBM,1400,200,200,26,0.130000,0.138172,computed
0.116966,0.459328,0.076923,0.062500,0.068966,0.073529,24,30,2,144,new_transition,habitat_only,Logistic Regression,1400,200,200,26,0.130000,0.532995,computed
0.137757,0.488506,0.192308,0.104167,0.135135,0.164474,21,43,5,131,new_transition,habitat_only,Random Forest,1400,200,200,26,0.130000,0.542385,computed
0.133104,0.469938,0.076923,0.166667,0.105263,0.086207,24,10,2,164,new_transition,habitat_only,XGBoost,1400,200,200,26,0.130000,0.259606,computed
0.134343,0.484969,0.307692,0.111111,0.163265,0.227273,18,64,8,110,new_transition,habitat_only,LightGBM,1400,200,200,26,0.130000,0.533004,computed
0.323747,0.769894,0.000000,0.000000,0.000000,0.000000,26,0,0,174,new_transition,trajectory_only,Logistic Regression,1400,200,200,26,0.130000,0.696955,computed
0.341773,0.807471,0.692308,0.310345,0.428571,0.555556,8,40,18,134,new_transition,trajectory_only,Random Forest,1400,200,200,26,0.130000,0.364001,computed
0.405053,0.845933,0.538462,0.378378,0.444444,0.496454,12,23,14,151,new_transition,trajectory_only,XGBoost,1400,200,200,26,0.130000,0.229004,computed
0.368863,0.804598,0.384615,0.357143,0.370370,0.378788,16,18,10,156,new_transition,trajectory_only,LightGBM,1400,200,200,26,0.130000,0.417117,computed
0.135422,0.523652,0.038462,0.083333,0.052632,0.043103,25,11,1,163,new_transition,crw_plus_wave,Logistic Regression,1400,200,200,26,0.130000,0.775921,computed
0.103231,0.363395,0.038462,0.090909,0.054054,0.043478,25,10,1,164,new_transition,crw_plus_wave,Random Forest,1400,200,200,26,0.130000,0.488527,computed
0.145676,0.498011,0.038462,0.076923,0.051282,0.042735,25,12,1,162,new_transition,crw_plus_wave,XGBoost,1400,200,200,26,0.130000,0.343788,computed
0.125194,0.492042,0.000000,0.000000,0.000000,0.000000,26,9,0,165,new_transition,crw_plus_wave,LightGBM,1400,200,200,26,0.130000,0.464720,computed
0.145526,0.569629,0.038462,0.100000,0.055556,0.043860,25,9,1,165,new_transition,habitat_plus_wave,Logistic Regression,1400,200,200,26,0.130000,0.698042,computed
0.210965,0.502431,0.115385,0.600000,0.193548,0.137615,23,2,3,172,new_transition,habitat_plus_wave,Random Forest,1400,200,200,26,0.130000,0.612001,computed
0.174685,0.594385,0.076923,0.133333,0.097561,0.084034,24,13,2,161,new_transition,habitat_plus_wave,XGBoost,1400,200,200,26,0.130000,0.395866,computed
0.156766,0.537577,0.076923,0.166667,0.105263,0.086207,24,10,2,164,new_transition,habitat_plus_wave,LightGBM,1400,200,200,26,0.130000,0.648082,computed
0.185816,0.624889,0.038462,0.500000,0.071429,0.047170,25,1,1,173,new_transition,trajectory_plus_wave,Logistic Regression,1400,200,200,26,0.130000,0.826884,computed
0.427387,0.801282,0.115385,1.000000,0.206897,0.140187,23,0,3,174,new_transition,trajectory_plus_wave,Random Forest,1400,200,200,26,0.130000,0.582551,computed
0.382574,0.844164,0.307692,0.470588,0.372093,0.330579,18,9,8,165,new_transition,trajectory_plus_wave,XGBoost,1400,200,200,26,0.130000,0.271220,computed
0.309876,0.752210,0.115385,0.500000,0.187500,0.136364,23,3,3,171,new_transition,trajectory_plus_wave,LightGBM,1400,200,200,26,0.130000,0.635211,computed
0.134246,0.525862,0.038462,0.100000,0.055556,0.043860,25,9,1,165,new_transition,crw_plus_habitat_plus_wave,Logistic Regression,1400,200,200,26,0.130000,0.791240,computed
0.113606,0.436782,0.000000,0.000000,0.000000,0.000000,26,9,0,165,new_transition,crw_plus_habitat_plus_wave,Random Forest,1400,200,200,26,0.130000,0.475545,computed
0.127650,0.466622,0.038462,0.166667,0.062500,0.045455,25,5,1,169,new_transition,crw_plus_habitat_plus_wave,XGBoost,1400,200,200,26,0.130000,0.425570,computed
0.120210,0.477896,0.000000,0.000000,0.000000,0.000000,26,11,0,163,new_transition,crw_plus_habitat_plus_wave,LightGBM,1400,200,200,26,0.130000,0.482962,computed
0.164368,0.584881,0.038462,0.200000,0.064516,0.045872,25,4,1,170,new_transition,trajectory_plus_crw_plus_wave,Logistic Regression,1400,200,200,26,0.130000,0.877730,computed
0.201828,0.665340,0.038462,0.142857,0.060606,0.045045,25,6,1,168,new_transition,trajectory_plus_crw_plus_wave,Random Forest,1400,200,200,26,0.130000,0.495916,computed
0.269283,0.762821,0.115385,0.375000,0.176471,0.133929,23,5,3,169,new_transition,trajectory_plus_crw_plus_wave,XGBoost,1400,200,200,26,0.130000,0.337991,computed
0.237135,0.705128,0.230769,0.187500,0.206897,0.220588,20,26,6,148,new_transition,trajectory_plus_crw_plus_wave,LightGBM,1400,200,200,26,0.130000,0.150690,computed
0.172295,0.604332,0.038462,0.111111,0.057143,0.044248,25,8,1,166,new_transition,trajectory_plus_crw_plus_habitat_plus_wave,Logistic Regression,1400,200,200,26,0.130000,0.838624,computed
0.198780,0.655836,0.076923,0.153846,0.102564,0.085470,24,11,2,163,new_transition,trajectory_plus_crw_plus_habitat_plus_wave,Random Forest,1400,200,200,26,0.130000,0.434036,computed
0.318964,0.770115,0.153846,0.222222,0.181818,0.163934,22,14,4,160,new_transition,trajectory_plus_crw_plus_habitat_plus_wave,XGBoost,1400,200,200,26,0.130000,0.271865,computed
0.250060,0.724138,0.076923,0.222222,0.114286,0.088496,24,7,2,167,new_transition,trajectory_plus_crw_plus_habitat_plus_wave,LightGBM,1400,200,200,26,0.130000,0.413797,computed
0.150606,0.567197,0.038462,0.166667,0.062500,0.045455,25,5,1,169,new_transition,trajectory_plus_oisst_plus_habitat_plus_wave,Logistic Regression,1400,200,200,26,0.130000,0.772344,computed
0.223359,0.666225,0.115385,0.230769,0.153846,0.128205,23,10,3,164,new_transition,trajectory_plus_oisst_plus_habitat_plus_wave,Random Forest,1400,200,200,26,0.130000,0.453164,computed
0.227923,0.737843,0.153846,0.190476,0.170213,0.160000,22,17,4,157,new_transition,trajectory_plus_oisst_plus_habitat_plus_wave,XGBoost,1400,200,200,26,0.130000,0.197716,computed
0.266928,0.770115,0.153846,0.307692,0.205128,0.170940,22,9,4,165,new_transition,trajectory_plus_oisst_plus_habitat_plus_wave,LightGBM,1400,200,200,26,0.130000,0.440182,computed
0.107881,0.207831,0.147059,0.050000,0.074627,0.105932,29,95,5,71,actionable_drop,wave_only,Logistic Regression,1400,200,200,34,0.170000,0.437271,computed
0.186581,0.539334,0.794118,0.158824,0.264706,0.441176,7,143,27,23,actionable_drop,wave_only,Random Forest,1400,200,200,34,0.170000,0.266349,computed
0.332544,0.505138,0.941176,0.175824,0.296296,0.503145,2,150,32,16,actionable_drop,wave_only,XGBoost,1400,200,200,34,0.170000,0.118357,computed
0.215581,0.497165,0.676471,0.158621,0.256983,0.409253,11,122,23,44,actionable_drop,wave_only,LightGBM,1400,200,200,34,0.170000,0.186281,computed
0.183927,0.568923,0.676471,0.239583,0.353846,0.495690,11,73,23,93,actionable_drop,crw_only,Logistic Regression,1400,200,200,34,0.170000,0.555791,computed
0.132038,0.329376,0.205882,0.067961,0.102190,0.146444,27,96,7,70,actionable_drop,crw_only,Random Forest,1400,200,200,34,0.170000,0.293547,computed
0.140377,0.406006,1.000000,0.184783,0.311927,0.531250,0,150,34,16,actionable_drop,crw_only,XGBoost,1400,200,200,34,0.170000,0.093527,computed
0.130552,0.366761,0.970588,0.179348,0.302752,0.515625,1,151,33,15,actionable_drop,crw_only,LightGBM,1400,200,200,34,0.170000,0.020692,computed
0.151861,0.428420,1.000000,0.170000,0.290598,0.505952,0,166,34,0,actionable_drop,habitat_only,Logistic Regression,1400,200,200,34,0.170000,0.415524,computed
0.172885,0.473777,1.000000,0.170000,0.290598,0.505952,0,166,34,0,actionable_drop,habitat_only,Random Forest,1400,200,200,34,0.170000,0.000000,computed
0.168363,0.473069,1.000000,0.170000,0.290598,0.505952,0,166,34,0,actionable_drop,habitat_only,XGBoost,1400,200,200,34,0.170000,0.030119,computed
